car_cropped_query (3986800),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,0.9063441793832998,0.1873116412334005,0.054145914801773616,0.007516363368259975,4582600
airplane_cropped_2,0.8796004521188832,0.24079909576223385,0.07107323484627444,0.009454363350109822,6001800
airplane_cropped_3,0.8948185279612175,0.21036294407756495,0.06070928166324883,0.007590832758999529,4587600
airplane_cropped_4,0.9051317818264326,0.18973643634713466,0.06030472713992183,0.007692577868878566,3994400
airplane_cropped_5,0.9126740873235955,0.17465182535280926,0.0544776021861407,0.006523767496657338,4523900
ball_cropped_1,0.724406044772049,0.5511879104559022,0.17608569864059698,0.04985028149511215,3030700
ball_cropped_2,0.6133945555437821,0.773210888912436,0.3190509039203223,0.10757421291249958,6547900
ball_cropped_3,0.8422029402975768,0.31559411940484666,0.13141361475989424,0.024992698939576983,9554900
ball_cropped_4,0.83492718344802,0.3301456331039602,0.1077381527231543,0.020967485219063164,4007100
ball_cropped_5,0.7125063681812897,0.5749872636374206,0.279801071001613,0.06981998121100837,7620500
car_cropped_1,0.9181485929090197,0.16370281418196075,0.04863960713127112,0.005347271301138334,1994600
car_cropped_2,0.9598472875654649,0.08030542486907,0.023173243194251115,0.0011594324397829808,1970500
car_cropped_3,0.9470617289175465,0.10587654216490713,0.029191835040647256,0.0020951772291206384,1998900
car_cropped_4,0.933936192598912,0.13212761480217564,0.04241971591274639,0.004306773607830144,2628600
car_cropped_5,0.9374787240146204,0.12504255197075925,0.039140086451649334,0.0030216867197560577,1919100
cat_cropped_1,0.8450456080881905,0.30990878382361914,0.0911438809760299,0.015941147473708277,6622700
cat_cropped_2,0.8582337004525004,0.2835325990949997,0.07787900371703023,0.01314826708304502,9550600
cat_cropped_3,0.8368342456335606,0.32633150873287897,0.09638366131904359,0.018514234493265416,6586900
cat_cropped_4,0.8854666360012048,0.22906672799759048,0.07306263608379847,0.011538429099509508,6485900
cat_cropped_5,0.8184616746521909,0.36307665069561845,0.11672664691558088,0.026961935000322415,8675300
dolphin_cropped_1,0.9091435083720523,0.18171298325589552,0.04982752589808364,0.005342624930358259,3920200
dolphin_cropped_2,0.8227200980885306,0.35455980382293883,0.12598899561324697,0.02637811180412036,4035600
dolphin_cropped_3,0.8164101446699377,0.36717971066012456,0.18543983030811753,0.03319845357200703,4560000
dolphin_cropped_4,0.8184542434957089,0.3630915130085815,0.11601557624361068,0.0236341211199323,3040400
dolphin_cropped_5,0.8578113332730907,0.28437733345381877,0.12902097018087647,0.018198000409055715,7510900
face_cropped_1,0.9053789248560824,0.189242150287835,0.057286574741998365,0.008431947104220116,9182500
face_cropped_2,0.9022012970622291,0.1955974058755418,0.05906089623767547,0.008759338699037039,7000700
face_cropped_3,0.8933478450008354,0.2133043099983294,0.06666077949958994,0.011080946612106464,7585100
face_cropped_4,0.9108931844779583,0.17821363104408344,0.05747742242276346,0.008536663230350587,8585300
face_cropped_5,0.8830049345257819,0.23399013094843638,0.0695801987206051,0.010230264493478285,7545300
lotus_cropped_1,0.854875544983374,0.29024891003325204,0.09492967435382034,0.016957370119042678,4625200
lotus_cropped_2,0.8869698545871755,0.22606029082564918,0.06916535235375121,0.011701399563343068,4589500
lotus_cropped_3,0.7653663545622132,0.46926729087557373,0.245149932430848,0.053344868587940665,5958900
lotus_cropped_4,0.868693909569538,0.2626121808609242,0.0778167569671266,0.015151356618722986,2581200
lotus_cropped_5,0.8484695800824056,0.3030608398351889,0.11002454286055967,0.022948392529340424,11628500
pickles_cropped_1,0.5377553104450238,0.9244893791099523,0.46812300794504175,0.14751946427821302,491670900
pickles_cropped_2,0.612797189139904,0.7744056217201919,0.3970890594949705,0.10518023939991528,260111400
pickles_cropped_3,0.6072741738221245,0.7854516523557512,0.4030986455077461,0.11057277231992359,505067800
pickles_cropped_4,0.6373619478340982,0.7252761043318036,0.37420956286395873,0.09630935375690107,414653600
pickles_cropped_5,0.5924051735619497,0.8151896528761007,0.4156434516452191,0.1187266579010414,418657500
