airplane_query (6960400),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,0.9074429863434066,0.18511402731318677,0.05051391567552091,0.007321407318206338,6648300
airplane_2,0.8918691641125471,0.21626167177490596,0.04935046210400424,0.00935329266747547,2147500
airplane_3,0.9098495553384187,0.18030088932316252,0.06908883008803492,0.005771644918079988,1983800
airplane_4,0.9285349455986982,0.1429301088026037,0.03653916855762365,0.005366378752001843,1007800
airplane_5,0.8255147139173755,0.34897057216524874,0.15658447982035215,0.019129371667134073,1731700
ball_1,0.8036919486773848,0.3926161026452304,0.1282897924842818,0.036341415508794946,3108500
ball_2,0.602482671469823,0.7950346570603539,0.3634596364156999,0.11582633777959195,1007000
ball_3,0.7663792919104179,0.46724141617916426,0.09895300643216189,0.03933157189356865,2622200
ball_4,0.7828313729974937,0.4343372540050128,0.11252500025653589,0.034389616204521425,0
ball_5,0.7110181581509867,0.5779636836980268,0.2140637310230339,0.05617500542992856,0
car_1,0.8934813900185894,0.21303721996282113,0.07278613320458188,0.008357121013146545,6991500
car_2,0.8467874450926346,0.30642510981473103,0.12664660922790705,0.018690320888186583,1234500
car_3,0.7983064171684104,0.4033871656631791,0.14610696304289514,0.02892924499263299,2016600
car_4,0.7892840937242444,0.4214318125515114,0.14038645450601764,0.031567197305521905,1986100
car_5,0.7870506535912143,0.42589869281757164,0.14669413858959288,0.032738750537475145,1720300
cat_1,0.7689333902704453,0.4621332194591097,0.1619653111105276,0.04293823264956965,2005500
cat_2,0.7124237535345064,0.5751524929309875,0.17095810790004237,0.0619378402437129,2104000
cat_3,0.7664041904499921,0.46719161910001605,0.14564158806960156,0.04073211070674064,3979100
cat_4,0.7705472945796693,0.45890541084066166,0.12464629374951107,0.04050359282603866,0
cat_5,0.7387878256505067,0.5224243486989864,0.16455065921335463,0.05501754495845536,0
dolphin_1,0.7758260823593094,0.4483478352813812,0.13653589120911408,0.036354377700807405,6291100
dolphin_2,0.805719431697973,0.38856113660405406,0.10893422784213616,0.02590339254891862,0
dolphin_3,0.7757049373027933,0.4485901253944134,0.15355329185567143,0.03523676321037019,0
dolphin_4,0.7668324541841782,0.46633509163164366,0.08641537007959729,0.05531153510074329,0
dolphin_5,0.8671059436851267,0.2657881126297465,0.061447513670622,0.016569400972245678,7790800
face_1,0.735223077315527,0.529553845368946,0.15004413291494564,0.051485517473756987,3015700
face_2,0.7628109220579791,0.4743781558840419,0.143847453764564,0.04113546119234579,2617500
face_3,0.7210657541362493,0.5578684917275012,0.1305352825568847,0.054760794498114725,290600
face_4,0.761686670521181,0.47662665895763817,0.1375595198383981,0.040059603197256474,0
face_5,0.7100173038881332,0.5799653922237334,0.1617452148078116,0.06049700397032289,7766700
lotus_1,0.7164441661163987,0.5671116677672028,0.15074485405494042,0.06413328918681402,1998100
lotus_2,0.8136582130064479,0.3726835739871041,0.06692310061857111,0.027879533784809934,2000100
lotus_3,0.6059618217498431,0.7880763565003138,0.39011619599787284,0.10138172437789161,1980900
lotus_4,0.7081718880261325,0.5836562239477349,0.14987845634492578,0.06175675969661538,2106100
lotus_5,0.7728919256755509,0.45421614864889837,0.10186203996791118,0.035073858849180524,3014500
pickles_1,0.38895623369667126,1.2220875326066576,0.6163564690068062,0.30826113764388147,119646700
pickles_2,0.37157783008119627,1.2568443398376077,0.6311159511083386,0.3375305124227505,166826400
pickles_3,0.45735666305999645,1.0852866738800069,0.549460856157082,0.24213369567709006,111228300
pickles_4,0.44029410729233937,1.1194117854153212,0.5628709485512559,0.2556984234445927,136972700
pickles_5,0.4330441424755314,1.1339117150489373,0.5740782061719842,0.26014169625870925,77415500
