pickles_cropped_querry (8026000),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,0.5899645554210923,0.8200708891578156,0.352026473631127,0.1193048816679713,975200
airplane_cropped_2,0.563319358320455,0.87336128335909,0.3746158246712868,0.14487183882204274,2025200
airplane_cropped_3,0.6026593450437656,0.7946813099124689,0.3380278791290408,0.11107345216032981,738700
airplane_cropped_4,0.5786625574458463,0.8426748851083075,0.3577246303142982,0.1298275406930764,1028600
airplane_cropped_5,0.5773018863012604,0.8453962273974792,0.35244245701522015,0.1303764255899992,998900
ball_cropped_1,0.5463010931429919,0.9073978137140162,0.3472502766983356,0.14699330884828551,999900
ball_cropped_2,0.7456734861903113,0.5086530276193775,0.1353277739764934,0.061757256701357635,1999500
ball_cropped_3,0.6713563468972805,0.657287306205439,0.2816884806051134,0.07115537297452122,1666300
ball_cropped_4,0.5696103842155277,0.8607792315689446,0.33599155976154726,0.13630634371113035,0
ball_cropped_5,0.7664168552893668,0.4671662894212666,0.13593061078999316,0.0454295227268698,0
car_cropped_1,0.6239688493706077,0.7520623012587846,0.3362807637131611,0.0987333545100933,0
car_cropped_2,0.5866638952501003,0.8266722094997996,0.34469298584295105,0.12169785002705293,0
car_cropped_3,0.5843866678787093,0.8312266642425814,0.35316352902951215,0.12252506235654691,0
car_cropped_4,0.5756152988312185,0.8487694023375628,0.3527777800302184,0.12905206731275307,0
car_cropped_5,0.5786347467228787,0.8427305065542424,0.34920543056777464,0.12925750789870893,0
cat_cropped_1,0.5426543946878456,0.9146912106243092,0.3810886238238988,0.14960606065794044,8144000
cat_cropped_2,0.5408133658005686,0.9183732683988628,0.378434421257522,0.149712109968992,1998400
cat_cropped_3,0.5607180521038233,0.8785638957923534,0.38144428034551986,0.1479344353560437,1999900
cat_cropped_4,0.5887011984775545,0.8225976030448909,0.33795849266781314,0.11806062580003651,1884200
cat_cropped_5,0.5679468106425636,0.8641063787148725,0.38605137090821057,0.152699851833169,2041400
dolphin_cropped_1,0.5530081458187497,0.8939837083625007,0.36268273742646023,0.14199209157471698,998800
dolphin_cropped_2,0.6399111555040364,0.7201776889919269,0.3086454944077225,0.09388735598197097,0
dolphin_cropped_3,0.7413792021512805,0.5172415956974388,0.21236894733894984,0.045088743541267726,1000600
dolphin_cropped_4,0.5470970625613243,0.9058058748773513,0.36184345702696985,0.1495502632601572,1000000
dolphin_cropped_5,0.7075640925085628,0.5848718149828744,0.2440891565111574,0.05402653407699957,1711500
face_cropped_1,0.5714672373176839,0.8570655253646325,0.3684716814624731,0.13108224355663195,0
face_cropped_2,0.5752730225414093,0.8494539549171813,0.36958402966451254,0.12972870528355496,0
face_cropped_3,0.5773275323601171,0.8453449352797658,0.3667815957062255,0.12864455559930169,0
face_cropped_4,0.5875359636062785,0.8249280727874431,0.35581233251925126,0.1213274065862929,8231600
face_cropped_5,0.5642837773785899,0.8714324452428203,0.37982560181745884,0.13782577001844695,1999600
lotus_cropped_1,0.5904476336544082,0.8191047326911834,0.33053898963792633,0.12112539234788719,1000400
lotus_cropped_2,0.5762039843516316,0.8475920312967369,0.3580464732613422,0.12796973902086137,999500
lotus_cropped_3,0.7955820605425076,0.40883587891498485,0.13981420127972952,0.03106927875741691,1917100
lotus_cropped_4,0.5581890374283469,0.8836219251433062,0.3601529663831056,0.1415531886508515,0
lotus_cropped_5,0.6427041494683878,0.7145917010632242,0.31846606243794673,0.08671347382940678,3020800
pickles_cropped_1,0.9004822533040284,0.19903549339194315,0.0836422392428038,0.007590957954219872,76302900
pickles_cropped_2,0.9489635745873221,0.10207285082535611,0.021989003027183266,0.00304295671117753,45891200
pickles_cropped_3,0.9544586271716561,0.09108274565668789,0.023222961309239582,0.0022771705459025513,82914400
pickles_cropped_4,0.9590249350618802,0.08195012987623959,0.012972024166411323,0.0024959375407192135,76445700
pickles_cropped_5,0.9382184586469153,0.12356308270616916,0.03397081388769164,0.003791059907612799,73456100
