index,SI,BR
0,76.45505271756733,99.6531796553498
1,80.08638797026684,99.65478716563786
2,75.71839501529726,99.65623392489712
3,76.07964628952692,99.66001157407408
4,80.2483801006015,99.66451260288066
5,80.19992636076957,99.66097608024691
6,80.17727647669552,99.67086226851852
7,75.79313225132267,99.66861175411522
8,75.81736211383378,99.66756687242798
9,74.52651945041556,99.66949588477367
10,80.07972020711368,99.67608667695474
11,75.19160229678505,99.6755240483539
12,75.2601512204514,99.67705118312757
13,75.80559780309906,99.68613361625515
14,75.33416002508415,99.69031314300412
15,75.86407549814784,99.68854488168725
16,75.67778588736985,99.69192065329217
17,75.93551688580544,99.68846450617283
18,75.93414385875256,99.68693737139918
19,75.98812037607749,99.67962319958848
20,75.71148821225296,99.67930169753086
21,75.69384218479675,99.67970357510289
22,80.09113527282136,99.68211484053498
23,75.79670047279076,99.6799447016461
24,76.33302695055119,99.68581211419753
25,75.98740648615848,99.68637474279835
26,76.09341557168872,99.68950938786008
27,75.68612877497125,99.68613361625515
28,76.22427851569827,99.68420460390946
29,75.34771377035146,99.68388310185186
30,75.82679890077043,99.68589248971193
31,75.54716548873236,99.6825970936214
32,75.97794021556217,99.69031314300412
33,80.20343901675942,99.65872556584362
34,79.84174572221524,99.65936856995884
35,80.05037141868507,99.63927469135803
36,75.67336526025991,99.61837705761317
37,76.30936188883643,99.60953575102882
38,75.83584913005129,99.60398984053498
39,76.03819849063318,99.5921746399177
40,76.21343658415812,99.58365483539094
41,76.77998167582855,99.5654095936214
42,76.7521013988188,99.54772698045268
43,76.68217766928879,99.5261059670782
44,76.27251790422254,99.51260288065843
45,76.98462237818731,99.497170781893
46,76.75648658222126,99.50802147633745
47,77.28318652939704,99.51477301954732
48,76.71007170303714,99.50472608024693
49,76.4971962726848,99.51131687242798
50,76.59670966847945,99.52248906893004
51,76.40774435878451,99.52417695473251
52,76.59792628901589,99.52064043209876
53,80.399434454455,99.52256944444444
54,76.31901773494155,99.53727816358024
55,76.11701008601564,99.5434670781893
56,76.34237611826667,99.53663515946502
57,76.36746159987365,99.53735853909464
58,77.1806353141249,99.54748585390946
59,77.20808217762311,99.54274369855966
60,76.95136368872852,99.55029899691358
61,77.38308425376101,99.55126350308642
62,77.4119238853921,99.55721129115226
63,77.28464491140835,99.54137731481481
64,77.36045409554148,99.52594521604938
65,77.16804373462593,99.54362782921811
66,76.93754251846032,99.49982317386832
67,77.66861638313472,99.50352044753087
68,77.50370401326445,99.5066550925926
69,77.74980884895612,99.47989004629629
70,77.98620536365645,99.47635352366255
71,77.61030096307356,99.49644740226337
72,80.28220902330236,99.48535558127573
73,77.45888608098358,99.48487332818931
74,77.1887917528674,99.48342656893004
75,77.19208054488021,99.5042438271605
76,77.47284614516998,99.50946823559671
77,80.09736760009989,99.48181905864197
78,77.46428222338099,99.4921875
79,77.95684271692873,99.50601208847736
80,80.74125030848582,99.49009773662551
81,77.50048678022365,99.5066550925926
82,77.56929437167244,99.49082111625515
83,77.38500594194096,99.49331275720165
84,80.20510851257328,99.50769997427984
85,77.77864107259609,99.52449845679013
86,77.7621587800565,99.5117991255144
87,77.40832744761579,99.51059349279835
88,77.60471096946105,99.50239519032922
89,77.26668579217751,99.50303819444444
90,80.40853525519707,99.48808834876543
91,80.24349952032217,99.48656121399176
92,76.914072062341,99.46365419238683
93,80.24433322322284,99.45979616769547
94,76.95474651904863,99.42724408436214
95,76.84079614073933,99.43447788065843
96,80.31250741553187,99.4260384516461
97,77.27333554075383,99.41800090020575
98,80.20635212587115,99.40618569958848
99,80.22073615058875,99.3725083590535
100,76.69359676492864,99.40634645061729
101,77.33676626110355,99.40578382201646
102,77.2527844186531,99.36125578703704
103,80.25093041237453,99.34855645576131
104,77.07915482983839,99.33690200617285
105,80.17838817151446,99.3140753600823
106,80.41101835903534,99.31013695987654
107,76.83539752157469,99.3239615483539
108,77.261241998893,99.32428305041152
109,80.50027233792136,99.30684156378601
110,77.04024348581254,99.28401491769547
111,76.39074883182019,99.21175733024693
112,75.51232516854743,99.2235725308642
113,75.47948525927202,99.20090663580247
114,75.75931447294812,99.20733667695472
115,80.89434914269653,99.21649948559671
116,76.55903950363239,99.2429430298354
117,80.74421942760732,99.24342528292182
118,80.633911299945,99.2502572016461
119,80.68723922638318,99.2384420010288
120,80.90712634929413,99.25194508744856
121,80.8539409510917,99.24141589506172
122,76.80785735452969,99.27428948045267
123,76.81367193236962,99.21328446502058
124,81.1885969322409,99.19712898662551
125,78.03238858472865,99.19013631687243
126,80.60785617913761,99.1967271090535
127,80.96865373489388,99.19608410493828
128,78.02050959444092,99.1723733281893
129,78.35230612492924,99.20122813786008
130,81.29613448656144,99.18796617798354
131,81.36498825543728,99.1603973765432
132,81.13835870184558,99.18692129629629
133,80.94550506479638,99.1550925925926
134,81.21433325172185,99.16449652777779
135,80.77220503801077,99.15139531893004
136,81.07525681322232,99.15597672325103
137,80.53668547338036,99.15830761316873
138,81.24923806378018,99.1673900462963
139,81.16470285830704,99.17189107510288
140,81.33634246537599,99.19544110082305
141,80.35339404673643,99.18016975308642
142,81.06542978486962,99.17615097736625
143,81.07881379500964,99.18941293724279
144,80.74608970038209,99.20339827674897
145,81.21430879564895,99.20444315843622
146,81.18468865581114,99.2063721707819
147,77.14504290290931,99.19511959876543
148,77.16205129675373,99.17382008744856
149,80.43579625566655,99.16144225823045
150,78.06410275498534,99.18161651234568
151,80.44394676862942,99.1722929526749
152,80.94251836365316,99.13708847736625
153,77.0344039217334,99.14231288580247
154,76.92402611326656,99.12937242798354
155,81.03506023859288,99.14576903292182
156,80.1646057883974,99.1699620627572
157,81.1000164706138,99.13917824074075
158,80.41528128794855,99.14440264917695
159,80.25795044905198,99.1918242026749
160,77.50002947772401,99.18885030864197
161,80.48823620067189,99.20444315843622
162,80.81872081390627,99.20018325617283
163,80.64561050641721,99.21754436728395
164,77.34782468808373,99.2188303755144
165,77.16607622166438,99.16337127057614
166,77.27299698102061,99.19230645576131
167,76.56027603025869,99.20757780349794
168,76.40336433776635,99.22783243312757
169,77.33175741376992,99.18925218621399
170,76.46309923034478,99.21826774691358
171,76.06843576914133,99.21320408950616
172,75.64757424422743,99.18828768004116
173,80.62034822821404,99.13146219135803
174,81.18235031943247,99.12398726851852
175,80.90428306178971,99.10702803497942
176,80.87914226847889,99.13620434670783
177,80.72644467450772,99.12704153806584
178,75.65613370278156,99.09151556069958
179,80.37704482390981,99.11337770061729
180,80.51718369124652,99.0062371399177
181,76.99812399245106,99.02512538580247
182,80.95339647392687,98.96548675411523
183,80.80554825616959,98.91420717592592
184,80.7587513712807,98.86349022633745
185,80.7363462469847,98.86501736111111
186,80.81692790147869,98.91573431069959
187,80.76944044041838,98.94466949588477
188,76.65878586863202,98.98541988168724
189,80.94893711045621,98.9355066872428
190,81.02630437263767,98.97601594650206
191,75.17232417968981,98.9867862654321
192,81.08588309383644,98.99506494341563
193,80.9572528222673,98.98292824074075
194,79.20013909152446,98.96773726851852
195,78.76979660604516,98.96765689300412
196,78.85504573384516,98.96436149691358
197,77.17387086646909,98.97746270576133
198,80.96651869388836,98.96918402777779
199,81.13471136548512,98.97665895061728
200,81.64312345914182,99.00278099279835
201,81.6790507956511,99.00205761316873
202,78.9648451501069,99.00679976851852
203,81.5013319443627,99.00808577674897
204,81.30183470502419,99.01909722222221
205,81.39332252657546,99.04674639917695
206,80.42302866024367,98.99771733539094
207,81.26894418643376,99.00503150720165
208,80.27655714752811,99.03251993312757
209,80.46850921562935,99.0282600308642
210,81.41437568940955,98.9992444701646
211,81.54161241469443,99.03951260288066
212,81.7915227814268,98.97320280349794
213,81.36521464715526,98.9918499228395
214,81.52615801036941,99.00800540123457
215,81.4269242778369,98.95503793724279
216,80.69052868232416,98.96106610082305
217,81.45204775214981,98.9919302983539
218,80.80541263376023,98.98598251028807
219,80.81054650028459,98.97786458333333
220,80.74397302898984,99.03734246399178
221,80.55607845382025,99.04851466049382
222,81.3571869441019,98.97368505658436
223,81.19510905002313,98.97312242798354
224,80.8723126749511,98.9746495627572
225,81.54824984256543,98.94370498971193
226,81.23148224529822,98.95343042695474
227,79.28979952150644,99.02054398148148
228,80.48414538471768,99.0087287808642
229,80.48212769433644,98.99313593106996
230,80.32474912663669,99.00294174382715
231,80.88154862173675,98.97979359567901
232,81.1108998519093,98.94065072016461
