lotus_query (4187000),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,0.7318886314300986,0.5362227371398027,0.24470184339884113,0.043034805183675036,0
airplane_2,0.6831899481838336,0.6336201036323328,0.3042609588817627,0.06166653589501688,7688300
airplane_3,0.719128309961736,0.5617433800765279,0.26261584372000274,0.048460241000500795,1020400
airplane_4,0.7245668386467692,0.5508663227064617,0.26666407880263077,0.047215540197768927,1987600
airplane_5,0.7879269984022665,0.424146003195467,0.17921119144481923,0.027424962937439075,1007600
ball_1,0.6016517263025738,0.7966965473948526,0.40415771812981444,0.11085737529483049,1993800
ball_2,0.7751989956057753,0.44960200878844947,0.15929450828764583,0.05551657423913747,1123000
ball_3,0.673834958594536,0.652330082810928,0.34400554697317204,0.07442135860152145,2001400
ball_4,0.632110985561833,0.735778028876334,0.37451807095096706,0.08949571323761496,1983900
ball_5,0.78198958679517,0.43602082640966,0.16828144810566945,0.03348355495339502,1565200
car_1,0.6391013220912558,0.7217973558174883,0.3726521164062673,0.08992451680821549,0
car_2,0.6196692190771171,0.7606615618457657,0.3966080562593786,0.10237825486231966,0
car_3,0.6070201038171442,0.7859597923657117,0.40758096870694993,0.10849686080283004,0
car_4,0.5981030141386332,0.8037939717227338,0.3996231855792138,0.11006038998744774,6940400
car_5,0.5849219650692592,0.8301560698614816,0.41359906285922593,0.1179424987057694,1137400
cat_1,0.6211508594783027,0.7576982810433948,0.3897318683992402,0.09766682429804266,1998800
cat_2,0.6235454877446241,0.7529090245107517,0.38015250979884446,0.09569516046329789,1988600
cat_3,0.6406381126889601,0.7187237746220797,0.3571036624820357,0.08090871274847855,1915400
cat_4,0.6331242642056378,0.7337514715887243,0.36187097770898363,0.08810299794779354,1584600
cat_5,0.6068120527306968,0.7863758945386066,0.410129973729008,0.11120775206279464,1999600
dolphin_1,0.618378562636114,0.7632428747277721,0.3885787773896987,0.10070509071492334,1008400
dolphin_2,0.6353096751412428,0.7293806497175142,0.3501873438441293,0.08558825617442087,998700
dolphin_3,0.8353414284509655,0.329317143098069,0.12760906231687608,0.019126460988248824,1217900
dolphin_4,0.7374667835573738,0.5250664328852523,0.23386619589969523,0.04837069373983959,0
dolphin_5,0.7552298925826242,0.48954021483475185,0.23082034660551046,0.03580723871422424,0
face_1,0.6163193453514036,0.7673613092971927,0.3865154639919823,0.09678418523726268,6969600
face_2,0.6135498833368406,0.772900233326319,0.40381845985868414,0.10611012975377554,2136500
face_3,0.6267789492415143,0.7464421015169714,0.37945428268730463,0.09225715159537091,2003400
face_4,0.6388782677968197,0.7222434644063609,0.37265089324530565,0.08690902853879731,2845900
face_5,0.6011524182032657,0.7976951635934687,0.4007989745649575,0.10632785080467262,2287700
lotus_1,0.6276732045493795,0.744653590901241,0.3791787908270904,0.09316326248083089,1001500
lotus_2,0.6919765940274415,0.616046811945117,0.31772680522401486,0.062219972509131305,1988500
lotus_3,0.8794576734278042,0.24108465314439192,0.10309408435904593,0.010888360863767139,1597600
lotus_4,0.6315108380039165,0.7369783239921669,0.3701941740250466,0.08980785695411435,0
lotus_5,0.644473730735232,0.7110525385295362,0.37169230932125524,0.08648856973828498,0
pickles_1,0.697122558760525,0.60575488247895,0.270113702619995,0.08644936254706156,125090100
pickles_2,0.682472372881356,0.635055254237288,0.2773355321863847,0.10012737407180489,160927200
pickles_3,0.7224216659996847,0.5551566680006305,0.23313599440924562,0.0684815890680199,109849300
pickles_4,0.7200295133296541,0.5599409733406917,0.23690921710703314,0.06674924898787245,153048100
pickles_5,0.7191866495808954,0.561626700838209,0.2282419767835184,0.07279662202412499,69724000
