dolphin_query (4187000),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,0.8560345850361117,0.2879308299277765,0.13125880257836378,0.015535648513343782,0
airplane_2,0.9075894557388229,0.18482108852235432,0.07296470041359537,0.006654285402233115,7688300
airplane_3,0.873262189734417,0.25347562053116623,0.11289917806751947,0.012189708278313154,1020400
airplane_4,0.886318682265039,0.22736263546992225,0.10367651494229828,0.009730411034125072,1987600
airplane_5,0.8138163697224922,0.3723672605550157,0.19436992389090701,0.027057689201551143,1007600
ball_1,0.8972444444444445,0.2055111111111111,0.082462884364228,0.010640573737825188,1993800
ball_2,0.48170370370370375,1.0365925925925925,0.45149634928273547,0.1769588524414736,1123000
ball_3,0.9112595129375951,0.17748097412480976,0.06160563986208389,0.007891962099359263,2001400
ball_4,0.9221037037037036,0.1557925925925926,0.046950039114355434,0.0037962477152091423,1983900
ball_5,0.7043511982570806,0.5912976034858388,0.23763653379244695,0.0531725223200261,1565200
car_1,0.9470462116939274,0.10590757661214516,0.03581979645089809,0.0022295480735167114,0
car_2,0.9409825155104343,0.1180349689791314,0.04763179325135376,0.00295190949351313,0
car_3,0.9014605752961082,0.19707884940778342,0.07619211361749004,0.00847877181136462,0
car_4,0.9201308516638467,0.15973829667230682,0.05439415960057933,0.004541662277225675,6940400
car_5,0.8971261515322428,0.2057476969355142,0.07119238603271869,0.007412903664780873,1137400
cat_1,0.9158934594168637,0.16821308116627265,0.05100561507848215,0.004466510544439282,1998800
cat_2,0.9060035487959442,0.18799290240811153,0.06263602028822102,0.006687607425658116,1988600
cat_3,0.9141945945945946,0.1716108108108108,0.05367039925060819,0.005472738497581649,1915400
cat_4,0.9094571262361839,0.18108574752763235,0.06525952712043544,0.00708518012946819,1584600
cat_5,0.8745925925925926,0.2508148148148148,0.09237841659095404,0.014309639222810446,1999600
dolphin_1,0.8944677012207738,0.21106459755845233,0.061922641372909815,0.00697497419579989,1008400
dolphin_2,0.845863888888889,0.3082722222222222,0.1032091189655949,0.0211033428345156,998700
dolphin_3,0.7295529021558873,0.5408941956882256,0.2552918199890076,0.0484707492596859,1217900
dolphin_4,0.7301290549169859,0.539741890166028,0.19509849323672493,0.04575392242483603,0
dolphin_5,0.8671776824034335,0.265644635193133,0.13586661243278356,0.014020329088187318,0
face_1,0.917634096908869,0.16473180618226219,0.051101819456568526,0.004376609724243177,6969600
face_2,0.8974001239473515,0.20519975210529723,0.07881287373673686,0.010023564689598433,2136500
face_3,0.9057759350702631,0.1884481298594738,0.060915294419244155,0.007440192247012147,2003400
face_4,0.9247710044675026,0.15045799106499497,0.04771681305416724,0.004376975481020059,2845900
face_5,0.8930515262515262,0.21389694749694751,0.07467546273290741,0.009118699048264284,2287700
lotus_1,0.9152466440239366,0.16950671195212683,0.06009463547446985,0.005858995503675627,1001500
lotus_2,0.930453590325019,0.1390928193499622,0.05093182677214218,0.003179706026451548,1988500
lotus_3,0.5630962355798422,0.8738075288403158,0.4529644195681086,0.12339313068774428,1597600
lotus_4,0.9184942009738823,0.1630115980522355,0.062095594486882545,0.00589716193823142,0
lotus_5,0.9091739984882842,0.18165200302343162,0.05835224569532835,0.007581205810881775,0
pickles_1,0.40582497591401295,1.1883500481719742,0.617069672852899,0.28830568772490883,125090100
pickles_2,0.40042139814814814,1.1991572037037037,0.6230179604254493,0.30959390751257876,160927200
pickles_3,0.4476184537038147,1.1047630925923706,0.5746863112852751,0.23901655631505764,109849300
pickles_4,0.4412850455891082,1.1174299088217836,0.580884981961488,0.24081631349185723,153048100
pickles_5,0.45316941609641304,1.0936611678071737,0.5693975904627154,0.24566827636453914,69724000
