cat_cropped_query (2995100),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,0.9180549946641532,0.1638900106716938,0.04956900682520346,0.00563952806786229,0
airplane_cropped_2,0.9220497697300887,0.15590046053982262,0.04541954199209241,0.004079355057318476,0
airplane_cropped_3,0.8532286106127474,0.2935427787745054,0.09204868084086994,0.017132117901553553,0
airplane_cropped_4,0.8802573475619618,0.23948530487607625,0.07600325097715786,0.011310984211275183,0
airplane_cropped_5,0.883980356325239,0.23203928734952212,0.06995340313780946,0.009912197530237954,0
ball_cropped_1,0.669937931042814,0.6601241379143719,0.2493566554500815,0.0794903334408357,6780000
ball_cropped_2,0.5875280329782049,0.8249439340435902,0.2942842101040482,0.10885134971596427,1082200
ball_cropped_3,0.8507426748492292,0.2985146503015418,0.09514427338117573,0.015587688635276327,2003600
ball_cropped_4,0.8952918466142687,0.20941630677146233,0.06309850765394674,0.008186541283742308,1007300
ball_cropped_5,0.7187040906516684,0.5625918186966633,0.19527749384675933,0.048304456705988784,995800
car_cropped_1,0.8773236791673461,0.24535264166530785,0.075462382952444,0.010019001813162285,0
car_cropped_2,0.9049834118986705,0.190033176202659,0.059112987365098485,0.006095248061169954,1009200
car_cropped_3,0.887166642034866,0.22566671593026844,0.07348746466821995,0.009047707033155874,801000
car_cropped_4,0.9089405599817152,0.18211888003656995,0.05935139307996515,0.005319219454726478,0
car_cropped_5,0.8858760117450816,0.2282479765098369,0.0742647665440581,0.008733798241107548,1103600
cat_cropped_1,0.9283432120054833,0.1433135759890334,0.04053348149164321,0.003514741735465989,1010200
cat_cropped_2,0.9413832960150894,0.11723340796982135,0.034396432090283355,0.002544748747503627,1997400
cat_cropped_3,0.9484896162004153,0.10302076759916952,0.03234849547486521,0.0021941668863742327,1003500
cat_cropped_4,0.9296707303406737,0.1406585393186526,0.04439849368478291,0.0038935973225963064,1515200
cat_cropped_5,0.8803544720768586,0.23929105584628285,0.0834478436873732,0.011059247204650045,0
dolphin_cropped_1,0.9426324642035364,0.11473507159292715,0.03338051498273051,0.0019363708344938364,0
dolphin_cropped_2,0.8584590120977137,0.2830819758045726,0.10178402405924082,0.01696245901960815,0
dolphin_cropped_3,0.8308225195730035,0.338354960853993,0.1277175983823998,0.01918746971857015,0
dolphin_cropped_4,0.8507161580130809,0.29856768397383826,0.10328650228740148,0.019087251549171617,0
dolphin_cropped_5,0.8594577240611972,0.2810845518776055,0.1057210122004658,0.013814149870305653,0
face_cropped_1,0.9426796344145201,0.11464073117095998,0.035138450625467284,0.0022864737626166324,8320100
face_cropped_2,0.9289288516580737,0.14214229668385253,0.04443708993533243,0.003197180280546129,1010300
face_cropped_3,0.9292435522016086,0.14151289559678273,0.048170481440497855,0.0037752673754716443,1002000
face_cropped_4,0.9561455634697568,0.08770887306048672,0.02570233662723568,0.0013947311532611026,2000100
face_cropped_5,0.9196456027981522,0.16070879440369562,0.05626037278850993,0.004873664886708766,1687300
lotus_cropped_1,0.9514993846952451,0.09700123060950981,0.027934826144621953,0.001714443015575964,643700
lotus_cropped_2,0.9438205811839452,0.11235883763210959,0.03298264809157021,0.00231527272101967,0
lotus_cropped_3,0.8012330703621104,0.3975338592757792,0.184791443490948,0.03153835690840944,0
lotus_cropped_4,0.9587196491959122,0.08256070160817572,0.025693752369228072,0.0012948418329696483,0
lotus_cropped_5,0.8835248087271202,0.23295038254575953,0.06961200322765329,0.008828134040624403,0
pickles_cropped_1,0.6234673862327631,0.753065227534474,0.3880502096524506,0.10541515882920414,68939000
pickles_cropped_2,0.6779902722873916,0.6440194554252168,0.32949943585645064,0.07742303015884983,42044100
pickles_cropped_3,0.6501351474733542,0.6997297050532916,0.3338084678818852,0.0836317464680961,83926700
pickles_cropped_4,0.6736434806163307,0.6527130387673388,0.31139721195504955,0.07138839734915695,68733000
pickles_cropped_5,0.64537540057059,0.7092491988588203,0.33541286241983725,0.0865257309530322,72122200
