ball_cropped_query (14635800),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,0.7788754201656293,0.0379047696479662,0.011127849173487166,2.391407539051876,999200
airplane_cropped_2,0.7987227305439512,0.0394327145758199,0.009832549513087407,2.453144421187701,2568300
airplane_cropped_3,0.7524001415651096,0.035832190150982914,0.010190422365693584,2.317747207569093,0
airplane_cropped_4,0.7842344440334276,0.03854782727691487,0.008827121070081136,2.4149000757975907,0
airplane_cropped_5,0.7166783073076537,0.041893521922927626,0.0098749225205776,2.299253090746166,6157400
ball_cropped_1,0.8762654400709203,0.03463257376158969,0.009153260750172754,2.5258822628484325,1076600
ball_cropped_2,0.9255285117929092,0.05554912140475959,0.025032567792848945,2.8213242175827524,3004400
ball_cropped_3,0.9435609506418152,0.02588110365761527,0.004888294506554781,2.5145048570777937,4004900
ball_cropped_4,0.7876277136859329,0.03545147424529278,0.013990818401565304,2.3835512300321047,988400
ball_cropped_5,0.9324200270968362,0.0369635084110135,0.01261797469759786,2.5939457009511533,3000200
car_cropped_1,0.7358481779987376,0.04380572257000967,0.0077335686705815995,2.402383625082378,1529400
car_cropped_2,0.7236975360573389,0.04948417077921146,0.011436247909739952,2.4655267352332193,0
car_cropped_3,0.6809084622284304,0.05841900863210434,0.01845873041554185,2.512953599350202,0
car_cropped_4,0.7003765708260196,0.05113231766655259,0.01632431396719921,2.42304519578722,0
car_cropped_5,0.6004432701068267,0.06842752567962358,0.024501204084294775,2.3672058227900123,0
cat_cropped_1,0.8450321284880609,0.02525239699619275,0.004680048138590059,2.379009721249011,0
cat_cropped_2,0.7920704721648598,0.030602263493207604,0.011257876245017834,2.3293308187903867,9336100
cat_cropped_3,0.7900152663173083,0.03631694061816988,0.00966936066259901,2.398478173844485,1999100
cat_cropped_4,0.7472653444230155,0.03994966383154311,0.019024871508011673,2.3391523521753035,2682600
cat_cropped_5,0.8048489332904731,0.03514751088997673,0.004832636188177669,2.42141619298523,3273000
dolphin_cropped_1,0.7567555519771905,0.04614654055539847,0.013011584806755764,2.4637964169264306,1004200
dolphin_cropped_2,0.7918948443028448,0.03754476286486402,0.0073654853925112914,2.4368194254868176,995400
dolphin_cropped_3,0.8946882529103152,0.0449321904289076,0.015719063124271154,2.656653434520489,1662900
dolphin_cropped_4,0.7221840981240082,0.046788647388870744,0.016783684385568407,2.384903821542586,0
dolphin_cropped_5,0.8959569847521526,0.02545470414416702,0.004927668084784226,2.4508192410822165,0
face_cropped_1,0.972863803947083,0.023270705081292066,0.004473730673631515,2.5174404302510176,6892900
face_cropped_2,0.9498477680917954,0.027796432620144362,0.006867396696710623,2.5328752233510867,3005900
face_cropped_3,0.9384440886696322,0.03026327081556946,0.009635867894328364,2.544571274913545,1742400
face_cropped_4,0.9574419531974849,0.02340900391893475,0.00438300500181552,2.502290224735591,2434200
face_cropped_5,0.9126947389948452,0.02726257856713062,0.005245680312025053,2.4923348386786905,0
lotus_cropped_1,0.8375877910106165,0.029222003107690006,0.010576589070096551,2.411829472444872,6969800
lotus_cropped_2,0.8969587237846086,0.023937190706325818,0.004313480624521454,2.448825379441675,0
lotus_cropped_3,0.9878304188071729,0.0437694723080744,0.01433043314760461,2.7294485951035976,0
lotus_cropped_4,0.8803364387246603,0.026699076045699974,0.005952818976768422,2.4620434393063766,0
lotus_cropped_5,0.9292561692323321,0.029734077178866024,0.008207707846218644,2.5254645168061645,7191300
pickles_cropped_1,0.9296359178537229,0.056245975083017215,0.023790073386321702,2.821922037881621,130084500
pickles_cropped_2,0.9598559472363565,0.04024992741793978,0.015182119884798643,2.647880642117111,71554300
pickles_cropped_3,0.9515131131033979,0.045251023927407104,0.01668974910464835,2.6910640468897586,129560600
pickles_cropped_4,0.9670812390638528,0.04168642957236119,0.015344935731411874,2.668175697042856,98820600
pickles_cropped_5,0.9479972579937399,0.04984435949916087,0.017994989129961687,2.7465888370044613,112405400
