lotus_cropped_query (14642100),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,0.42089433803574233,0.057045360164297954,0.03648115118463269,2.7889132470755875,1994700
airplane_cropped_2,0.47676429031068723,0.04566686078353888,0.02803605120563172,2.871813596609436,1619800
airplane_cropped_3,0.4461357403420155,0.05173988473413555,0.02709131349177575,2.811984119326422,0
airplane_cropped_4,0.4762690625060293,0.04582696411019451,0.025071084162114878,2.8586213194426136,0
airplane_cropped_5,0.4214337598054886,0.05705945805733229,0.030562566547603073,2.7864289932910102,0
ball_cropped_1,0.6259757188018246,0.025988887448127402,0.010146321342430785,3.0199496830274244,0
ball_cropped_2,0.8827970727862059,0.014320897250535182,0.00636321691402877,3.2881123169606914,6931100
ball_cropped_3,0.5414125054877102,0.03566087768681074,0.02148097107673612,2.9101801183800458,3140900
ball_cropped_4,0.3958501276934988,0.06286459287522742,0.04360922176107904,2.770595704448937,1019000
ball_cropped_5,0.63309780740239,0.025685268134876194,0.00936552438076427,3.0420733877154507,2927300
car_cropped_1,0.45982015088763173,0.04876260396627137,0.021802342483248412,2.866043335921939,833300
car_cropped_2,0.48013535225668225,0.04489887678577488,0.02396063806664646,2.9395445703271954,0
car_cropped_3,0.5028998638906298,0.041390904449366814,0.022477619055633585,2.9696291816488416,0
car_cropped_4,0.4232775981649388,0.05599512519958321,0.02864259332953358,2.8453920069595213,0
car_cropped_5,0.42635820692931553,0.055296244639003685,0.025041757657337106,2.8773301776988798,0
cat_cropped_1,0.45604075610676004,0.04971121065074033,0.02800460277635186,2.812000174965627,0
cat_cropped_2,0.4293937450377456,0.05539911731184916,0.0324430180490009,2.774814203913647,6216800
cat_cropped_3,0.48601223526380816,0.04417589045677417,0.024491903768576392,2.8466019102851026,0
cat_cropped_4,0.4039764003699889,0.06134973473329772,0.040382901231902864,2.7553292501304076,0
cat_cropped_5,0.5944048463845293,0.028974021470004725,0.010794074447036775,2.962248773744056,7987400
dolphin_cropped_1,0.4473916329797857,0.05088949636248297,0.028999126647880936,2.8613342214482342,1001200
dolphin_cropped_2,0.5147008085612013,0.03953702343286207,0.019715979231911138,2.8974499745919102,1994600
dolphin_cropped_3,0.6196236412440413,0.026880164720272468,0.0108597276491399,3.0245443129886413,1012900
dolphin_cropped_4,0.36307815689074086,0.07144743063332089,0.04606837800367228,2.739462359520561,998600
dolphin_cropped_5,0.5207507123283395,0.03852907836336078,0.01939277563531703,2.876517563891107,1043100
face_cropped_1,0.5288028983359037,0.037409753328356346,0.02370911531093707,2.893566630904374,0
face_cropped_2,0.5599722381063935,0.03302976309475044,0.02017728132461398,2.9104265190703753,6602900
face_cropped_3,0.5881756775117569,0.029519773075055065,0.016155073890571914,2.939912121273684,2111400
face_cropped_4,0.5115146750649249,0.03998477002778146,0.026663008011623343,2.871778348402381,1980400
face_cropped_5,0.5480364158225627,0.03466441000727838,0.019595743965087876,2.9054922751850616,3132800
lotus_cropped_1,0.44011311776228174,0.05283928996849108,0.03346819782972729,2.816114813245898,0
lotus_cropped_2,0.4622349727605517,0.04843238174587793,0.03004309926669093,2.8373976107455308,0
lotus_cropped_3,0.802528232803656,0.01373314732919569,0.005242175994480098,3.154894541838064,0
lotus_cropped_4,0.4753873477352189,0.04586394444039393,0.025724840901967888,2.877949239335979,6668900
lotus_cropped_5,0.6036355838289477,0.02771885993190584,0.014489813575158493,2.946123598031438,267500
pickles_cropped_1,0.8018633383956014,0.01931990832285703,0.006630548612058127,3.289673820315902,110826000
pickles_cropped_2,0.809058735991556,0.013804357065297753,0.004416333537754258,3.1725456076056733,64768600
pickles_cropped_3,0.8155854852948299,0.016532398026999583,0.0057482419149633346,3.2375111520627553,125877700
pickles_cropped_4,0.819144830666046,0.012032628487544394,0.004093564880819824,3.152802257247854,101031100
pickles_cropped_5,0.8040899906209714,0.018385701845087764,0.006555832222147758,3.266097581616154,113788500
