airplane_cropped_query (14642100),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,0.7634088496325513,0.02990464861818642,0.016181535818832023,2.4547148390308786,1994700
airplane_cropped_2,0.8736408559947177,0.018771328753528882,0.0074176959440623415,2.5286443046705016,1619800
airplane_cropped_3,0.843864885263314,0.017281599320312226,0.006011447699641887,2.4711233929015957,0
airplane_cropped_4,0.8757054885401823,0.017192268630513107,0.004904072553409658,2.517771438008198,0
airplane_cropped_5,0.7837289674813229,0.025568434086578076,0.009988393130220428,2.449388896450698,0
ball_cropped_1,0.8753337466991398,0.0334213022896872,0.012937064677612865,2.699361439935103,0
ball_cropped_2,0.9473487404694019,0.04845639096236822,0.0274103856544873,2.9687552331152354,6931100
ball_cropped_3,0.887207806729794,0.022986808474209912,0.007252794700053929,2.5984371635932253,3140900
ball_cropped_4,0.6618673823721093,0.04789166167416778,0.024287008908271547,2.4592792203225473,1019000
ball_cropped_5,0.8634760656695991,0.03652702753767561,0.013593936543035739,2.717088467823848,2927300
car_cropped_1,0.8557866750563772,0.01913899469410156,0.002904981137886659,2.528089950814683,833300
car_cropped_2,0.9058630731676144,0.017734330835273968,0.0036910791595251824,2.579548537546018,0
car_cropped_3,0.8890834612746966,0.022727414048174355,0.007135196848483244,2.601880968657502,0
car_cropped_4,0.7962110701948998,0.025876212713498783,0.009162528681052487,2.483998718755508,0
car_cropped_5,0.7580563450594378,0.03337938006326679,0.012672899692167517,2.5041757342412447,0
cat_cropped_1,0.7790870798746398,0.030509755930281546,0.00987552596863245,2.5021517523604864,0
cat_cropped_2,0.7355698862011839,0.035297400618800594,0.013840475579758559,2.4658041377716384,6216800
cat_cropped_3,0.8076576714587039,0.02882633883089685,0.008810525355175725,2.5440710784880816,0
cat_cropped_4,0.7076930060870998,0.0383584430948935,0.02067304975644113,2.4324765792389806,0
cat_cropped_5,0.8363536661210753,0.034818697632848936,0.012577071533781795,2.6603657884698175,7987400
dolphin_cropped_1,0.8393854101271213,0.022100609519155587,0.008190613818113429,2.5142709922407884,1001200
dolphin_cropped_2,0.8713994367457316,0.022862923035561325,0.00663172358463709,2.581087776298739,1994600
dolphin_cropped_3,0.8809169829724248,0.033015435909480396,0.012598615067645208,2.6936100596432686,1012900
dolphin_cropped_4,0.6259037188873505,0.053353992507987065,0.026531044964802675,2.4269129838539625,998600
dolphin_cropped_5,0.8861757842498174,0.01930953617896071,0.004946501514680691,2.5544962664760624,1043100
face_cropped_1,0.8887763292915893,0.021036904415592365,0.006611151268070566,2.5762748837778253,0
face_cropped_2,0.9251879853119599,0.018259145350038683,0.00652245572181111,2.5983932138593073,6602900
face_cropped_3,0.903611213967029,0.024282737918752278,0.00831356553229387,2.630559713414786,2111400
face_cropped_4,0.8444280223996489,0.025633983068360677,0.00918543133621245,2.560196974838781,1980400
face_cropped_5,0.9049449609958319,0.020255432651456455,0.00681902357458342,2.5924229723325336,3132800
lotus_cropped_1,0.7432054447788106,0.03585397904162918,0.014310108553602085,2.5023740052239614,0
lotus_cropped_2,0.7829579830258334,0.031067856015932732,0.011469460253683565,2.520996982597306,0
lotus_cropped_3,0.945662547464016,0.039216536559610944,0.01688168968210558,2.839878659802706,0
lotus_cropped_4,0.8216537189325924,0.027775168736040877,0.008122000500376921,2.55830661734744,6668900
lotus_cropped_5,0.8986963602460712,0.026338341695424403,0.009070258531068328,2.641235442839162,267500
pickles_cropped_1,0.8622987743298804,0.05358785234124785,0.026713054562164103,2.9662856108927556,110826000
pickles_cropped_2,0.9270159979235856,0.041883976328161675,0.021874127847511714,2.838624156301423,64768600
pickles_cropped_3,0.9210684654085243,0.046852481132352936,0.025033320229202308,2.9042450902600523,125877700
pickles_cropped_4,0.92326120107642,0.04108729473580884,0.020847363392349934,2.822151283459378,101031100
pickles_cropped_5,0.9306172378760309,0.047407211287965365,0.025759971509622316,2.926919209379943,113788500
