lotus_cropped_query (7224500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.7015666170279411,0.596866765944118,0.26044968207058156,0.0661106932518989,47.77098413437278,0.05486164045166446,4,6179800
airplane_cropped_2,0.6772335741016882,0.6455328517966237,0.2831863706376563,0.08354216178777966,47.30736270406376,0.049380699358799636,6,7173500
airplane_cropped_3,0.6885659110120845,0.6228681779758308,0.24897587887322326,0.06947646291724935,52.224136025521126,0.06089297694041348,7,6661600
airplane_cropped_4,0.6821513863433523,0.6356972273132955,0.2676097464872034,0.0767831916617697,51.686271886232916,0.05424856199606807,11,5658200
airplane_cropped_5,0.6755104042110324,0.6489791915779352,0.2619026328058969,0.0778012026879653,51.382500110716734,0.05657076868742793,6,6032200
ball_cropped_1,0.5969949427666529,0.8060101144666941,0.26389435809278977,0.11327172326863652,70.98924243797875,0.06082870413457211,2,4499100
ball_cropped_2,0.7678248736800518,0.4643502526398964,0.09215801454552754,0.061958252072220756,30.087235879409178,0.14184696037999694,2,8795100
ball_cropped_3,0.7571085172086536,0.4857829655826925,0.19388042170803746,0.043890395758215545,31.296961546929314,0.07925949888235247,5,13891400
ball_cropped_4,0.668179283437218,0.663641433125564,0.24614968925957337,0.08017172879879488,50.214128513487076,0.062170552338769725,1,5018100
ball_cropped_5,0.8014862510887146,0.39702749782257063,0.06729062376365062,0.04043974123281988,20.8456326987682,0.13397142465873704,0,12044300
car_cropped_1,0.6971439377391925,0.605712124521615,0.24896542653277703,0.06701693238389772,48.88853757757733,0.05952166777247264,10,2507300
car_cropped_2,0.6614955075201436,0.677008984959713,0.2565044471537577,0.08085541981646831,43.613250364790126,0.059299275677432955,11,1999900
car_cropped_3,0.6660430325574938,0.6679139348850126,0.26527838099582246,0.08072791962899105,46.56122145500262,0.055457870809713365,10,1577800
car_cropped_4,0.6765913481155243,0.6468173037689513,0.2617694005591199,0.07668375769874437,47.48544013963357,0.05555369179416707,9,3005600
car_cropped_5,0.666155526448658,0.667688947102684,0.2592345481216923,0.08106664107481378,45.94468093798717,0.057697170463519076,11,2568200
cat_cropped_1,0.6988210775164864,0.6023578449670275,0.28711276141010766,0.07463450447893939,44.40083090705486,0.04432356964536098,8,8591400
cat_cropped_2,0.6890298221378932,0.6219403557242134,0.28475611214198854,0.07466638201542705,47.55081310920736,0.04471015121506176,4,14703400
cat_cropped_3,0.7017265946334202,0.5965468107331595,0.28792709071763767,0.07567370064695352,42.58740624082374,0.04425758468946611,7,9166800
cat_cropped_4,0.7203835265145455,0.5592329469709089,0.2458865710056054,0.05962635812972887,44.85885801800644,0.05969230254735877,0,10012600
cat_cropped_5,0.6793259178781842,0.6413481642436314,0.29348419251443514,0.08475203505420767,38.32333278597701,0.04384415919179053,7,11518100
dolphin_cropped_1,0.6584844553700684,0.6830310892598632,0.27099797241421225,0.08186359030400474,40.810120707562106,0.0533702059235351,6,5997900
dolphin_cropped_2,0.717779392225493,0.5644412155490139,0.2199579952007805,0.057015870444744994,34.397931956433794,0.07207012704149177,9,3998800
dolphin_cropped_3,0.8256912673697879,0.34861746526042403,0.12290054771040394,0.021671259355092114,21.054272160541647,0.10369882495612649,8,6103900
dolphin_cropped_4,0.664432507008029,0.671134985983942,0.2694175709212904,0.08109171625072233,50.122482093845356,0.052018531123618615,3,4064100
dolphin_cropped_5,0.820671119335433,0.3586577613291342,0.152391886203604,0.021993934280879788,29.416672290030444,0.09206878206469152,6,12072700
face_cropped_1,0.7107857409481151,0.5784285181037702,0.27525713579834604,0.06557880619233208,42.11100762489111,0.047730977626913036,2,11616000
face_cropped_2,0.7137877997780862,0.5724244004438275,0.2763890655398683,0.06509115608880417,38.909233605436285,0.047417221308584716,6,9604100
face_cropped_3,0.7059798484350711,0.5880403031298577,0.27415612918035454,0.06701151858252,37.01042774346028,0.04842127502898229,4,9128800
face_cropped_4,0.7244772867688634,0.5510454264622731,0.26251245265074796,0.05861529750478772,38.846711984147916,0.05225456431479147,4,13193900
face_cropped_5,0.7019371960357235,0.596125607928553,0.2868329314755149,0.07298391809993326,38.380056763775,0.04394980644501958,5,11057500
lotus_cropped_1,0.712321655245155,0.5753566895096899,0.23908403879090245,0.06429087361656018,42.435148117848065,0.06351679924169523,3,5921900
lotus_cropped_2,0.7219891665362426,0.5560216669275149,0.26476862486658215,0.06346533391100177,39.64253619871667,0.051872951903797274,3,4662500
lotus_cropped_3,0.9068253184951802,0.18634936300963975,0.047364833410982465,0.007361711208927061,5.757321118639849,0.13118209045575563,8,7741800
lotus_cropped_4,0.6970082018617934,0.6059835962764133,0.26693825291470696,0.072458767481931,39.2464644345341,0.05180657145309541,7,3183000
lotus_cropped_5,0.7394996578325246,0.5210006843349508,0.22831242420049344,0.04936185598168729,25.638536824007158,0.06602505748350747,7,16704800
pickles_cropped_1,0.7476238640398954,0.5047522719202091,0.180133017464672,0.04624621855713408,16.01198317260334,0.20740089159040387,4,862983600
pickles_cropped_2,0.8169816072337913,0.3660367855324175,0.11165553044594316,0.0261956429032584,7.868274297736097,0.18276640605803093,3,401760500
pickles_cropped_3,0.8001721555362153,0.3996556889275694,0.12249374185278676,0.03193379771560985,7.576810446911386,0.1856927283550027,1,821348100
pickles_cropped_4,0.8214421280752751,0.3571157438494501,0.09670000240813209,0.027594615752706213,5.266031839265085,0.1758895346340785,1,670169800
pickles_cropped_5,0.7850982526797514,0.4298034946404971,0.1327955407994604,0.03807180165152907,8.663346351617289,0.18904242751579145,4,672391100
