face_cropped_query (7224500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.8082011443933763,0.3835977112132475,0.06466556648232641,0.02885315895869775,9.43799577171801,0.025398710470020087,2,6179800
airplane_cropped_2,0.765709301573099,0.46858139685380196,0.08805303248371654,0.04472752193666574,10.567835870917758,0.02431216066873665,5,7173500
airplane_cropped_3,0.7592645409791083,0.4814709180417833,0.08980444156343936,0.04660728385890374,13.932885312732346,0.026565921525762058,5,6661600
airplane_cropped_4,0.7716618673531723,0.4566762652936554,0.08534021327595696,0.04384347336025222,12.771907941808783,0.025125443519810026,5,5658200
airplane_cropped_5,0.7461681367399162,0.5076637265201676,0.08600093441310233,0.047922926590409295,13.222318389624801,0.025880052180057,3,6032200
ball_cropped_1,0.6857316044304997,0.6285367911390005,0.12080172224862487,0.08005940896099235,29.806511626129215,0.02706316151932014,2,4499100
ball_cropped_2,0.558790328291148,0.8824193434177039,0.28563841335611206,0.13357860085322357,17.361530912212235,0.04400972792744745,1,8795100
ball_cropped_3,0.8023541223608386,0.3952917552783228,0.10860958135505351,0.03026516960006939,10.41178619328558,0.030867156579397897,2,13891400
ball_cropped_4,0.794784825327532,0.4104303493449359,0.08547699199601642,0.03274088226480035,10.049718899234275,0.027523098336980665,1,5018100
ball_cropped_5,0.6792900496140029,0.6414199007719944,0.25439767810030006,0.0880908551673783,20.87664367438042,0.04258721868783791,0,12044300
car_cropped_1,0.7848328940092091,0.43033421198158156,0.07870568351025523,0.039033771816016145,10.615560421380136,0.026127136585650423,6,2507300
car_cropped_2,0.7010482573559149,0.5979034852881702,0.09872547396915113,0.06966841035074087,14.617182546653346,0.02603405109430583,7,1999900
car_cropped_3,0.7349074955362583,0.5301850089274833,0.08977813379416881,0.05723356171194133,13.10965770696409,0.02532499318507611,6,1577800
car_cropped_4,0.7561236671789073,0.48775266564218533,0.07764874952174998,0.04793353213665716,12.472635936172932,0.02551150649482403,7,3005600
car_cropped_5,0.7195882428802489,0.5608235142395022,0.09170230471398529,0.06363318464294454,13.71816098250146,0.025804658905781975,7,2568200
cat_cropped_1,0.891849654054728,0.21630069189054418,0.03748071662614801,0.011171232887002629,3.4525327276511626,0.023548905785487087,5,8591400
cat_cropped_2,0.9296815183708984,0.14063696325820307,0.021578654620292795,0.004924081071146391,5.842065368992502,0.023731223065823415,3,14703400
cat_cropped_3,0.8789438643831251,0.24211227123374954,0.04277662917417405,0.013546200114115637,2.7042184057992182,0.023504538789537312,5,9166800
cat_cropped_4,0.8462778956343805,0.30744420873123895,0.0639281765379328,0.019033169731447787,7.5894121687275415,0.026589868887335756,0,10012600
cat_cropped_5,0.8236612412726062,0.35267751745478726,0.05865124595535351,0.024603736953783012,4.134108551371665,0.02390152981092007,5,11518100
dolphin_cropped_1,0.7408391085321834,0.5183217829356332,0.08936494282968818,0.05854863676963406,13.303998109248068,0.024807979263627666,4,5997900
dolphin_cropped_2,0.7355032674718397,0.5289934650563206,0.11031578422566092,0.05622944093321306,11.613402362737633,0.028886970060465967,4,3998800
dolphin_cropped_3,0.747144378332351,0.5057112433352976,0.1706478229051588,0.04902136447102959,20.65447557967324,0.03540162685601212,3,6103900
dolphin_cropped_4,0.8193535461682024,0.36129290766359523,0.06431435654804246,0.029192940968761263,9.12693773718426,0.024954145972350728,2,4064100
dolphin_cropped_5,0.8086349799817543,0.3827300400364915,0.13651916782945592,0.029675499682575834,13.031165589842288,0.033072553279876266,4,12072700
face_cropped_1,0.9566652522820613,0.0866694954358772,0.014680499741967067,0.0020244192081489225,1.7902778632685066,0.024217333811792852,3,11616000
face_cropped_2,0.9550111566841185,0.08997768663176309,0.013401990860930158,0.002260488250986269,2.8159849962630323,0.02423374172132951,4,9604100
face_cropped_3,0.937649229904969,0.12470154019006183,0.020782968986307736,0.0038140260326231562,4.698319996754597,0.024496970029879196,2,9128800
face_cropped_4,0.9336858756770842,0.13262824864583156,0.0262258901052172,0.0038240792682441987,3.389833865793462,0.025077928874503806,2,13193900
face_cropped_5,0.9346680540752008,0.1306638918495986,0.020290619314896292,0.004426403335752341,3.686997083732887,0.023591386435609492,5,11057500
lotus_cropped_1,0.8099258992920235,0.38014820141595296,0.078340692405834,0.02496869272860156,7.465332562978809,0.02773962531792958,1,5921900
lotus_cropped_2,0.8992737707777863,0.20145245844442727,0.03728517032491812,0.009798951172205332,4.472096470068235,0.02493994161485085,3,4662500
lotus_cropped_3,0.7447090898733155,0.5105818202533691,0.24127651886706902,0.05659704119300047,36.18207164680789,0.041907494216737326,6,7741800
lotus_cropped_4,0.8762732491978436,0.2474535016043128,0.04007525701854958,0.011829025556860795,3.538202379231196,0.025342443092384256,6,3183000
lotus_cropped_5,0.8090498633092755,0.38190027338144894,0.07663684171259652,0.026815935989212305,16.110219597646985,0.027862605569081916,5,16704800
pickles_cropped_1,0.48234303391396854,1.0353139321720628,0.45869013502064415,0.19498542053377518,57.72073091281818,0.057137392915501586,3,862983600
pickles_cropped_2,0.56451209155948,0.87097581688104,0.3883246262857974,0.1384194258032888,49.577022037950975,0.05231274642487351,2,401760500
pickles_cropped_3,0.5376331615057115,0.924733676988577,0.39799452595547863,0.1527838821424706,49.28373571908782,0.05270613472355037,1,821348100
pickles_cropped_4,0.5638479682737478,0.8723040634525043,0.36996650505081297,0.13690885096312597,46.29194112891404,0.05083824175445051,1,670169800
pickles_cropped_5,0.5228722333195113,0.9542555333609776,0.408025526984614,0.16397346591171433,50.37209409183215,0.0533282093256283,4,672391100
