strawberry_query (16972500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.7860743458926609,0.42785130821467826,0.103262733159542,0.0389338008702614,13.908874366606252,0.11143764433249238,3,14552900
airplane_2,0.7242953296333885,0.5514093407332231,0.1696060323708683,0.057906503790687895,24.354085671984464,0.08746304885229521,5,14110600
airplane_3,0.7684246113471402,0.4631507773057195,0.09379764837148237,0.052608935554374174,11.416050688387493,0.12249150692799869,4,13887600
airplane_4,0.7580914648183652,0.4838170703632695,0.12002185896848891,0.05056487415044691,16.607374426257763,0.10797891839078864,5,13769800
airplane_5,0.78689769740263,0.4262046051947399,0.07407453197156998,0.04753192765860885,9.093338533093787,0.15304032109417304,5,13761700
ball_1,0.6905530135301352,0.6188939729397294,0.2489627240879629,0.07434480970269777,41.041802487358176,0.05815346417019726,1,14959800
ball_2,0.6520272789394562,0.6959454421210878,0.24715264387459154,0.08662235404788074,17.682594341943418,0.2256335609311649,1,15960900
ball_3,0.7856669025594366,0.42866619488112695,0.1869607643868535,0.03245097316544951,22.62740880217021,0.07835491316899472,1,18542000
ball_4,0.7505749350826842,0.4988501298346317,0.2197868554046472,0.04567646824262687,29.75427656143226,0.06584344822559339,0,14875200
ball_5,0.8130665894894242,0.3738668210211514,0.09389699022864423,0.02972296536437452,6.443302414200618,0.17126801694683613,0,14360800
car_1,0.6674948957611404,0.6650102084777194,0.21126396563407243,0.08256651674558774,27.487123894081563,0.07517091218627923,4,12272700
car_2,0.6356024250597836,0.7287951498804328,0.25892707660529474,0.09462287853255967,32.12094785871716,0.054822338979734986,5,12337700
car_3,0.6456554966564894,0.7086890066870212,0.2739000761284512,0.09570941469785212,26.01482264721124,0.048988200206875165,5,11625900
car_4,0.6498213672492055,0.700357265501589,0.26227712323183566,0.08850206085869193,40.04919643358871,0.05151115856336229,4,11791400
car_5,0.617301278088923,0.765397443822154,0.2719517434430936,0.10664294980329869,37.324391019037115,0.04945176603542685,4,12093200
cat_1,0.6479042160634373,0.7041915678731254,0.28465172448719417,0.09684553554186379,27.959099212268722,0.046393947118194584,4,14518500
cat_2,0.6893400960625576,0.6213198078748848,0.27840365967465736,0.0758034640127829,40.17343234230824,0.04488464526850592,3,15257300
cat_3,0.6900439923318151,0.6199120153363696,0.25940646251040705,0.06951958276218873,30.078722615604523,0.05210154748844786,4,14247100
cat_4,0.7174950252120322,0.5650099495759355,0.22879422059407697,0.055953514307997096,36.43588338710611,0.06278751397985184,0,12460800
cat_5,0.6335731037310373,0.7328537925379253,0.27852744635735177,0.09375315567905035,28.827531993986607,0.04763959200036445,5,13912200
dolphin_1,0.5771576408501515,0.8456847182996969,0.26661030046231043,0.13486366254380347,33.81671016374969,0.05422625560892481,3,11718400
dolphin_2,0.6518566266912669,0.6962867466174663,0.23495321802236493,0.08894149091615376,26.7681602091021,0.0658030819495695,4,10896700
dolphin_3,0.8354004271385997,0.3291991457228005,0.05091743520382658,0.028145508905904094,5.433788988636152,0.14888134216168034,2,15350900
dolphin_4,0.7820065105823473,0.4359869788353057,0.13932172226127232,0.03449071840145407,20.32048071213471,0.09623392236077534,2,19352600
dolphin_5,0.8002805800590195,0.39943883988196105,0.0997457402284059,0.030686135101667383,14.833428091791653,0.10977549706398353,3,16081200
face_1,0.7422514462331519,0.5154971075336963,0.25291940947141645,0.05494578992500059,33.661072093983535,0.053270228189231356,4,17528300
face_2,0.7186687485771889,0.5626625028456222,0.25319947699427964,0.0619799347432805,26.251552664291278,0.05410467861123594,4,14527600
face_3,0.7483038043379233,0.5033923913241535,0.22230636496249256,0.045961935385173354,20.954304598190788,0.06619913904063637,3,15086700
face_4,0.7320844138958343,0.5358311722083313,0.2460062254537066,0.05511006338458406,27.108601589740182,0.055878488519923185,3,16572100
face_5,0.72184208984947,0.5563158203010603,0.2634138633679194,0.06266047145503956,29.769325971281695,0.05006905715577303,4,16742800
lotus_1,0.730984063552426,0.5380318728951482,0.2482994602801176,0.05801062421742444,30.88025126626815,0.05630329417704658,0,13302400
lotus_2,0.8107793006501494,0.37844139869970134,0.1493447336078147,0.024167063915010053,14.710017446092833,0.09116162968262337,2,12582800
lotus_3,0.72228222733047,0.5554355453390598,0.2658769698924282,0.05103359069970408,39.75495573972131,0.2349976775956284,4,14659600
lotus_4,0.75134174250109,0.49731651499781926,0.24727579427869187,0.04994593245223584,37.05604288871573,0.05532509551788745,1,17226200
lotus_5,0.7059668566073416,0.5880662867853168,0.20863707618634308,0.05550376439728572,15.469160202826519,0.07222173495884619,4,16911000
pickles_1,0.4835496223034316,1.0329007553931369,0.4954245308496977,0.24159801214752652,69.43569936912775,0.3158946410077524,5,1839474100
pickles_2,0.471524278597786,1.056951442804428,0.5098631524900282,0.2612171761540517,71.08574467004921,0.32108506115313656,3,2557611100
pickles_3,0.5034432119956588,0.9931135760086824,0.43244710678553283,0.2027839224019192,60.19364025800173,0.292495835033836,5,1643213700
pickles_4,0.5069347746880543,0.9861304506238916,0.4440600621886095,0.20429127217976292,62.30682650363363,0.2971822474105006,4,1913041500
pickles_5,0.5035300247531127,0.9929399504937747,0.4548632622187114,0.20615636972292206,63.64912254850537,0.30118074268700856,5,1103183700
