lotus_query (16972500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.7444528922293188,0.5110942155413627,0.23550459875129215,0.04180860187944517,39.06516504153975,0.15237245112530406,8,14552900
airplane_2,0.681925048597973,0.6361499028040543,0.3049492920986832,0.06826239728009535,49.56239914701616,0.11868353536437103,11,14110600
airplane_3,0.7583442703958098,0.4833114592083807,0.208440599152519,0.03974055201398921,36.177480425794904,0.16850118344000406,10,13887600
airplane_4,0.7322421875795027,0.5355156248409947,0.24798721987391423,0.048636288225383316,41.76198407125658,0.14776712987504384,10,13769800
airplane_5,0.8240530216929387,0.3518939566141227,0.12266111965540154,0.024095358338968212,23.047848660045112,0.21159538287954407,8,13761700
ball_1,0.5869280602636535,0.8261438794726932,0.391480349685969,0.12432410529504373,66.25392040175767,0.07585066984724839,1,14959800
ball_2,0.7734443188951666,0.45311136220966725,0.11237963308456524,0.054470893995533946,11.657587696170744,0.31319560343168035,7,15960900
ball_3,0.6580410184970205,0.6839179630059593,0.33297245585568047,0.07770434704614264,47.802190619921085,0.1037311674792973,2,18542000
ball_4,0.6285398618957941,0.7429202762084117,0.3651929536158806,0.0938217579492172,54.966394475831756,0.08664805122410549,1,14875200
ball_5,0.823686717624903,0.35262656475019394,0.08183349457965887,0.030013620775214574,19.80181234075551,0.2356623976958015,1,14360800
car_1,0.6485259686254266,0.7029480627491469,0.3431145232309616,0.08740412097749987,52.583886260001655,0.10195777452751728,13,12272700
car_2,0.5991778370472339,0.8016443259055321,0.39635319427016924,0.11374227208676832,57.322397258309664,0.07313044595485964,9,12337700
car_3,0.583136941122487,0.833726117755026,0.41265049219031624,0.12381786963655601,51.21830250365654,0.06469303048553157,11,11625900
car_4,0.5804130889902205,0.8391738220195589,0.40466545222791034,0.12735996463491941,65.26131434798815,0.06736315791486229,8,11791400
car_5,0.5719184949381972,0.8561630101236055,0.41158746812878266,0.1347982829897667,62.5365089334366,0.06506293823549093,9,12093200
cat_1,0.5820427936050006,0.8359144127899988,0.42432016254658583,0.1302005171253454,52.814808029811324,0.06021786785270666,12,14518500
cat_2,0.5592121758931067,0.8815756482137871,0.4253863024788122,0.14162668352596613,65.3855502567077,0.05649660973985522,7,15257300
cat_3,0.5950634702499109,0.8098730595001782,0.4036876653759327,0.11662934297834719,55.212800682037994,0.0675999570757198,11,14247100
cat_4,0.6121599077114207,0.7756801845771586,0.3748812199027058,0.10750594099285893,61.64800130150559,0.08202736593013282,0,12460800
cat_5,0.5763397363465159,0.847320527306968,0.42088892024104096,0.1360908530892839,53.46317966101693,0.06118903837622934,12,13912200
dolphin_1,0.5499135814159012,0.9001728371681975,0.40045628297654534,0.14074867980331862,59.02882807814917,0.07291858325705688,4,11718400
dolphin_2,0.6120596751412429,0.7758806497175141,0.3705392658914164,0.10860173369397912,51.47527966101696,0.08808933427495293,12,10896700
dolphin_3,0.8229117688394185,0.3541764623211626,0.12999372072097395,0.027755469838463845,21.386149478595723,0.20506286983163283,4,15350900
dolphin_4,0.6510626826417301,0.6978746347165401,0.2838091009253111,0.07811805932148233,45.532598626534195,0.12899980940320804,2,19352600
dolphin_5,0.751888654494314,0.4962226910113722,0.23782088302375512,0.04064068385466254,40.022731020101354,0.14980513598926634,8,16081200
face_1,0.5954088607684136,0.809182278463173,0.40086183285005755,0.11741226645409839,58.873190008383,0.06824365629448843,6,17528300
face_2,0.6059100545955777,0.7881798908088447,0.3986100753806252,0.11072616484146312,51.46367057869075,0.0700490888683763,7,14527600
face_3,0.6250038702789269,0.7499922594421461,0.36847591401809965,0.09685447175299358,46.1590729124961,0.08635636816584367,6,15086700
face_4,0.6107242713832439,0.7785514572335123,0.39195995183858606,0.10645491042963606,52.320719504139674,0.07265613685778562,4,16572100
face_5,0.5863992880942034,0.8272014238115933,0.4112086691545215,0.12580126540287132,54.98144388568118,0.06355062284858896,7,16742800
lotus_1,0.6038805911232823,0.7922388177534355,0.3954170122383919,0.12134386706788218,56.09236918066761,0.07228671716050297,0,13302400
lotus_2,0.7034692148045659,0.5930615703908683,0.29405738540597715,0.05690311851438057,39.92171163380609,0.12241310023444407,4,12582800
lotus_3,0.8723307400203761,0.25533851995924783,0.11751214926887481,0.01173993077022662,14.542837825321842,0.3267728253218487,13,14659600
lotus_4,0.5855338420329977,0.8289323159340041,0.39656824144786096,0.12330182131849049,62.2681608031152,0.0705989884529678,1,17226200
lotus_5,0.6463097351935124,0.7073805296129752,0.34990419110087434,0.08638405286783407,39.82803816441833,0.09610439704318638,15,16911000
pickles_1,0.6385388506019606,0.7229222987960788,0.34679389631873997,0.1283035372709533,44.22358145472826,0.4418187894091333,19,1839474100
pickles_2,0.6236111709039548,0.7527776581920904,0.36143194067841317,0.14493935342227043,45.87362675564972,0.4490831731949153,13,2557611100
pickles_3,0.6671871773006094,0.6656256453987812,0.28378643444561874,0.10016286664139239,34.98152234360226,0.40906813370927214,15,1643213700
pickles_4,0.6636558960192106,0.672688207961579,0.29540700766454464,0.10379479247357343,37.094708589234116,0.41547868551684214,14,1913041500
pickles_5,0.6612948409126697,0.6774103181746609,0.3061702333400897,0.10578616881518764,38.43700463410592,0.42109534923289604,19,1103183700
