pickles_querry (16972500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.4090867074176884,1.1818265851646235,0.593946139793123,0.3061948374262664,84.90232571385607,0.2490445533772843,11,14552900
airplane_2,0.3365060578250864,1.3269878843498273,0.6631004262495036,0.38906643259961426,95.39955981933258,0.1906563858170311,14,14110600
airplane_3,0.43989100987662144,1.1202179802467571,0.5637563460789732,0.2664208211215176,82.01464109811126,0.27664121897842986,11,13887600
airplane_4,0.3997389351017958,1.2005221297964086,0.6048289788928923,0.3120589296511133,87.59914474357296,0.24093381635418373,12,13769800
airplane_5,0.5217575857628766,0.9564848284742468,0.47699636001919765,0.2074155036482867,68.88500933236149,0.35068239700437315,9,13761700
ball_1,0.24357864814814817,1.5128427037037036,0.7490502199205,0.5281514694110824,112.09108107407403,0.11726788868395062,1,14959800
ball_2,0.6968876759259259,0.6062246481481481,0.2782678617202837,0.10503240742371571,54.23728848148146,0.5261205956876545,10,15960900
ball_3,0.3149841655251142,1.3700316689497716,0.6904198476071528,0.39990157499621454,93.63935129223745,0.16615361539668952,3,18542000
ball_4,0.28241894444444454,1.435162111111111,0.7247085167876209,0.4735798730713041,100.80355514814822,0.13605668348024694,1,14875200
ball_5,0.568489089869281,0.8630218202614378,0.4271301862884905,0.16836271679918252,65.63897301307189,0.39311756281699345,1,14360800
car_1,0.30856755499153976,1.3828648900169203,0.6984110911689175,0.39952021205525057,98.42104693231816,0.162259439142696,19,12272700
car_2,0.24915935575296114,1.5016812884940776,0.7546663183085436,0.5071740482078188,103.15955793062604,0.11224464998730967,15,12337700
car_3,0.22790715736040612,1.5441856852791878,0.7715596942795073,0.5505493877652163,97.05546317597295,0.097507966642696,14,11625900
car_4,0.2313081725888325,1.537383654822335,0.7636782569308662,0.5634668014739056,111.09847502030455,0.10296488469684151,9,11791400
car_5,0.22411680456852792,1.551766390862944,0.7704110607360304,0.5797523053256841,108.37366960575294,0.09832536166666667,11,12093200
cat_1,0.22676482269503545,1.5464703546099292,0.7820939091346266,0.5344243683228773,98.65196870212763,0.08973312939479905,19,14518500
cat_2,0.2152682281368822,1.5694635437262359,0.7851277007064615,0.6141378643691868,111.22271092902412,0.08408751242289819,6,15257300
cat_3,0.2442728663663664,1.511454267267267,0.7634915525067654,0.5352618656759436,101.04996135435437,0.10294905001251252,15,14247100
cat_4,0.26758616710296684,1.4648276657940662,0.7337007560023368,0.5132892537371051,107.48516197382197,0.12846383349185572,0,12460800
cat_5,0.2301808240740741,1.539638351851852,0.7793619214855926,0.5482251212717436,99.30034033333328,0.09138718035925925,18,13912200
dolphin_1,0.22690888454376162,1.5461822309124766,0.7581656879946704,0.5628625186379327,104.86598875046555,0.11102049804158907,5,11718400
dolphin_2,0.2835493333333334,1.4329013333333334,0.7267214869546348,0.4556760764131596,97.31244033333337,0.13800385098090276,20,10896700
dolphin_3,0.5131617599502487,0.9736764800995024,0.4867493429955751,0.22056643781102325,67.22331015091206,0.34037649481481486,8,15350900
dolphin_4,0.3342718103448276,1.3314563793103449,0.6408003799177546,0.39327061383250855,91.3697592988506,0.20928795155890806,4,19352600
dolphin_5,0.40319726537911305,1.193605469241774,0.5973612850841963,0.31609524568276787,85.85989169241772,0.24499117245469718,12,16081200
face_1,0.23988257587356437,1.5202348482528711,0.760719603941416,0.5550177797291949,104.71035068069934,0.10456850562510252,7,17528300
face_2,0.2491105404275114,1.5017789191449769,0.7583511723596268,0.5253471483686186,97.30083125100708,0.10727273737929265,5,14527600
face_3,0.275120306697362,1.4497593866052758,0.7264660284478549,0.4587085639979887,91.9962335848125,0.13569407525023353,8,15086700
face_4,0.2547918802112285,1.4904162395775429,0.7520501168576907,0.5196714655221316,98.15788017645606,0.1120096523706586,2,16572100
face_5,0.22820566391941394,1.5435886721611722,0.7709809433512124,0.573876239718645,100.81860455799757,0.09621800286019536,6,16742800
lotus_1,0.23769969032023291,1.5246006193595343,0.7543577990899901,0.551855192138457,101.929529852984,0.111263082143377,0,13302400
lotus_2,0.35299286734693885,1.2940142653061224,0.6529552709360978,0.3547109048282005,85.75887230612243,0.19779958299178005,5,12582800
lotus_3,0.7368051844262296,0.5263896311475409,0.245416316363544,0.08035728888037011,31.294322846994547,0.5488896964890712,20,14659600
lotus_4,0.24055467695883126,1.5188906460823373,0.7556781303132944,0.5578527389713146,108.10532147543161,0.10903435792164676,1,17226200
lotus_5,0.2995963424036281,1.4008073151927438,0.7076175476758131,0.40267943116810306,85.6651988367347,0.15228647435185183,17,16911000
pickles_1,0.9845479440437648,0.030904111912470285,0.015230249951431518,0.00044516314334626134,1.6137889496773532,0.7471627151373609,32,1839474100
pickles_2,0.9923359999999999,0.015328000000000062,0.004669194114679273,0.00041535680593493345,0.25248625000000013,0.7597156991024098,34,2557611100
pickles_3,0.9136874900344797,0.17262501993104057,0.08794608526630938,0.008909471516483953,10.855638328714125,0.690795149663169,26,1643213700
pickles_4,0.9326973667523649,0.13460526649527021,0.07131447020248485,0.00540423314166954,8.742452083082274,0.7018953614984247,27,1913041500
pickles_5,0.9420280349575433,0.1159439300849134,0.059575987381158046,0.004754905290315734,7.400156038210476,0.7115177087114912,31,1103183700
