cat_query (16972500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.7847927153723276,0.4304145692553448,0.17940438759110255,0.03913471175756433,20.720877156350365,0.04322872831992606,4,14552900
airplane_2,0.8172227002861595,0.3655545994276811,0.11561425037786258,0.02445971147116429,10.922161318573892,0.037715279616485235,5,14110600
airplane_3,0.7228973111808348,0.5542053776383307,0.21345422560767965,0.058054997326493,23.608561772095186,0.04666160823423527,7,13887600
airplane_4,0.7732529526299189,0.4534940947401623,0.17188099225741083,0.040550657736416515,18.046944687971102,0.04296245905733206,3,13769800
airplane_5,0.6695005891104862,0.6609988217790277,0.29660873357217366,0.08427107703587756,36.738193537844985,0.05434792392304583,3,13761700
ball_1,0.8245676171746968,0.35086476565060637,0.05832672159941506,0.023922460887134345,7.639020255653885,0.029996135037692565,0,14959800
ball_2,0.4518551950180269,1.0962896099639463,0.5018152347544205,0.2328703951432768,51.38591438872501,0.07281896580356169,4,15960900
ball_3,0.7902430597648201,0.41951388047036003,0.10016635336102528,0.032845281731024766,11.98385157796904,0.03336788280734366,1,18542000
ball_4,0.8788969518190758,0.2422060963618486,0.05576876357858449,0.011888084251593942,4.830015470337594,0.03099395673549656,0,14875200
ball_5,0.5952782115796171,0.8094435768407657,0.3475167386793727,0.12413500205619334,39.98422985713459,0.05784485260377504,1,14360800
car_1,0.766329455100849,0.46734108979830197,0.10760283311872486,0.04335874276056914,9.597039815521914,0.03425041402752198,6,12272700
car_2,0.8416742284713177,0.31665154305736487,0.06102474675156547,0.02141249437836766,5.734765883533238,0.02903439972248427,4,12337700
car_3,0.868177155863019,0.26364568827396195,0.05572516981942325,0.01682885647321938,8.583351751194169,0.027498633883872643,4,11625900
car_4,0.8804315469505712,0.23913690609885746,0.03962461582271431,0.013495432835501938,6.39569621011335,0.027673203260310756,3,11791400
car_5,0.8644974020334517,0.27100519593309674,0.04636418794164639,0.0165484829955743,5.826466166539394,0.027908277555665367,4,12093200
cat_1,0.8430413606979226,0.31391727860415497,0.07039567069385501,0.02371112534769526,7.417679156467712,0.026981929119856064,5,14518500
cat_2,0.9182289107978062,0.16354217840438776,0.028629437595199522,0.005425450213143539,5.612300548470674,0.025781576881231987,3,15257300
cat_3,0.906455526322783,0.1870889473544341,0.03120386699050177,0.008854659051233948,4.574796167849265,0.02781301832806258,4,14247100
cat_4,0.8684259988571252,0.26314800228574964,0.05209798472379377,0.011481528293009014,3.9774608102055633,0.030156266763450665,0,12460800
cat_5,0.8336109472304163,0.3327781055391674,0.05818241467180008,0.024047327771277265,7.073206686332355,0.027288219600131107,5,13912200
dolphin_1,0.7906857995089072,0.41862840098218557,0.0701387532827906,0.03849233605021409,10.449048631367313,0.029859514510308004,2,11718400
dolphin_2,0.7829059734513275,0.4341880530973451,0.08213204284867127,0.03453424281310836,8.381682522123901,0.03258420814896755,6,10896700
dolphin_3,0.657055063913471,0.685889872173058,0.285797221570578,0.08599463459384653,38.399892719294385,0.051890063937930796,1,15350900
dolphin_4,0.7753492777947311,0.449301444410538,0.13957024309009164,0.040726612761570136,14.26361623944665,0.03875172223069882,2,19352600
dolphin_5,0.792970678719283,0.4140586425614341,0.1746976107891105,0.035459713797504865,19.763311177788754,0.04204293090424163,3,16081200
face_1,0.8870462208143383,0.22590755837132337,0.034644812866705156,0.010391279508935255,2.001094446553548,0.02720666560474542,3,17528300
face_2,0.8779408158945423,0.24411836821091534,0.03989876107417803,0.012095817477729328,8.32237161919936,0.027916165719810697,3,14527600
face_3,0.8049760011999401,0.39004799760012,0.07753974717874583,0.029497987838840733,13.626969285394,0.030455447896896498,5,15086700
face_4,0.8903718278973953,0.21925634420520962,0.03661612591817928,0.010679789883500608,7.465322693750437,0.028020104763398734,1,16572100
face_5,0.8777513047424551,0.24449739051508962,0.03993049806762558,0.013362898163584786,5.605357710136472,0.026517721626128705,2,16742800
lotus_1,0.8176215042959643,0.36475699140807155,0.058582535509065545,0.02505398052122291,4.883851940590744,0.027966103532523517,0,13302400
lotus_2,0.7921058334838361,0.415788333032328,0.12459925156992654,0.03102397000514233,19.86433056408403,0.03710352276603857,2,12582800
lotus_3,0.47785579573480347,1.044288408530393,0.5259269644357754,0.1951353104632719,74.32888002321194,0.07459582829601691,7,14659600
lotus_4,0.8695494717296006,0.2609010565407984,0.043824213872087486,0.014777649328594173,3.655735288932764,0.027489928976326745,0,17226200
lotus_5,0.7769106816768006,0.446178636646399,0.0894242496636778,0.03918455457430858,19.958004033471795,0.03254055662579683,6,16911000
pickles_1,0.24331228244288128,1.5133754351142377,0.7558359766781503,0.5548833721543333,104.00962365261834,0.09552581717218077,7,1839474100
pickles_2,0.2290481991150443,1.5419036017699117,0.7704651860475353,0.59941710966938,105.65966895353985,0.09680943193215341,5,2557611100
pickles_3,0.2695173501706688,1.4609652996586626,0.6910020253730752,0.46477340822211155,94.7675645414923,0.08981164068369253,7,1643213700
pickles_4,0.26790496008010717,1.4641900798397858,0.703571876582546,0.48042692949290405,96.88075078712416,0.0908226791681473,4,1913041500
pickles_5,0.26632212838554725,1.4673557432289055,0.7145575601308666,0.4862141794399503,98.22304683199609,0.09188723807615773,7,1103183700
