strawberry_cropped_query (7224500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.7047238963175013,0.5905522073649975,0.1891558289150901,0.06783700238408617,30.264025832396452,0.04550809628505438,3,6179800
airplane_cropped_2,0.6478459611348812,0.7043080777302377,0.21824456771446274,0.10040556524015679,29.800404402087423,0.040282015142161134,5,7173500
airplane_cropped_3,0.6727042592080691,0.6545914815838617,0.18373657221225903,0.08303560009766767,34.71717772354481,0.04962730828093895,4,6661600
airplane_cropped_4,0.6626999818383148,0.6746000363233702,0.20180761237295133,0.08913783876613508,34.17931358425662,0.04431229519203887,5,5658200
airplane_cropped_5,0.6510629090710308,0.6978741818579384,0.1955172547277314,0.09068495466474048,33.87554180874044,0.04637316596895769,2,6032200
ball_cropped_1,0.6569906447888245,0.686018710422351,0.19588555470237162,0.09113427808123434,53.482284136002384,0.0510826461749808,2,4499100
ball_cropped_2,0.7142499774904145,0.5715000450191708,0.11824117089857344,0.07165687470334621,15.88599900982429,0.11372242414908479,1,8795100
ball_cropped_3,0.8119778035136533,0.37604439297269354,0.1190943383366565,0.026364262538240292,14.259975048327192,0.06558197832560651,2,13891400
ball_cropped_4,0.787076050827145,0.4258478983457098,0.16387053689921566,0.03624192809009734,32.70717021151076,0.05365801186257721,1,5018100
ball_cropped_5,0.812178608471393,0.37564278305721416,0.06859183966946875,0.030406411364575114,5.1900067997524015,0.10850241964170043,0,12044300
car_cropped_1,0.710877988051901,0.5782440238961979,0.1787244775562242,0.06835817891218109,31.381579275601013,0.04916174133225764,5,2507300
car_cropped_2,0.6126406792167662,0.7747186415664676,0.1968996638024154,0.11690298899106648,26.106292062813804,0.047431203773842114,5,1999900
car_cropped_3,0.6301203923018016,0.7397592153963968,0.2012974887516289,0.10371323789124641,29.05426315302629,0.0450032422270735,4,1577800
car_cropped_4,0.6409501702554896,0.7180996594890207,0.19506333327497585,0.09641010024289688,29.9784818376572,0.045409850528869235,5,3005600
car_cropped_5,0.6114453427653115,0.777109314469377,0.19712802403424284,0.11436682436833183,28.440562402714182,0.046488118197959394,5,2568200
cat_cropped_1,0.7108667033998842,0.5782665932002317,0.2128736999019377,0.06620094357954354,26.920034282462208,0.0375022336669934,5,8591400
cat_cropped_2,0.7396084762278763,0.5207830475442473,0.20667010486675896,0.05273135678038324,30.04385480723106,0.03851630798768741,3,14703400
cat_cropped_3,0.6921720875185049,0.6156558249629902,0.21516321814689204,0.07068499362445316,25.426290197557087,0.0371803854466978,4,9166800
cat_cropped_4,0.7515316645751429,0.4969366708497143,0.16866133052344143,0.04339628440357853,27.351899716030154,0.050318484435171146,0,10012600
cat_cropped_5,0.6572481572481571,0.6855036855036855,0.22212836401557692,0.08385419735641109,21.684057080796208,0.036859540963931056,4,11518100
dolphin_cropped_1,0.6203258286472827,0.7593483427054346,0.20926750611475436,0.1112161656543007,23.303162405585798,0.04281311308643163,3,5997900
dolphin_cropped_2,0.6799105325665223,0.6401789348669554,0.16114923816819304,0.07971817052942988,17.810183755088246,0.057895749581104376,5,3998800
dolphin_cropped_3,0.8082109724295388,0.38357805514092236,0.06885455147907066,0.032150537890041214,5.289941567996795,0.08350002383452697,4,6103900
dolphin_cropped_4,0.720172756807028,0.5596544863859442,0.1931019550696911,0.058879550249623984,32.61552379186904,0.04428666355264821,2,4064100
dolphin_cropped_5,0.8073727640354935,0.38525447192901285,0.08596896877940428,0.028973356882838638,11.984798112495557,0.07460449495287436,4,12072700
face_cropped_1,0.7693837222845376,0.461232555430925,0.19628768944235242,0.041950728174813615,24.60404932291483,0.04096919571189273,2,11616000
face_cropped_2,0.765321420145553,0.469357159708894,0.19802752449971522,0.0433192818209075,21.40227530345996,0.0406246300481767,5,9604100
face_cropped_3,0.7700766522401903,0.4598466955196194,0.1951723192084252,0.04200697605950206,19.503543994547954,0.04157535071429603,2,9128800
face_cropped_4,0.785340927486815,0.4293181450263698,0.1838591242848835,0.03647350855124325,21.33975368217161,0.04442827061607878,2,13193900
face_cropped_5,0.7374086292559134,0.5251827414881731,0.20900791112360306,0.05242911137519087,20.888833246548142,0.03786361947264615,4,11057500
lotus_cropped_1,0.7905591817068668,0.41888163658626665,0.15888913772937757,0.033848707453581844,24.928189815871736,0.054093910194121395,1,5921900
lotus_cropped_2,0.7732924649743187,0.4534150700513627,0.18591111690310164,0.039223505597171276,22.135577896740354,0.044262093760922196,3,4662500
lotus_cropped_3,0.8569487450259334,0.28610250994813313,0.05684136457511781,0.019463457535507513,11.980282208569344,0.10530773500873378,4,7741800
lotus_cropped_4,0.7953132060309348,0.40937358793813056,0.18462815802330443,0.03529147332572661,21.739506132557818,0.04501020971446815,4,3183000
lotus_cropped_5,0.7368722180678702,0.5262555638642595,0.15730047331640723,0.04579944544088724,9.350974076843649,0.05433602074721146,5,16704800
pickles_cropped_1,0.6633317020158589,0.6733365959682822,0.25966978516684047,0.07951856332783715,33.51894147457963,0.16453004611090505,3,862983600
pickles_cropped_2,0.7324311366374802,0.5351377267250398,0.19030833776653233,0.050190574067608136,25.375232599712408,0.14551065428021698,2,401760500
pickles_cropped_3,0.7074185636066792,0.5851628727866416,0.20115346672414555,0.06030317868128882,25.081946280849312,0.14758312935831414,1,821348100
pickles_cropped_4,0.7246098237720913,0.5507803524558176,0.17458109109319944,0.05385344660336254,22.090151690675505,0.1399451023776327,1,670169800
pickles_cropped_5,0.7003363518106425,0.599327296378715,0.21065203303247054,0.06462583467420019,26.170304653593618,0.15029201702787937,4,672391100
