face_query (16972500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.7672091914732968,0.4655816170534066,0.18975325342045937,0.04655087700040212,20.267301703551393,0.04029997484740117,3,14552900
airplane_2,0.7857226873271529,0.42855462534569455,0.12964025172756338,0.03456962389038032,12.057058871344918,0.03497673760354016,6,14110600
airplane_3,0.7051164537273693,0.5897670925452615,0.2238783223176938,0.06846887940672444,23.735910656577737,0.04336363782306017,6,13887600
airplane_4,0.7445398688642029,0.510920262271594,0.1835105529703394,0.05133603993492121,18.73605603428371,0.03987736325711864,4,13769800
airplane_5,0.6544617563323791,0.6910764873352419,0.3064878807310654,0.09678751333334402,36.23294898790493,0.05035031179701067,3,13761700
ball_1,0.8111091132729509,0.3777817734540982,0.0700654908233419,0.027711561470578523,9.200132493446146,0.028223979737632878,0,14959800
ball_2,0.43159942421935044,1.1368011515612992,0.5109744401471482,0.24359522410590317,50.880669838784954,0.06716221945336338,2,15960900
ball_3,0.8323380830276902,0.33532383394461945,0.09949562107851895,0.02126240000109235,11.478607028029003,0.032416270649096815,2,18542000
ball_4,0.8740811204648844,0.2518377590702314,0.0627693698644197,0.011630770578660955,4.692609846133094,0.029560465310280813,1,14875200
ball_5,0.6040216766567972,0.7919566466864056,0.3548293997484014,0.12041268037478524,39.478985307194534,0.05425827094787373,1,14360800
car_1,0.7614153152870443,0.47716936942591126,0.11464623939367821,0.044393274028017043,11.622357103002765,0.03244914674738415,5,12272700
car_2,0.8228554424577801,0.3542891150844397,0.06780183141520717,0.025137792035019525,8.067842914074205,0.027579293384732917,6,12337700
car_3,0.8496418984889961,0.3007162030220078,0.0617724512074614,0.02005212694647818,9.184174861545575,0.02612479127131571,5,11625900
car_4,0.8501868347248308,0.29962633055033827,0.051683572150981454,0.01981566352816363,8.046329522962976,0.02610409051054714,4,11791400
car_5,0.8204815876426943,0.3590368247146114,0.06265722833856736,0.027493518488941996,8.265658000630376,0.02600156036170422,5,12093200
cat_1,0.844387238732846,0.31122552253430796,0.06535998297406374,0.02101667833085307,6.795052600274546,0.02630516863472034,6,14518500
cat_2,0.9129301357751122,0.17413972844977574,0.026902049416531706,0.0065813525828755225,6.104752608757629,0.02481096707416633,4,15257300
cat_3,0.8973072135249258,0.2053855729501486,0.03582392864111892,0.00930199647755548,4.067996965912095,0.026639610029831437,4,14247100
cat_4,0.8585519593007856,0.28289608139842876,0.0627769290931439,0.01576899826627518,6.165822824869986,0.02852432333223856,0,12460800
cat_5,0.8310882886144879,0.3378234227710242,0.05538492389156785,0.023796965622966466,6.1494020855186875,0.02642849936724476,7,13912200
dolphin_1,0.7494228276825321,0.5011543446349359,0.08621363247001282,0.05651697120283131,12.96015247583369,0.027584269630333252,1,11718400
dolphin_2,0.7535774119023657,0.49284517619526846,0.09927498340800787,0.04638620006525308,9.641590252152517,0.030010711190715807,6,10896700
dolphin_3,0.6504645491890081,0.6990709016219838,0.2949456067576997,0.091264037473496,37.89464816935433,0.048215062369658404,2,15350900
dolphin_4,0.7429801137912857,0.5140397724174286,0.1511914350888938,0.04962188070006233,13.815101096627846,0.03604365156252324,1,19352600
dolphin_5,0.7910961273706155,0.4178077452587692,0.18365477358558607,0.03923740568691462,19.25806662784871,0.039419448557397346,5,16081200
face_1,0.939090763685258,0.12181847262948398,0.025126441825316134,0.0030708325515336372,1.3877818609046266,0.026472556070459816,5,17528300
face_2,0.9084588989471643,0.18308220210567133,0.03298540077783391,0.005695980477571934,7.817127069259313,0.02714953093103109,3,14527600
face_3,0.8534708524397057,0.29305829512058895,0.0706056890616316,0.016920422068826785,13.121724735453963,0.029950500405064886,4,15086700
face_4,0.9259412084494286,0.14811758310114306,0.03156548298642114,0.004509489822602745,6.964567204922139,0.027173713219774076,2,16572100
face_5,0.9154777121197787,0.1690445757604429,0.025545682457932276,0.0051259118103364875,4.54178089643034,0.025970080993802665,4,16742800
lotus_1,0.8442030942625538,0.3115938114748924,0.05445732286483989,0.01665807958621314,4.805270231253891,0.027180688234886664,0,13302400
lotus_2,0.8243778796322286,0.3512442407355428,0.12895503584903714,0.024215737530951142,19.359086014144,0.03553273685234865,2,12582800
lotus_3,0.4706881672659605,1.058623665468079,0.5340822325647915,0.19886078187850498,73.82363547327193,0.06925492666146589,6,14659600
lotus_4,0.88998949458631,0.22002101082737943,0.04130581095248476,0.009734764846058758,3.689862980308282,0.026578552803689162,1,17226200
lotus_5,0.7959282561285723,0.40814348774285514,0.08969003160203073,0.031100480036271565,19.45275948353176,0.031498181931196474,6,16911000
pickles_1,0.23960969049046885,1.5207806190190625,0.7640154425925596,0.5646383917889726,103.50437910267834,0.08829145870856552,7,1839474100
pickles_2,0.22726108634446734,1.5454778273110654,0.7786114886660105,0.6078139891810519,105.15442440359982,0.08948123622226484,5,2557611100
pickles_3,0.2617646263390147,1.4764707473219705,0.6991506316011019,0.4709394880118145,94.26231999155235,0.08312916536025905,6,1643213700
pickles_4,0.26567851875098264,1.4686429624980346,0.7116268092367529,0.48436904110245865,96.37550623718415,0.08410444209067938,6,1913041500
pickles_5,0.25928485702590465,1.481430285948191,0.7227097112727298,0.49229877923025855,97.71780228205591,0.08501025603812037,7,1103183700
