car_query (16972500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.8128784610549247,0.37424307789015043,0.16504693423376895,0.027288336239010426,20.563063623408112,0.049087101495052826,12,14552900
airplane_2,0.8362681106509418,0.32746377869811655,0.1039060958142441,0.01858712686996506,10.06577927641123,0.04238601996966388,12,14110600
airplane_3,0.7889037821516348,0.4221924356967303,0.1939826063284088,0.03564802094775919,23.442649489029154,0.054013986951781695,10,13887600
airplane_4,0.8117979367938432,0.3764041264123138,0.15486072982326085,0.026712513178039878,17.86214562523879,0.049128725267972156,9,13769800
airplane_5,0.7127736257664777,0.5744527484670445,0.2805218744831657,0.06292631116213204,36.57230044447074,0.06237568458855623,8,13761700
ball_1,0.8270489941718369,0.3459020116563264,0.05729747080216648,0.026665153761379082,6.867906373378455,0.03344128946543837,1,14959800
ball_2,0.46753434856175974,1.0649313028764804,0.48812802032627145,0.21573907425463718,51.22000210565898,0.08297939988719685,8,15960900
ball_3,0.7666069234870084,0.46678615302598336,0.10225822517077741,0.04074117789056053,12.475478872586516,0.03654181095426837,2,18542000
ball_4,0.8286950930626059,0.3426098138747885,0.0652266978998798,0.024660981028356135,6.242024215078031,0.033807424453218035,1,14875200
ball_5,0.5976728708403836,0.804654258319233,0.3353928178071567,0.1153301549999461,39.82335191267707,0.06537027459827699,1,14360800
car_1,0.8879357021996616,0.2241285956006768,0.06517162041294423,0.009167663043006383,7.036243654822333,0.04130158010312614,27,12272700
car_2,0.960372250423012,0.07925549915397631,0.01109479994117492,0.002105674078215301,2.300778341793571,0.034220513569303807,24,12337700
car_3,0.9046700507614214,0.1906598984771574,0.039361917426829436,0.007445121277604493,8.897292724196276,0.03166225216945669,24,11625900
car_4,0.8904399323181049,0.21912013536379019,0.04004940675971968,0.009706415851677586,5.641184433164127,0.0310419321405974,18,11791400
car_5,0.8669881556683587,0.2660236886632825,0.05062115985611164,0.012725039988752651,2.9199661590524553,0.031087496886461046,26,12093200
cat_1,0.8289193217410087,0.3421613565179826,0.06807324339692343,0.02508011173745699,10.27274327681176,0.030528372394427045,12,14518500
cat_2,0.797706278589489,0.4045874428210226,0.07674347456717412,0.03430959958658049,9.416064284933054,0.02663227006705998,4,15257300
cat_3,0.8328314354964101,0.33433712900717977,0.060556533628982896,0.02458489213037149,8.161318196368958,0.0298519633847045,11,14247100
cat_4,0.8341567668606762,0.3316864662786474,0.0709551502358135,0.027199491774909275,4.026622106466102,0.03238170137873809,0,12460800
cat_5,0.7826942658394436,0.434611468321113,0.08033535574459114,0.04038082881224339,11.107572250423013,0.029139582878987283,11,13912200
dolphin_1,0.8487805915548876,0.3024388168902249,0.049733882168020285,0.020739658521099352,5.342101069109265,0.034468158630229354,5,11718400
dolphin_2,0.784557212351946,0.4308855752961083,0.08057955108803086,0.0342940163608219,8.688349196277496,0.036096163635081786,15,10896700
dolphin_3,0.6623132223821669,0.6753735552356659,0.2744427281281216,0.08130703555030606,38.23398043622833,0.05845633563709933,6,15350900
dolphin_4,0.6996343864869597,0.6007312270260807,0.1469114732018488,0.07172110918966934,14.35063561176265,0.04108580941128421,2,19352600
dolphin_5,0.8104678184208041,0.37906436315839154,0.1637730473856236,0.03061427066179965,19.599368350725832,0.047277404268607076,9,16081200
face_1,0.818853120796492,0.36229375840701616,0.06915934199529537,0.02862014583951388,7.133905889940037,0.028800941123059347,5,17528300
face_2,0.8382257967443298,0.32354840651134054,0.06305313890505136,0.023039377803365062,10.793396380715526,0.030109923406188545,4,14527600
face_3,0.7559791530188469,0.4880416939623062,0.09413916615335008,0.04760219103988469,15.97003015561281,0.032416214072784916,5,15086700
face_4,0.844642326516549,0.3107153469669024,0.056639347753227064,0.0209505619394552,8.966142094357743,0.030472118526711747,3,16572100
face_5,0.7923935962514642,0.41521280749707146,0.0778617552877272,0.03497454118384713,10.037550312068072,0.027669368777490606,6,16742800
lotus_1,0.7790561478952852,0.44188770420942963,0.08302552123699923,0.04413689638154675,7.334340212355639,0.029621092959161814,0,13302400
lotus_2,0.7763880831520427,0.4472238336959149,0.11842579537145469,0.03515130611954121,19.714214924548482,0.041239326288891195,3,12582800
lotus_3,0.48687872735846444,1.0262425452830712,0.5134130857399639,0.1875374588392498,74.16296774014594,0.08448456723345632,14,14659600
lotus_4,0.7894410176552671,0.4211179646894655,0.07976301297225276,0.04170232495969661,7.655058075650025,0.02865479199951463,2,17226200
lotus_5,0.7796350587612372,0.4407298824775257,0.08462505606129597,0.03883934075077646,19.792091750405753,0.036343856064704506,12,16911000
pickles_1,0.25866892890327375,1.4826621421934525,0.7409433631835214,0.4915042547799567,103.84371136955235,0.11005694655147419,18,1839474100
pickles_2,0.24129098984771574,1.5174180203045684,0.7557094128207846,0.5336158108517612,105.49375667047374,0.11145502635645799,15,2557611100
pickles_3,0.3319046383559023,1.3361907232881953,0.6742434035118252,0.3953491949540054,94.60165225842633,0.10463710791057412,15,1643213700
pickles_4,0.3100061311358025,1.3799877377283951,0.6876026907257308,0.4150713730209711,96.71483850405812,0.10531629306209804,13,1913041500
pickles_5,0.30351834736727035,1.3929633052654595,0.6988825973470694,0.42523116331580463,98.05713454892995,0.10635070029059379,15,1103183700
