dolphin_query (16972500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.8210818413139023,0.35783631737219523,0.1415477603229355,0.023841836768273963,13.445050916287567,0.055565028857989,9,14552900
airplane_2,0.8525915995397009,0.29481680092059837,0.079680766509214,0.014799529672567932,4.8273733452670164,0.0474853124067681,13,14110600
airplane_3,0.8077332985920387,0.38453340281592274,0.17008199935125867,0.030097069354988445,16.222793877081546,0.06124023581827486,9,13887600
airplane_4,0.8373230573294761,0.3253538853410476,0.1302995760199245,0.021333548037733265,10.752956138978343,0.055506224672355345,9,13769800
airplane_5,0.7248073210236474,0.5503853579527049,0.2567495557165462,0.05550647686807423,29.34734257639563,0.07163734477918152,8,13761700
ball_1,0.8188148148148148,0.36237037037037034,0.061779056741357356,0.03276181624308137,13.926666666666666,0.03605002995884774,1,14959800
ball_2,0.49602962962962965,1.0079407407407408,0.4634131130651874,0.1909006463633988,43.92712592592598,0.09761359165980797,21,15960900
ball_3,0.7950392186707256,0.40992156265854895,0.08309181926081274,0.0337239683103875,7.891741045154739,0.04119362438694403,2,18542000
ball_4,0.8502222222222223,0.2995555555555556,0.05684582861083718,0.0242182100887305,4.557096296296297,0.03719452773662553,2,14875200
ball_5,0.6191424836601307,0.7617150326797385,0.31115172766486804,0.10232042697257966,32.54255860566451,0.07608231324134591,1,14360800
car_1,0.8769628125587516,0.2460743748824967,0.051239443617645125,0.011949497505438379,4.48323000564016,0.0449880762048004,18,12272700
car_2,0.9072012784357962,0.18559744312840762,0.033959365201792775,0.006821493392512518,4.9951435232186485,0.03658100795888952,14,12337700
car_3,0.877872983643542,0.24425403271291596,0.054880956745067,0.010480225709329265,3.1622207933822146,0.03380653907376074,12,11625900
car_4,0.8495431472081219,0.3009137055837563,0.0554685049119387,0.017548830698262605,12.934060612897161,0.03318109845208999,7,11791400
car_5,0.8415006580184246,0.31699868396315095,0.062237924760660424,0.01803819560071534,10.209255198345563,0.03330753449896597,8,12093200
cat_1,0.8578219070133963,0.2843561859732072,0.07166318619269828,0.016616743007685803,5.748976516942473,0.0331531158392435,18,14518500
cat_2,0.8050096042810874,0.3899807914378256,0.08268926192203449,0.03022242428670678,13.334698155189415,0.029033859831948557,8,15257300
cat_3,0.8542966966966966,0.29140660660660667,0.05742890701800971,0.016877318701020178,6.236988788788792,0.03291203692581471,14,14247100
cat_4,0.828574520069808,0.34285095986038394,0.0691534628382792,0.03124069811200535,9.326833275159979,0.035383483679141625,0,12460800
cat_5,0.8228148148148149,0.3543703703703703,0.07708380916325164,0.02666840160693035,8.678355555555555,0.03227107709190673,35,13912200
dolphin_1,0.8237630457272915,0.352473908545417,0.06186376486301116,0.03106335962640274,8.21517930891786,0.03666689178564039,6,11718400
dolphin_2,0.8257333333333333,0.34853333333333336,0.06311428925552796,0.02653572730402822,3.307409259259258,0.040226555246913584,16,10896700
dolphin_3,0.6756612493090104,0.648677501381979,0.25024043255796685,0.07196751474914136,30.94211962410171,0.06768117044407593,6,15350900
dolphin_4,0.7127764367816093,0.5744471264367814,0.1263063513862348,0.06595636257190417,7.630492911877395,0.04677621902937421,4,19352600
dolphin_5,0.8125600381497375,0.37487992370052453,0.14054385925414223,0.026716198321634986,12.554932125258311,0.0536874879457426,9,16081200
face_1,0.8218394930912878,0.3563210138174242,0.07238732058475746,0.02880013866422555,8.260650610940951,0.03144805266412297,6,17528300
face_2,0.8480603769242011,0.3038792461515977,0.061287728860289915,0.018829505176794183,6.007561663501783,0.033095246053824925,6,14527600
face_3,0.7957164168038318,0.4085671663923366,0.07920603007807572,0.03656289459175926,10.388996105995224,0.03658607411361716,6,15086700
face_4,0.8470345912338132,0.30593081753237394,0.058089230205154226,0.020998886615779113,4.81310181376485,0.03326451338992628,2,16572100
face_5,0.7993483109483109,0.40130337810337813,0.08087777675009082,0.0319508704135658,7.115735449735452,0.030305554198887533,6,16742800
lotus_1,0.7804192786673136,0.4391614426653728,0.08615354733408945,0.04725917048066459,5.6169964095099445,0.03223206102754866,0,13302400
lotus_2,0.8051650793650795,0.3896698412698412,0.09538308669488876,0.028640360208686034,12.753903250188962,0.046578260519022426,5,12582800
lotus_3,0.5182768063145113,0.9634463873709774,0.4886172275137907,0.15803733561497182,66.8700915604129,0.09978323436551308,17,14659600
lotus_4,0.786491426885052,0.42701714622989523,0.08177669252606422,0.043238121490050185,10.854156234321971,0.03136771373764202,1,17226200
lotus_5,0.8192654572940287,0.3614690854119425,0.06385107775654672,0.02758410663066721,12.513941194255477,0.0407616423952297,19,16911000
pickles_1,0.29080644776562065,1.4183871044687586,0.7165272775188539,0.43978485599900796,96.55083518981925,0.13072537689921046,25,1839474100
pickles_2,0.27531722222222227,1.4493655555555556,0.7312563272702343,0.47816016066171935,98.20088049074074,0.13251104292222224,24,2557611100
pickles_3,0.3556980141162981,1.2886039717674038,0.6500492790583209,0.353545779896458,87.30877607869319,0.1235327252372305,21,1643213700
pickles_4,0.3426684494939679,1.3146631010120642,0.6632752918290948,0.3709325862435114,89.42196232432515,0.12462353317241784,21,1913041500
pickles_5,0.3332135716278927,1.3335728567442147,0.6744939341144279,0.37830075051257034,90.7642583691969,0.12597367548848037,23,1103183700
