ball_query (16972500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.7979056409776947,0.4041887180446109,0.11366114010633896,0.02873235054249296,16.84673657069673,0.06159057858778581,3,14552900
airplane_2,0.8114000332794715,0.37719993344105723,0.07269817022921723,0.031081682119333164,7.669386408075819,0.05048440559389155,2,14110600
airplane_3,0.7371494527215521,0.5257010945568957,0.14911887718377234,0.04608412357297654,19.738898327093295,0.06705305219237477,3,13887600
airplane_4,0.7771428095974099,0.4457143808051803,0.11164450913463488,0.03547927453322979,14.485593001081941,0.060230059106598226,1,13769800
airplane_5,0.6941450378060632,0.6117099243878736,0.22767885523431197,0.060819673533862376,32.86405295219131,0.08114577428781367,1,13761700
ball_1,0.8199748612724223,0.3600502774551555,0.07428204568709934,0.023777917122519695,10.444365001935736,0.03766653761775713,1,14959800
ball_2,0.4919677377726158,1.0160645244547681,0.43159411998097036,0.17257550970310556,47.51177380307139,0.11431979902783154,3,15960900
ball_3,0.8632064897459151,0.27358702050816985,0.05832800814967949,0.02084161876701896,8.116435015035078,0.0454117642223389,0,18542000
ball_4,0.8844308684991612,0.2311382630016776,0.04376259111522135,0.011338704980234255,2.012639721254355,0.04031976255000646,1,14875200
ball_5,0.6748592835508187,0.6502814328983626,0.2746499053564983,0.0689069029122563,36.110089271480966,0.08924081968830892,0,14360800
car_1,0.7956707169682284,0.4086585660635431,0.08584247792484459,0.04453475768457549,7.109362269112173,0.04508344387649823,3,12272700
car_2,0.7933654645465963,0.41326907090680776,0.0910887233586752,0.036639927392280926,4.920001886603347,0.03547614232850089,2,12337700
car_3,0.7870402141294799,0.42591957174104006,0.10292718836913117,0.037767246394218114,6.890886172966157,0.03248258861631401,3,11625900
car_4,0.8161739684111853,0.36765206317762955,0.0789669054973453,0.02571148612723072,9.51541932707217,0.03406868277747317,2,11791400
car_5,0.7680506081347978,0.46389878373040433,0.09631131638323559,0.04026453734930365,7.621666342406716,0.03307347219520056,3,12093200
cat_1,0.721457434452764,0.557085131094472,0.12064951304186489,0.05406704828968454,7.059702720735411,0.03090986235698223,3,14518500
cat_2,0.8186212865930942,0.36275742681381185,0.09602348024978746,0.025357649813324726,10.076331438816833,0.03030945535962693,2,15257300
cat_3,0.7945940191062143,0.41081196178757157,0.0871033766337396,0.02992849044110892,5.40731513743709,0.03323467038467039,2,14247100
cat_4,0.8927074934174922,0.21458501316501571,0.04191841651675582,0.009803762300950631,5.736099689269147,0.03936310045748176,0,12460800
cat_5,0.7093900116144018,0.5812199767711963,0.1165872755618046,0.06015592379837865,8.253389495418755,0.030912830386716564,2,13912200
dolphin_1,0.7221383476404597,0.5557233047190807,0.10340263675014873,0.060478478136866534,9.677732466470715,0.03570149473242537,1,11718400
dolphin_2,0.76396762485482,0.47206475029036,0.09579341866429002,0.05216192438797461,6.401831300813004,0.040097165360046455,3,10896700
dolphin_3,0.7237412819757196,0.552517436048561,0.2154387467982076,0.050379693619348465,34.52575213364075,0.07825147356519763,3,15350900
dolphin_4,0.8101895350234292,0.3796209299531419,0.07773745470133774,0.025384374644399087,10.379302985702274,0.054198403186618074,1,19352600
dolphin_5,0.833471260586303,0.333057478827394,0.10633877053387089,0.02295832619295736,15.889170592135097,0.060376901962152674,3,16081200
face_1,0.8725426198417725,0.25491476031645516,0.0690045854478252,0.013255072860182175,4.423681603780761,0.03415429123714372,2,17528300
face_2,0.8254032707449759,0.3491934585100481,0.07816188594187229,0.022645357916332185,7.456133817116908,0.034385791589969635,3,14527600
face_3,0.821392006135653,0.3572159877286939,0.07135098530616582,0.028797726677592016,11.954005128751211,0.03964448305061496,2,15086700
face_4,0.8691144282204356,0.2617711435591287,0.06485065387063643,0.01298844202498898,5.294731174048816,0.035315981957829055,1,16572100
face_5,0.8330664998957682,0.3338670002084636,0.08285680023266391,0.02221991797400593,6.1947633937877855,0.03261062980122213,2,16742800
lotus_1,0.8462318620067049,0.30753627598659017,0.06751161783169496,0.016437719006304894,2.921159259315611,0.03613146150425946,0,13302400
lotus_2,0.866403268624523,0.267193462750954,0.05935049627062508,0.013658759954273566,15.99018997843039,0.05183307931767365,1,12582800
lotus_3,0.5452224824355972,0.9095550351288056,0.45484803411176333,0.14310653962187644,70.45473943755832,0.11818035769819056,3,14659600
lotus_4,0.896468666564867,0.20706266687026575,0.06057229235943983,0.00876718842545705,6.493943158839668,0.035344019045768144,0,17226200
lotus_5,0.7851603893589957,0.42967922128200875,0.07443379515491254,0.040368703124696086,16.178874232619876,0.04249702041869787,3,16911000
pickles_1,0.30644210678790096,1.387115786424198,0.6840556192311359,0.4390142498127163,100.13548306696471,0.155932094401368,3,1839474100
pickles_2,0.2931075087108014,1.4137849825783975,0.6986053332205157,0.4727332461300717,101.78552836788614,0.15832133809523807,3,2557611100
pickles_3,0.334453479529734,1.331093040940532,0.6195689376067921,0.3672233221566992,90.89342395583861,0.14534901650446092,3,1643213700
pickles_4,0.3310351133097115,1.3379297733805773,0.6319535484758825,0.3768866381869209,93.00661020147055,0.14737503872098723,3,1913041500
pickles_5,0.3294519527305669,1.3410960945388664,0.6429500025107984,0.3830109424354112,94.34890624634235,0.14921944909145526,3,1103183700
