cat_cropped_query (7224500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.8443756087888268,0.3112487824223465,0.05067674360770986,0.019789823314205226,7.443508464870499,0.02688161423508919,1,6179800
airplane_cropped_2,0.8093075622102761,0.3813848755794478,0.07096204903376678,0.028614094965266217,8.123272354103657,0.02634717492416031,3,7173500
airplane_cropped_3,0.7950109983909897,0.4099780032180204,0.07567809347257824,0.033237931344970356,12.080729510320335,0.028410905664370316,3,6661600
airplane_cropped_4,0.8092507194297627,0.38149856114047465,0.06865066727622957,0.028761475528778353,10.912757990223541,0.027086614654236944,4,5658200
airplane_cropped_5,0.7916732551495562,0.41665348970088745,0.06957302232468077,0.03234263617243837,11.318818360375108,0.027834082014494898,2,6032200
ball_cropped_1,0.7018044453357075,0.596391109328585,0.11152989871297618,0.07212778344927638,28.915649700587927,0.028816382607143524,1,4499100
ball_cropped_2,0.5705678035977728,0.8588643928044546,0.280912030969441,0.12722627056655433,15.320110580161947,0.04602474714022773,1,8795100
ball_cropped_3,0.7643707904538884,0.4712584190922231,0.11305559986808181,0.04277467110798178,11.32254907566709,0.031050545021861786,2,13891400
ball_cropped_4,0.7691956290505615,0.4616087418988769,0.08510700125626662,0.03811674089995888,9.147327968789027,0.028230807778076905,0,5018100
ball_cropped_5,0.6721451908518608,0.6557096182962785,0.25238588139314305,0.09324341758528319,21.773486132832577,0.0437731436281228,0,12044300
car_cropped_1,0.8059495685665651,0.38810086286686973,0.07153373454974471,0.03388400059442526,8.738657671077098,0.027342043496911786,6,2507300
car_cropped_2,0.7430193575258546,0.5139612849482906,0.08681046099517704,0.0539866485876393,12.117209310418419,0.027815534822594818,6,1999900
car_cropped_3,0.7775111150067895,0.44497776998642097,0.07723692968170452,0.042905727088043785,10.576666286061274,0.027048430377699467,4,1577800
car_cropped_4,0.8046168727318495,0.3907662545363011,0.06503036778191426,0.034786304071463756,9.930855895246724,0.027087848471214045,5,3005600
car_cropped_5,0.7606415001619447,0.4787169996761107,0.07862425523331956,0.047369010561690815,11.187667203070873,0.027594580687382988,6,2568200
cat_cropped_1,0.9346508688165508,0.13069826236689874,0.024781742798187244,0.005201769896863979,2.2573077917368245,0.024620392649003935,5,8591400
cat_cropped_2,0.9447573294348863,0.11048534113022737,0.017303355129627752,0.0030587882760474694,4.931694277606605,0.024490491376233145,3,14703400
cat_cropped_3,0.9030363802353458,0.1939272395293084,0.034458649469024064,0.008593628302448302,1.879982463524371,0.024501911721844974,3,9166800
cat_cropped_4,0.8576267741551512,0.28474645168969764,0.056199355744220844,0.01442614069020171,5.094890227632426,0.027730243164205356,0,10012600
cat_cropped_5,0.8373759100693321,0.32524817986133553,0.057335150062495045,0.02150303629109452,5.170424329266907,0.02465400661280314,3,11518100
dolphin_cropped_1,0.784474803050265,0.43105039389947,0.07241942014860457,0.039283175968728816,10.762948412086175,0.026854891751944124,2,5997900
dolphin_cropped_2,0.7576899802997652,0.48462003940046994,0.09997304933701211,0.0454657787090583,9.630971274936796,0.030650603080426726,3,3998800
dolphin_cropped_3,0.753535627179234,0.4929287456415321,0.1661910356465645,0.045619770233759536,21.56484667105912,0.03682838861467829,2,6103900
dolphin_cropped_4,0.8417571535804761,0.31648569283904776,0.05278192713932289,0.022616149129152385,7.867655718856144,0.026305500477344493,2,4064100
dolphin_cropped_5,0.8168026927807375,0.3663946144385251,0.13256457517872242,0.027409049346747736,13.202446541570326,0.03428076376831206,4,12072700
face_cropped_1,0.9143598784558425,0.1712802430883152,0.025191108798403507,0.006113941904914466,1.3469509978581171,0.024683948559053096,2,11616000
face_cropped_2,0.9104035032545196,0.1791929934909607,0.026648372613070133,0.0072046122039979114,3.8828125148907353,0.024644632711555016,3,9604100
face_cropped_3,0.8921042180631048,0.21579156387379023,0.0357347605835481,0.010763359181443376,6.044688611652539,0.024750601565010157,1,9128800
face_cropped_4,0.9011570469635001,0.19768590607300002,0.03286964226504828,0.008720836278922025,3.8671414926134027,0.025557773031262943,1,13193900
face_cropped_5,0.8987905475535903,0.20241890489281944,0.03175555676053245,0.008835501777589082,5.259869056368233,0.02396918555128461,2,11057500
lotus_cropped_1,0.7891860698402884,0.42162786031942334,0.07686144512177123,0.0288003820155954,4.9468312671910235,0.028530568680308597,2,5921900
lotus_cropped_2,0.878823325640002,0.24235334871999617,0.035972164087661226,0.012477633153593026,3.6297839427252194,0.025664187475524916,2,4662500
lotus_cropped_3,0.7344485796296967,0.5311028407406069,0.23896316298291018,0.05937385456351785,37.092442738193775,0.043139129055814227,3,7741800
lotus_cropped_4,0.8486805597829523,0.3026388804340955,0.04789976026430746,0.019928152123847548,4.0610793162854595,0.025674414880416392,5,3183000
lotus_cropped_5,0.7939324922178298,0.4121350155643405,0.07909511042346631,0.03323154289946494,17.020590689032876,0.028347342268642335,3,16704800
pickles_cropped_1,0.4803310084586695,1.039337983082661,0.4560390917323529,0.19835120911090165,58.63110200420412,0.05902603849626507,2,862983600
pickles_cropped_2,0.5529137733026545,0.8941724533946912,0.38607565496723095,0.14364035584401125,50.487393129336894,0.05385970062785723,1,401760500
pickles_cropped_3,0.5308832272334886,0.9382335455330227,0.3954241627074638,0.15553766149039322,50.19410681047377,0.05440197403453388,0,821348100
pickles_cropped_4,0.5556206603540137,0.8887586792919724,0.36743520935290486,0.14021660883006803,47.20231222029998,0.052447684840270375,0,670169800
pickles_cropped_5,0.515225385027908,0.9695492299441837,0.4057021458666532,0.16984252284450488,51.28246518321807,0.05494966127293047,2,672391100
