ball_query (13946600),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,0.7681409703063028,0.46371805938739474,0.11075083782610828,0.03804947195260605,0
airplane_2,0.7667297473032268,0.46654050539354647,0.07199189577039256,0.044144856196907334,7349800
airplane_3,0.7197437617676976,0.560512476464605,0.11442852507719976,0.0572083880324011,2009300
airplane_4,0.724587363523171,0.5508252729536582,0.10710691919461629,0.05613352647815493,1152800
airplane_5,0.6893257721206949,0.6213484557586102,0.18023742030468787,0.06745250334601595,3208600
ball_1,0.7672224545102595,0.4655550909794812,0.08686683401663584,0.0481708402249155,0
ball_2,0.42494489611562786,1.1501102077687442,0.4210870338502089,0.23226567975907966,0
ball_3,0.7858770464416974,0.42824590711660543,0.06267300673177066,0.04284477420306432,6862500
ball_4,0.8262507162214479,0.3474985675571042,0.05905678064479283,0.0258418215976835,0
ball_5,0.6226509075174785,0.7546981849650429,0.21066160133170442,0.0972486614458957,0
car_1,0.7183943826385328,0.5632112347229346,0.08824280409365708,0.06984499372287595,6966300
car_2,0.7423978728547257,0.5152042542905487,0.08679213773263461,0.05443013437071323,0
car_3,0.720529722846177,0.5589405543076461,0.09958045617940178,0.06528756965890507,0
car_4,0.7855158386246662,0.42896832275066765,0.06981651936223292,0.03761442497369946,6551000
car_5,0.7305212331311131,0.5389575337377739,0.08721075794290284,0.059117674758992454,1222900
cat_1,0.692465564534065,0.6150688709318705,0.10012063921333889,0.07640469904784415,2997700
cat_2,0.8464523080863616,0.30709538382727664,0.0514778746855049,0.019631734972428504,2716300
cat_3,0.8217604189555409,0.35647916208891817,0.0514391708669158,0.025621036057595768,238900
cat_4,0.8704041325379597,0.25919173492408065,0.03035993692901841,0.013793791265098988,0
cat_5,0.6590495289714802,0.6819009420570397,0.10701729058444634,0.0887705943938228,0
dolphin_1,0.726882603702334,0.5462347925953321,0.0693580361118798,0.06535567032022084,7938400
dolphin_2,0.7494848286875726,0.5010303426248549,0.07491477537192638,0.06029160675064691,2004000
dolphin_3,0.7292385343896083,0.5415229312207834,0.17411714947981996,0.05118006915832962,1009700
dolphin_4,0.7827089591092955,0.43458208178140895,0.09810654803056043,0.03702475794193799,2854300
dolphin_5,0.8129288231570237,0.37414235368595256,0.09581997713515773,0.025429070457760685,2099300
face_1,0.8074980001967209,0.3850039996065582,0.06878098950466337,0.03010208040400209,3012400
face_2,0.7347791978942149,0.5304416042115705,0.0919139881198668,0.05587851628394931,1661600
face_3,0.7413472628653952,0.5173054742692096,0.08472920117949304,0.056690381243029275,0
face_4,0.8081964837436034,0.38360703251279316,0.06285069248199252,0.02892751390559917,0
face_5,0.7653950385657703,0.4692099228684594,0.0831208727304652,0.044336435311453495,9306800
lotus_1,0.8316673006405674,0.3366653987188656,0.05653008946829137,0.02668502855977451,1985000
lotus_2,0.8326684088269454,0.33466318234610914,0.04448517468511253,0.027697882904947672,2639200
lotus_3,0.5023882351821176,0.9952235296357648,0.43428990511259974,0.17148279047606801,325800
lotus_4,0.8795946527478935,0.2408106945042131,0.043386075132016616,0.0113453112972303,0
lotus_5,0.7237614070018252,0.5524771859963498,0.08705757149467877,0.06078430223412694,7017600
pickles_1,0.30984764333347037,1.3803047133330593,0.5952555521977375,0.4310704429183617,133519700
pickles_2,0.2964952006387921,1.4070095987224158,0.6010330721156107,0.46453059369689215,173910700
pickles_3,0.3450088267676459,1.3099823464647085,0.5528072647499864,0.35654445744201835,129657400
pickles_4,0.34696007657714545,1.306079846845709,0.5556027054033451,0.35671872397115095,153146900
pickles_5,0.33657243260488123,1.3268551347902375,0.5444859239006811,0.3711672450078259,80301400
