cat_cropped_query (5948900),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,0.8209781791518654,0.35804364169626907,0.04254488042561494,0.02791732591168038,1999300
airplane_cropped_2,0.7884791501767449,0.42304169964651006,0.05334805508149771,0.03730799621240503,1001000
airplane_cropped_3,0.7611829953645532,0.4776340092708934,0.06455913903336619,0.04808917034770985,1999200
airplane_cropped_4,0.7884837544751355,0.42303249104972884,0.06131831250101293,0.03921804806992153,1071000
airplane_cropped_5,0.7946885790828428,0.4106228418343141,0.05291072983223396,0.03684843441628915,0
ball_cropped_1,0.6443837137241495,0.711232572551701,0.15262123149685927,0.10778373140431705,0
ball_cropped_2,0.5561560759961004,0.8876878480077992,0.22822634335876718,0.13909099900964475,0
ball_cropped_3,0.7996925130922024,0.4006149738155952,0.054552836746903116,0.033644882603306156,0
ball_cropped_4,0.8427555876572708,0.31448882468545825,0.03902851039951085,0.02267071202699043,6702100
ball_cropped_5,0.6797510263583546,0.6404979472832907,0.15547863891747718,0.06963060505269868,2030100
car_cropped_1,0.7744381330298059,0.4511237339403884,0.0627760061815447,0.04006243671830185,1040700
car_cropped_2,0.7358373020308008,0.5283253959383988,0.06273961423011787,0.059440911533088094,0
car_cropped_3,0.7165508658339416,0.566898268332117,0.08070300323893712,0.061177861185308546,1011100
car_cropped_4,0.7696985632857218,0.4606028734285564,0.05478685332786637,0.03986062578520204,978200
car_cropped_5,0.7662277250494675,0.4675445499010651,0.06358778884601966,0.04611509010635703,0
cat_cropped_1,0.8992971481509905,0.2014057036980191,0.02768744613796853,0.008229694619532085,1892700
cat_cropped_2,0.9071730223550682,0.18565395528986336,0.021649389981818472,0.00866685397446063,3030300
cat_cropped_3,0.9146281094464443,0.17074378110711141,0.022847210793653802,0.006116870947255138,2000300
cat_cropped_4,0.8719977371569536,0.2560045256860928,0.03281890581157645,0.013905629994602873,1711600
cat_cropped_5,0.816561021525837,0.36687795694832614,0.059870865105226725,0.024340078332224346,2260700
dolphin_cropped_1,0.764138617256978,0.47172276548604414,0.05388691622607591,0.0447127049925789,0
dolphin_cropped_2,0.7828905114024314,0.4342189771951377,0.0672460103529867,0.03986067724621435,0
dolphin_cropped_3,0.7859529942313687,0.4280940115372627,0.07333563020250787,0.03350821848789765,4946500
dolphin_cropped_4,0.7954690023191711,0.4090619953616578,0.05247874223463215,0.038478527646124985,1046000
dolphin_cropped_5,0.8267177318688281,0.3465645362623435,0.0699699916445129,0.02143254422584223,1067000
face_cropped_1,0.8856610757902812,0.22867784841943756,0.03700766794027435,0.01177203738025343,2955400
face_cropped_2,0.8586977791755217,0.2826044416489566,0.04528710595657557,0.015552899486900135,1860500
face_cropped_3,0.852188988819258,0.295622022361484,0.0485344207849432,0.018433236935419477,2117100
face_cropped_4,0.8743138037991919,0.25137239240161635,0.033207607758131766,0.012751710604888214,1999200
face_cropped_5,0.8547741394798987,0.29045172104020267,0.050312746047498726,0.018204231464182756,1999200
lotus_cropped_1,0.9051367013963432,0.18972659720731372,0.020584950288014863,0.007857312108724585,757000
lotus_cropped_2,0.8976507041685545,0.20469859166289106,0.032007792893613114,0.008761901342987238,0
lotus_cropped_3,0.7585266923281644,0.4829466153436711,0.1539277879020704,0.04365240678862133,0
lotus_cropped_4,0.8802048680626634,0.23959026387467328,0.03193816695150582,0.012387787894426587,0
lotus_cropped_5,0.8430573814307412,0.3138852371385179,0.04575149914175827,0.01827545025420452,7000000
pickles_cropped_1,0.5736376980618761,0.8527246038762477,0.3343756831205782,0.13118583544088844,84459800
pickles_cropped_2,0.6411700426688826,0.7176599146622351,0.2754591372053793,0.09397205686685926,47785400
pickles_cropped_3,0.6227922631545091,0.7544154736909816,0.2742154968033521,0.10142203333164443,97879300
pickles_cropped_4,0.6427031560735863,0.7145936878528274,0.26204929665722976,0.090079781168288,82139400
pickles_cropped_5,0.6166830024054559,0.7666339951890884,0.26797101214626506,0.10635086290147967,76840700
