strawberry_cropped_query (4538000),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,0.5613400336789316,0.08799284325104446,0.026235554530204302,2.0969361632551666,1115800
airplane_cropped_2,0.6091989048242145,0.07621429307965072,0.019858317704611626,2.156677583422857,2005800
airplane_cropped_3,0.5400038945589597,0.09386067294628478,0.024813586129291836,2.0752087519374283,1003900
airplane_cropped_4,0.5426140401130783,0.09352865061267347,0.02506766966439584,2.1027964178585967,1012900
airplane_cropped_5,0.5236779688272803,0.09947030310786407,0.027061995537237715,2.0620570437977057,1808100
ball_cropped_1,0.5499648130891925,0.09352854647773848,0.03151122540310745,2.22925138877631,1109800
ball_cropped_2,0.5393272134872926,0.10021374962272875,0.03880236696628376,2.4711077581921237,1008600
ball_cropped_3,0.8236614745557295,0.03437427477907238,0.006810221301996398,2.2314510731664483,2995300
ball_cropped_4,0.6630672270808227,0.060110372045008756,0.025033332650820413,2.1041540058824704,1533600
ball_cropped_5,0.7410024060644629,0.05978798031064453,0.014625129344788204,2.345119442899028,0
car_cropped_1,0.5573459995528578,0.08965577240033762,0.02460701394425171,2.1559048782601917,0
car_cropped_2,0.5550327345979521,0.09189476037302124,0.019917170880538,2.217272827157218,0
car_cropped_3,0.47113228837351084,0.11772062371762522,0.0383450928800051,2.2339671433942576,0
car_cropped_4,0.5382812974259376,0.09588945935800441,0.02450471602379515,2.1618500302320984,0
car_cropped_5,0.5086785351045423,0.10538078847112954,0.027688952085055004,2.2132653582722313,0
cat_cropped_1,0.6658070342863294,0.05919212409830258,0.01504177162861211,2.122463140668757,7225200
cat_cropped_2,0.6724269864530605,0.0562682156537507,0.015058150341650195,2.0897462377536433,3121500
cat_cropped_3,0.6918232106344248,0.05543598448765895,0.010122615660465671,2.1567261666187996,2003200
cat_cropped_4,0.627476909921261,0.06855776420993812,0.022975879098341166,2.082468599070957,2099100
cat_cropped_5,0.683112730517549,0.06426485774311862,0.014121433857781081,2.256863097084433,0
dolphin_cropped_1,0.5638062466669284,0.08874752417161541,0.02114542884242364,2.167099569701538,0
dolphin_cropped_2,0.7108151790912155,0.05517583541405613,0.010184267415852568,2.2215850976585947,0
dolphin_cropped_3,0.7409076605463032,0.059480776578308886,0.014960203191520556,2.344158126874835,6454400
dolphin_cropped_4,0.6367528838327023,0.06786522025396705,0.027231182801435744,2.1167835325830926,490000
dolphin_cropped_5,0.7103272156283252,0.05291918624294287,0.010547269205041147,2.190856460107537,0
face_cropped_1,0.7736375581877479,0.041722496335268075,0.008678663360638966,2.2049966577492044,0
face_cropped_2,0.817126223112211,0.035708838029307015,0.0062528771575523345,2.232849027895753,6639900
face_cropped_3,0.8189397123279399,0.037710316292085336,0.007235929528567535,2.2513664698303133,0
face_cropped_4,0.8022996146407375,0.036860806872478585,0.008784205557379713,2.2076033465259064,6587200
face_cropped_5,0.815932815589306,0.03507674285124543,0.006387816177276493,2.2259173871003206,2407400
lotus_cropped_1,0.6937191621539448,0.05519716794504227,0.016433544485235946,2.151490518795629,1004300
lotus_cropped_2,0.7381948970879845,0.04682635911482566,0.011724090018571038,2.1781529976792307,1002600
lotus_cropped_3,0.8630515917290528,0.0534518016432126,0.01620413951008224,2.462764481314434,1990400
lotus_cropped_4,0.7879020293207938,0.04121532994568761,0.007901808899471318,2.2379553636675245,1014000
lotus_cropped_5,0.7748884141469476,0.04802832971311232,0.010471896388840028,2.2729094252402446,0
pickles_cropped_1,0.8415992706139425,0.07083159245523454,0.02656325690461974,2.6499868746235635,108810500
pickles_cropped_2,0.7917198051451747,0.0675092087352053,0.02266796376561852,2.5187569316777902,62571100
pickles_cropped_3,0.7759625998067499,0.07165309437238748,0.025528777423398152,2.557269443299516,113153700
pickles_cropped_4,0.8007664069062576,0.06274790649407169,0.02106331753760254,2.4717972424851933,97420700
pickles_cropped_5,0.7863560453989576,0.07368029802425077,0.02627941737873894,2.6073918759085952,97195800
