strawberry_query (14446800),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,0.677456130039156,0.05580451994665678,0.013826372725493015,2.2933994047807778,0
airplane_2,0.6376477826736674,0.061510643357296634,0.014513855900390279,2.244148588256013,8069900
airplane_3,0.6203870793384862,0.06931500133229244,0.01770298395913551,2.3340636172681077,2001400
airplane_4,0.566094802167017,0.0807026256442358,0.02329498611269031,2.3105195894373822,2008600
airplane_5,0.687670079324293,0.058860606973416676,0.01390465306507289,2.3791455279258242,3017500
ball_1,0.5884862527786588,0.07155971026376931,0.024475931837352687,2.1923509744794614,3006700
ball_2,0.5289724390241766,0.0944522618559519,0.036465154972939284,2.7976846078168616,1995200
ball_3,0.7876943183514861,0.03557090262683449,0.008476195672995426,2.306779404745339,514000
ball_4,0.6596313581168423,0.05368899822331556,0.017118458500122977,2.1777228364616743,0
ball_5,0.7627349268694881,0.05798205629115115,0.01657081945958175,2.5307947733549185,7302400
car_1,0.5185260684892659,0.09238316444078146,0.03083862575708179,2.2418458429724684,0
car_2,0.5546292668613049,0.08142313047495958,0.020179735532534507,2.202542205279928,0
car_3,0.6091089132751033,0.0686445514201335,0.0174461063087148,2.243347452885495,7120400
car_4,0.5307962751085417,0.08791809491698979,0.024336729726563235,2.1439404222172036,0
car_5,0.5497641400803713,0.08282303432171377,0.021404400552290766,2.187308857715304,6718700
cat_1,0.7212329506985609,0.050044071079008656,0.013387928436322407,2.343792078508977,0
cat_2,0.6214583053161564,0.06148976470753301,0.017707944516810712,2.139824839864143,0
cat_3,0.6635852274489132,0.05422509225092251,0.013756602638788256,2.2034976745323798,8990800
cat_4,0.5878313914404059,0.07109406696161202,0.02566361913181937,2.135155219429365,1995700
cat_5,0.661618494508982,0.06115282219488862,0.013730229262960565,2.3329426391016668,3154600
dolphin_1,0.5154766991732725,0.0933699588392532,0.024161681266515245,2.2082720414449,0
dolphin_2,0.6512851055416458,0.05995133763837638,0.012780503748194878,2.2535513820200124,0
dolphin_3,0.8347034788806306,0.04881251797592603,0.015412433189512019,2.521964418255673,7548000
dolphin_4,0.687623878865968,0.05292053696399032,0.023485542070092746,2.258666050482034,2995900
dolphin_5,0.7152780387786698,0.04787429591034108,0.009752845607213699,2.297161115229582,3126600
face_1,0.7257007007007006,0.04302736230209277,0.012220640933972453,2.2457354887481125,4121900
face_2,0.7531084892226949,0.042005059740688286,0.009459512455588752,2.3103128282655105,3131100
face_3,0.8330665728219134,0.033749204874939445,0.006538048989255909,2.364798731236761,0
face_4,0.724617351295916,0.04411965236939751,0.014065361056190913,2.249957428670107,6445200
face_5,0.7572635020916462,0.03875692163515042,0.010752293820237667,2.2680976200014134,4121300
lotus_1,0.6986766899121458,0.04896942157194498,0.018319769921340167,2.240203151925084,2974200
lotus_2,0.7623965031848369,0.038583414915781815,0.00802508374420544,2.2854846623776033,2103100
lotus_3,0.938966635488082,0.06362319278930494,0.025739411238018577,2.831471314604834,2010700
lotus_4,0.6722916093227573,0.04972655503447465,0.01728685217792673,2.161102501987464,2529000
lotus_5,0.753286655335213,0.044465153835211824,0.009401404999737776,2.338646650672848,0
pickles_1,0.7482072770289059,0.09276049404537288,0.03951328944428092,3.7102149063168115,152844500
pickles_2,0.7160897231287927,0.0941697217097171,0.0399481986005067,3.8352929493349963,194620000
pickles_3,0.7924565542626726,0.08751143106907369,0.037476807832988235,3.382916390669568,131697300
pickles_4,0.8006049810352767,0.08763856054294995,0.037631853528933196,3.3927870969364458,166944600
pickles_5,0.8682389788338215,0.08835435700878887,0.03802838774461335,3.499374108086516,91398800
