pickles_cropped_querry (10632100),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.6751285384343932,0.6497429231312134,0.3528524892605263,0.07203671562490699,1.4106331608884253,0.14615262440229315,247,9772600
airplane_cropped_2,0.6465156957546055,0.7069686084907889,0.3867663210377592,0.09199277245217419,1.4017028724242904,0.1325076149044023,247,101731600
airplane_cropped_3,0.6877127394824109,0.6245745210351783,0.34276562671910493,0.06791748866583157,1.4108606263209866,0.15176419923607817,247,9590400
airplane_cropped_4,0.6661870079041519,0.6676259841916962,0.36611406522245726,0.07981026341459874,1.4430441689314812,0.14186286033204681,247,9306300
airplane_cropped_5,0.6743834708723604,0.6512330582552793,0.35443525931550846,0.07250556886518417,1.4640878926830467,0.14623705393983924,247,10264200
ball_cropped_1,0.6402517192604152,0.7194965614791695,0.36673171084165496,0.09000206052854365,1.523961604636513,0.15487321018218203,247,9546200
ball_cropped_2,0.8027397971294901,0.3945204057410199,0.17615534456708265,0.03540901533637261,0.5258922310362405,0.24229125519405179,247,11164900
ball_cropped_3,0.7620686206348877,0.4758627587302247,0.25886741899902355,0.03479419255660273,0.910262043798354,0.18509705944494975,247,12521600
ball_cropped_4,0.7318238169471174,0.5363523661057653,0.3099745056181451,0.05372326657619697,1.4386385498665706,0.17128803892505728,247,10547500
ball_cropped_5,0.8593387616816908,0.28132247663661847,0.1246750029454204,0.012781378211489796,0.5538537900264774,0.24501205189660186,247,11745100
car_cropped_1,0.692324725434603,0.615350549130794,0.3320074356317488,0.05956752449510035,1.4072160084817809,0.15607731343380798,247,8245800
car_cropped_2,0.669536171396049,0.6609276572079021,0.3557262554167222,0.07175706254274695,1.3488467157374882,0.144892229950955,247,8473100
car_cropped_3,0.6700404962538221,0.6599190074923558,0.3559286910810197,0.07133989248935453,1.3944572753566689,0.14566620078381964,247,124771900
car_cropped_4,0.6653341182763981,0.6693317634472038,0.35970161812328266,0.07340342096205758,1.4473138122143614,0.14338881836119485,247,9555100
car_cropped_5,0.661779588602041,0.676440822795918,0.3625323985302989,0.07398030090449402,1.3885507672304618,0.14255946633374952,247,8510200
cat_cropped_1,0.6414309525408302,0.7171380949183399,0.3862550341830407,0.08937129775847828,1.3860748302156027,0.13205208537349988,247,11687200
cat_cropped_2,0.654835221718081,0.6903295565638382,0.37141563296293256,0.08040016373808634,1.4028167551941384,0.13812465469837457,247,12961100
cat_cropped_3,0.6399408059667365,0.720118388066527,0.3884484448770086,0.09079583941286555,1.3448609068455675,0.1315638954082603,247,11555800
cat_cropped_4,0.7006316359154265,0.5987367281691469,0.3278932020862228,0.05981374736610235,1.3761078503355795,0.15775744695254879,247,10595300
cat_cropped_5,0.6337688081830336,0.7324623836339328,0.39734503691144263,0.09620202908868834,1.2221761964039255,0.12938146826084268,247,12049700
dolphin_cropped_1,0.6571979669471888,0.6856040661056224,0.37471431068463196,0.08441453197707297,1.3300422089206863,0.13776121857367735,247,10051600
dolphin_cropped_2,0.7073117511488693,0.5853764977022615,0.32774397431543206,0.06363513213315389,1.0549650166951017,0.15911357120506053,247,9840200
dolphin_cropped_3,0.8094163399078473,0.3811673201843053,0.2070962931299723,0.0235548329058356,0.7387666571776998,0.20495132923900028,247,9625400
dolphin_cropped_4,0.675203322438868,0.6495933551222639,0.36001211506503994,0.07815389618149414,1.405682673352858,0.1458650391583823,247,9544700
dolphin_cropped_5,0.7763996441889148,0.44720071162217034,0.24091665930664152,0.029958087430810937,0.9150111439154994,0.19071935961769743,247,11395300
face_cropped_1,0.6706983136519412,0.6586033726961176,0.35405009341001153,0.07011879683979488,1.3482033024378248,0.14590954453066973,247,12579900
face_cropped_2,0.6695349891617206,0.6609300216765587,0.35458668799823334,0.06976427249339408,1.327996594676693,0.14597985303438643,247,19194800
face_cropped_3,0.6735845865501799,0.65283082689964,0.35005511744785445,0.06646026463516554,1.3592460989517994,0.1487144638126651,247,10506900
face_cropped_4,0.6838061013959218,0.6323877972081564,0.3405001044792698,0.06379528872817573,1.3034838783369098,0.15150493592747583,247,12549900
face_cropped_5,0.6557054623447517,0.6885890753104966,0.36891520532463623,0.0760892370431237,1.3762448454225074,0.14095376110156382,247,13526200
lotus_cropped_1,0.726546449531989,0.546907100936022,0.3093246969942734,0.052352451966986416,1.3443760506729707,0.16973686724291423,247,10059500
lotus_cropped_2,0.6927479548997486,0.6145040902005027,0.33459149513819014,0.0620375576957706,1.3366072572031193,0.15474604152645505,247,9522400
lotus_cropped_3,0.8698316172235447,0.2603367655529105,0.1348405183548125,0.010455062604007475,0.35401456656211877,0.2336467363605022,247,11583000
lotus_cropped_4,0.6996331967120322,0.6007336065759357,0.33155892307367385,0.060432436227431524,1.3871970054042966,0.15832845785700378,247,9586000
lotus_cropped_5,0.7137112555711331,0.5725774888577337,0.30856864866538103,0.049996688346808295,1.061418264559037,0.16534646901930566,247,14091000
pickles_cropped_1,0.9217942247431584,0.15641155051368333,0.08503306937892473,0.003568124332402993,0.28408865157064805,0.3198189623917322,247,308355900
pickles_cropped_2,0.9775338204655798,0.04493235906884035,0.019712261960802058,0.0003542553141186589,0.06047550006905969,0.29341031959866587,247,174202200
pickles_cropped_3,0.9773631624388749,0.04527367512225042,0.024700226692598873,0.0005063823541662237,0.04852530385902591,0.2959507735245144,247,369927000
pickles_cropped_4,0.9848341627148017,0.030331674570396414,0.01228897867159612,0.00029113236304594654,0.01713281647916881,0.2867215422296314,247,267971400
pickles_cropped_5,0.9614616973637711,0.07707660527245809,0.038418161026201034,0.0011164738074805676,0.0980420285381864,0.3014196248486553,247,275159500
