dolphin_query (5477900),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.8482155293391934,0.30356894132161305,0.15527968924742555,0.015031751102566533,0.48266878453748685,0.1408994085611558,247,5523100
airplane_2,0.8904569108809615,0.21908617823807697,0.09222440885425578,0.006805834827959138,0.23674440182414866,0.13594554255636535,247,6591000
airplane_3,0.8387882011051487,0.3224235977897025,0.1761865927100268,0.018801811219983904,0.5509855213306855,0.1441274531344629,247,5584800
airplane_4,0.8680045557920784,0.2639908884158434,0.14083280545922156,0.012657250130457248,0.42349840680701717,0.1412131205841506,247,5971600
airplane_5,0.756456473383004,0.487087053233992,0.2642965847946964,0.03884510647566709,0.8758004535147395,0.14895791685563115,247,4963400
ball_1,0.8887111111111112,0.22257777777777776,0.09327194924399851,0.009604567089601548,0.21801481481481483,0.13058201371742112,247,5996100
ball_2,0.5512888888888889,0.8974222222222221,0.48033110025383136,0.1439459592355391,1.6603555555555558,0.1611465049108368,247,4998500
ball_3,0.8614817858954845,0.27703642820903096,0.10842270800042383,0.011009096041905,0.33424748858448866,0.13473727312700828,247,6999800
ball_4,0.9158814814814815,0.16823703703703702,0.06879846235561206,0.004791075636767683,0.18306666666668042,0.13233798496570642,247,6000200
ball_5,0.6909925925925926,0.6180148148148148,0.3383271620054358,0.06746106595800415,1.0650326797385623,0.15311876988622608,247,7000300
car_1,0.9331166760669298,0.13376664786614023,0.05927319189455466,0.003425126045546301,0.10784831735288927,0.13797212207808485,247,4999700
car_2,0.9703473585260387,0.05930528294792259,0.02700458010545072,0.0007089056327411451,0.12253581500282681,0.13252013962524284,247,6012100
car_3,0.9242560631697687,0.15148787366046246,0.06704614752466158,0.003881151817239558,0.14343147208121826,0.13196253531365545,247,5007000
car_4,0.9377422071818011,0.12451558563639782,0.06020998234815894,0.004045164229591575,0.28805188945290466,0.13030711186313215,247,5999100
car_5,0.9273258131227675,0.14534837375446513,0.06199139722193136,0.003975285181427001,0.26158826847151717,0.12941781863758853,247,8522600
cat_1,0.9257084318360913,0.14858313632781717,0.06829384855922957,0.0039784643648389986,0.116909692671405,0.1297779009193591,247,7513700
cat_2,0.9129133924799324,0.17417321504013517,0.07055457820111917,0.005051756487781508,0.2878893113645965,0.12787612655494532,247,6996700
cat_3,0.9524034034034035,0.09519319319319318,0.03966850902600303,0.001514893228005557,0.0994324324324358,0.1308024008452897,247,5999700
cat_4,0.8991110335466357,0.20177793290672874,0.09245496810116552,0.008859384799317886,0.26634741128563116,0.13024553344968004,247,4996100
cat_5,0.9100740740740741,0.17985185185185185,0.07230179699778123,0.004943731024439679,0.10245925925927296,0.12975793097393692,247,5002100
dolphin_1,0.9168350093109869,0.16632998137802613,0.06400483226615064,0.0043033203373770215,0.17828801986343884,0.12941993627146703,247,5000000
dolphin_2,0.8897157407407408,0.22056851851851852,0.09035653640983683,0.008724664450944688,0.12492638888888889,0.13364600277777777,247,4001400
dolphin_3,0.7534436705362079,0.4931126589275843,0.26960591912266,0.04167314335444342,0.8653963515754561,0.1489181743136171,247,9524100
dolphin_4,0.8198840996168583,0.36023180076628347,0.15337675254415964,0.021121365248206153,0.4035726692209451,0.1361392190293742,247,9520200
dolphin_5,0.8513703385789223,0.29725932284215545,0.15341447247791834,0.015057691349781998,0.4461066920998252,0.14096049149578765,247,5520000
face_1,0.90501013351235,0.18997973297530002,0.08429962249253702,0.00763454977108416,0.24049222595597397,0.1298826072860287,247,12060000
face_2,0.9130465737519841,0.17390685249603177,0.07338230585262663,0.005472944232728235,0.19136300757178787,0.13188335912599294,247,7184700
face_3,0.8670751822688831,0.26584963546223384,0.09858655000147944,0.010283484837013196,0.28074043625902695,0.13385204976496584,247,7163800
face_4,0.9331844769728038,0.1336310460543923,0.06140896823544833,0.004199027245405354,0.15584910135260327,0.13156434800312017,247,8007700
face_5,0.8864410256410257,0.22711794871794874,0.09251156289092036,0.009034099767854723,0.27015270655272017,0.13047637643015422,247,8517000
lotus_1,0.8818653081028627,0.2362693837942746,0.11940302919700167,0.014661018618473737,0.3266173702086366,0.13035011720308373,247,7523400
lotus_2,0.8766798185941043,0.24664036281179136,0.11632074528693011,0.010143003471683862,0.3491009826152683,0.13890313781809022,247,6997000
lotus_3,0.5362731026108075,0.927453794778385,0.4986222347350354,0.12841180996569965,1.8730910746812386,0.16393906354988869,247,8515300
lotus_4,0.8927639958683784,0.2144720082632433,0.09725414265006763,0.009920318817951312,0.2839456396635679,0.12977745669175153,247,10115500
lotus_5,0.9229224489795919,0.15415510204081628,0.06149819037457945,0.0034356222390968597,0.19823733938019655,0.1368275322079449,247,14089200
pickles_1,0.3281113307445701,1.34377733851086,0.7193382275035787,0.3215442298308311,2.728663982056787,0.17986181839277093,247,924078300
pickles_2,0.31421587037037035,1.3715682592592593,0.7342634013165926,0.34402873076827517,2.774222472222222,0.18073163655061728,247,1060904300
pickles_3,0.3917053489429625,1.216589302114075,0.6508859922357495,0.2546440299983563,2.4896059411045295,0.17675761812048071,247,686826200
pickles_4,0.3782674016205817,1.2434651967588368,0.6654031042624408,0.263306192429131,2.543148951158434,0.1770504104035013,247,797313500
pickles_5,0.3668906552032668,1.2662186895934666,0.677580824991131,0.275350015637127,2.5801169399118002,0.17772515682453685,247,466721400
