strawberry_query (5477900),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.8869265256150132,0.2261469487699735,0.11698857375122236,0.008601130465181924,0.3749604606386106,0.19517891325108022,247,5523100
airplane_2,0.8217950571623093,0.3564098856753815,0.19229059662918083,0.022125596527713016,0.6203262965023206,0.17077715351232917,247,6591000
airplane_3,0.884008540548075,0.23198291890385,0.10839070388320587,0.009503472056714013,0.3410469971032579,0.2028408154534074,247,5584800
airplane_4,0.8582972698238527,0.2834054603522947,0.1396241538230487,0.013376599346382577,0.4524736177769645,0.19044938490321534,247,5971600
airplane_5,0.9399758659394175,0.12004826812116515,0.04888372281884506,0.0034265943180906973,0.11878583800415951,0.2317562269820949,247,4963400
ball_1,0.7659327046603799,0.4681345906792402,0.25177529489933526,0.037261709511236654,0.978702200355337,0.15230321935219354,247,5996100
ball_2,0.7355823424900916,0.5288353150198168,0.239238506957515,0.04763073794139875,0.8730607626076259,0.2969547331784429,247,4998500
ball_3,0.8242533151358911,0.3514933697282179,0.19237658794280948,0.01924312763423435,0.5770725707257072,0.1711774160755306,247,6999800
ball_4,0.7892365723657236,0.42152685526855266,0.22716345824771353,0.02807816539777939,0.7945688670220035,0.15796975773313288,247,6000200
ball_5,0.9026383522658756,0.1947232954682488,0.08952777259348986,0.007153471048410988,0.27773788679063266,0.255410570066485,247,7000300
car_1,0.7727174530628556,0.454565093874289,0.23709574113767803,0.03411259860801588,0.7652603942283078,0.1606883594216653,247,4999700
car_2,0.7337151366437522,0.5325697267124956,0.2858652806162601,0.04933521133918918,0.9295751150404905,0.14109206090538062,247,6012100
car_3,0.7271675376652245,0.5456649246695513,0.3015020774214129,0.05524321019193066,0.9110641167325381,0.13782515385559946,247,5007000
car_4,0.744501095772379,0.510997808455242,0.2766080419740572,0.04376690596895592,1.0753466824008342,0.1429305053456626,247,5999100
car_5,0.7303048182766092,0.5393903634467816,0.292472452837635,0.05030109014100056,1.0488830614194466,0.13763599440562935,247,8522600
cat_1,0.6851996022087881,0.6296007955824239,0.32127626871420817,0.06471912546292395,0.9473781895265762,0.12956748231312099,247,7513700
cat_2,0.7219936488338268,0.5560127023323465,0.29912300290776905,0.05299942341469621,1.0751841043125259,0.1346945923109421,247,6996700
cat_3,0.7217313254213624,0.5565373491572754,0.2865109089684168,0.049494203157236016,0.9223323138636793,0.13961172260821708,247,5999700
cat_4,0.7769108015687487,0.44617839686250266,0.23962147930595087,0.030681388592530185,0.974803809818203,0.15487704427829618,247,4996100
cat_5,0.6733729670630041,0.6532540658739922,0.31900444949703793,0.06534777716433914,0.9250664479978132,0.13055656343674552,247,5002100
dolphin_1,0.7333944216537138,0.5332111566925726,0.29157801919134396,0.05199669782662989,0.9655828128113685,0.13802615184811068,247,5000000
dolphin_2,0.7280917127921279,0.5438165744157442,0.2763001802564012,0.049770542331412426,0.8452300891758919,0.14862403674661748,247,4001400
dolphin_3,0.9395125846780856,0.12097483064382882,0.05109478696400009,0.0038299378541301102,0.10742896831954085,0.23302328843686446,247,9524100
dolphin_4,0.8630083874114604,0.2739832251770794,0.15824852388485944,0.015574197841033739,0.5331932603808798,0.1844469124217104,247,9520200
dolphin_5,0.8845063321877854,0.2309873356244292,0.11681213772781648,0.007801185386984506,0.39122642256465484,0.19497273085606392,247,5520000
face_1,0.7570216252379365,0.485956749524127,0.2605908452628732,0.03676852479955292,0.9891585597482231,0.14854880308251994,247,12060000
face_2,0.7524954181276562,0.4950091637446877,0.27143541141050026,0.04106413949675546,0.954159003379367,0.1468040261860319,247,7184700
face_3,0.7839892452307681,0.43202150953846385,0.24076918856300092,0.030825641502879208,0.8719015221915197,0.15879357954262846,247,7163800
face_4,0.7612177965025898,0.4775644069948204,0.2580944607625737,0.03680159449092521,0.8912187012920713,0.14921028029253797,247,8007700
face_5,0.7482255833547348,0.5035488332905307,0.2740834771472739,0.04125397768888727,1.042750226403363,0.14626147177955298,247,8517000
lotus_1,0.7790512254467523,0.44189754910649537,0.24218926548271666,0.03100533796932611,1.043884797799943,0.15721761567397335,247,7523400
lotus_2,0.8572649170369255,0.28547016592614904,0.1578052851633773,0.013251342105108041,0.5409501217461156,0.18228391863510474,247,6997000
lotus_3,0.7753772709858247,0.4492454580283507,0.24429621054319367,0.02899521632658878,1.085796281733309,0.30747758773079537,247,8515300
lotus_4,0.7732702155706817,0.4534595688586368,0.24340963271940935,0.03153030684338763,0.9905785468213246,0.153949293110461,247,10115500
lotus_5,0.7617932240546895,0.476413551890621,0.2313172856759581,0.031898139852458665,0.6841950950121746,0.161031479529081,247,14089200
pickles_1,0.5672154991195872,0.8655690017608257,0.4662207591848804,0.14057168921284613,1.9413691891088576,0.37897143995701144,247,924078300
pickles_2,0.5533200387453875,0.893359922509225,0.48064022821779906,0.15282433440833262,1.9869276792742927,0.3838622702542025,247,1060904300
pickles_3,0.6308095173179795,0.738380965364041,0.4024094991365764,0.10943746010164611,1.7023111481566,0.3566839800048722,247,686826200
pickles_4,0.6173715699955987,0.7652568600088026,0.4144582106671246,0.1093852615870474,1.755854158210505,0.36161002872755876,247,797313500
pickles_5,0.6059948235782838,0.7880103528434323,0.42633718525614134,0.11651647459551226,1.792822146963871,0.3654681231940115,247,466721400
