face_cropped_query (10632100),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.9295781274616873,0.14084374507662528,0.0586416159904813,0.003693018718891909,0.12390696708678929,0.1277330508022797,247,9772600
airplane_cropped_2,0.9048288366182513,0.19034232676349727,0.07864188197034112,0.00634153477574937,0.16773158938870847,0.12525684202332443,247,101731600
airplane_cropped_3,0.8830996893443372,0.23380062131132545,0.08988585916215928,0.008653176680805995,0.19523017500433223,0.12751600920178796,247,9590400
airplane_cropped_4,0.897302857980222,0.20539428403955606,0.08725929238239175,0.00825086678152326,0.19620597435986056,0.12612292902966493,247,9306300
airplane_cropped_5,0.9198411623911598,0.1603176752176806,0.06482456475806454,0.0047085132567228315,0.1555662594989693,0.12799552473912798,247,10264200
ball_cropped_1,0.7636617009037253,0.4726765981925492,0.18679637960789408,0.03953778341892539,0.3662846413581202,0.12572024670759657,247,9546200
ball_cropped_2,0.6548584341789293,0.6902831316421414,0.30004489998347855,0.0739090873890218,0.9297721491178599,0.13384054327507688,247,11164900
ball_cropped_3,0.8881638250645909,0.22367234987081824,0.11322354722209138,0.009740194370266195,0.43809160653264684,0.1332408503060803,247,12521600
ball_cropped_4,0.8567468523812778,0.28650629523744436,0.12130084376752363,0.012618995497908432,0.301457848063719,0.13302059501660657,247,10547500
ball_cropped_5,0.7491880122260078,0.5016239755479842,0.2663138901364599,0.04839794775266148,0.7944998603045095,0.13836984241081407,247,11745100
car_cropped_1,0.9246720184838639,0.15065596303227202,0.0682055413214547,0.0050763232582948185,0.11776417356148743,0.12991319053201572,247,8245800
car_cropped_2,0.9515251559308937,0.09694968813821268,0.044091335889860146,0.002054719061389152,0.07354254931664425,0.12823819777137946,247,8473100
car_cropped_3,0.9315226887301505,0.13695462253969887,0.06308679811984268,0.004337999684135017,0.11950867610173657,0.1280662516769359,247,124771900
car_cropped_4,0.9679586553409593,0.06408268931808153,0.03037102152710704,0.001019431798313339,0.10275510728790449,0.12866765230144794,247,9555100
car_cropped_5,0.9577805541928534,0.08443889161429335,0.032157341704752165,0.0011181424471318046,0.06048770127887486,0.12880469538735628,247,8510200
cat_cropped_1,0.927556189815893,0.14488762036821362,0.05695162323298243,0.0033386705924964353,0.15381616292179678,0.12607422376923422,247,11687200
cat_cropped_2,0.9610637774925768,0.07787244501484654,0.03258349391598693,0.0011783103300709373,0.09046280812828524,0.12761600523941505,247,12961100
cat_cropped_3,0.916860686478458,0.166278627043084,0.06986470629744677,0.0050754622502208625,0.1923869738470127,0.1256168603532284,247,11555800
cat_cropped_4,0.9228034034301972,0.15439319313960562,0.06384464491189402,0.003540878434621313,0.12417671075923765,0.13052375997206328,247,10595300
cat_cropped_5,0.9031002022839179,0.19379959543216443,0.08749019586712192,0.00835421711031112,0.2283867070215783,0.125543146627786,247,12049700
dolphin_cropped_1,0.9013846310767086,0.19723073784658277,0.07863274273720144,0.0065378725453900995,0.161882318163874,0.1259224781487185,247,10051600
dolphin_cropped_2,0.837526088387966,0.32494782322406784,0.11906857496816947,0.014937022351461174,0.29338863363588524,0.1267803711569217,247,9840200
dolphin_cropped_3,0.8405625200632201,0.31887495987355996,0.168467172341852,0.019589196762672262,0.6095869931532871,0.13325257884895753,247,9625400
dolphin_cropped_4,0.8931370862375992,0.2137258275248016,0.09006349395615224,0.008817455011660475,0.1388847570194387,0.1276610905576883,247,9544700
dolphin_cropped_5,0.8668735561290197,0.2662528877419604,0.12811749063460157,0.011573606015684018,0.43334250641550126,0.13258013865447915,247,11395300
face_cropped_1,0.9849857381983835,0.030028523603232965,0.01303921360972926,0.000167433151944905,0.028593676413042737,0.12954767468100775,247,12579900
face_cropped_2,0.9772299302573978,0.04554013948520429,0.017289532311780362,0.00030375397717030174,0.03088732557054341,0.12974365509768376,247,19194800
