lotus_query (5477900),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.787783538581572,0.42443292283685613,0.23076966329297202,0.02694221972876631,0.9183502798720811,0.22038160602880488,247,5523100
airplane_2,0.7190854576661271,0.5618290846677458,0.30573968439392085,0.0487425430251843,1.1765879249478264,0.18751346131341304,247,6591000
airplane_3,0.8040886265865437,0.39182274682691265,0.21206492168582228,0.024370091975787874,0.8230446104960565,0.23121617062447672,247,5584800
airplane_4,0.7757340256943269,0.4485319486113462,0.24782188215615394,0.03220378561421607,0.9620416304713123,0.2144758427626351,247,5971600
airplane_5,0.8776632241274234,0.24467355174515326,0.12282904193870774,0.009475667369573271,0.4982296783120028,0.2703943977203472,247,4963400
ball_1,0.662797237915882,0.6744055241682361,0.37066837646021666,0.07593904955665748,1.5654375392341495,0.1602879445909186,247,5996100
ball_2,0.8116735718769617,0.3766528562460766,0.14872738687258866,0.03570031074848846,0.3372451977401129,0.3594991953128269,247,4998500
ball_3,0.7128510177230865,0.5742979645538271,0.3136406151530626,0.05034147244174442,1.1638079096045197,0.1854834224647215,247,6999800
ball_4,0.677834274952919,0.6443314500941619,0.346643895281195,0.0620490870447405,1.381304205900816,0.16867722937853108,247,6000200
ball_5,0.8883159410656919,0.22336811786861635,0.08541262535675741,0.0114638242269126,0.30899745208817986,0.3007573711458218,247,7000300
car_1,0.6875996443832632,0.6248007112334739,0.345949206756779,0.06262841465593505,1.309882359689122,0.17394197615838325,247,4999700
car_2,0.6321850927758181,0.7356298144483638,0.39807959457482667,0.085366596694944,1.496565946829562,0.14770470675958589,247,6012100
car_3,0.621288307665835,0.75742338466833,0.4109948820342262,0.09085205874320108,1.48712432246408,0.14380535700287744,247,5007000
car_4,0.6330987983595744,0.7338024032808512,0.3964466545026146,0.08556866832231137,1.6620820212796468,0.14758838318659362,247,5999100
car_5,0.6189025208638046,0.7621949582723909,0.40990256422301974,0.09218620092589372,1.6356184002982594,0.14138285449348514,247,8522600
cat_1,0.5981557879552831,0.8036884240894338,0.43335198457387886,0.105612466811816,1.4853965620867893,0.13226657979725126,247,7513700
cat_2,0.6105913514210222,0.7788172971579558,0.4187390845118944,0.0982165340316019,1.6619194431913382,0.1367475156280209,247,6996700
cat_3,0.6281315722502163,0.7437368554995674,0.39987909377353054,0.08661630558443767,1.4734625642591743,0.14569117660032915,247,5999700
cat_4,0.6655085041559441,0.6689829916881119,0.3629824906995756,0.06955259428869123,1.5615391486970154,0.16269497500517643,247,4996100
cat_5,0.602886126804771,0.7942277463904581,0.42982890382903005,0.10471815362645044,1.4299708725674827,0.13404888788449468,247,5002100
dolphin_1,0.6244252122589402,0.7511495754821198,0.40464535067994345,0.0895457652588154,1.5523181516901807,0.14365294090416522,247,5000000
dolphin_2,0.6540031779661017,0.6919936440677965,0.38127742094828965,0.08110490631798718,1.3183704096045197,0.15909554402071563,247,4001400
dolphin_3,0.8752897658599658,0.24942046828006853,0.12033246711921185,0.00952057264389109,0.5086337802512859,0.2720755240745425,247,9524100
dolphin_4,0.7434837814143777,0.5130324371712448,0.27391932712373956,0.040967436318970527,1.1199285992596921,0.20443915952334568,247,9520200
dolphin_5,0.7850808176329381,0.42983836473412373,0.23363887532271077,0.02714779033872458,0.9540081957275528,0.21948855491703242,247,5520000
face_1,0.645619327825132,0.7087613443497361,0.3826850167242091,0.07722676193142801,1.5758938986270354,0.15426553471905308,247,12060000
face_2,0.6410931207148516,0.717813758570297,0.3882945912058716,0.07854795007922334,1.5408943422581793,0.15324312102168605,247,7184700
face_3,0.6725869478179635,0.6548261043640731,0.3592880033465809,0.06591897045033775,1.4586368610703322,0.16822139428061295,247,7163800
face_4,0.6498154990897852,0.7003690018204296,0.37626777595280864,0.07323483466553907,1.477954040170884,0.1567147843521912,247,8007700
face_5,0.6368232859419302,0.7263534281161399,0.394212801226708,0.08199281551608953,1.6294855652821754,0.15110733000834697,247,8517000
lotus_1,0.6676489280339477,0.6647021439321047,0.3646460753734718,0.06874060975016151,1.6306201366787556,0.16504890402059227,247,7523400
lotus_2,0.7458626196241209,0.5082747607517584,0.2753898590265155,0.03683157687632971,1.1276854606249282,0.20180223375225798,247,6997000
lotus_3,0.8867795683986293,0.22644086320274148,0.12320642452111302,0.007703049435175485,0.49906094285449665,0.374714843783767,247,8515300
lotus_4,0.661867918157877,0.676264163684246,0.3676648403359498,0.07184348081823093,1.5773138857001374,0.160971548682858,247,10115500
lotus_5,0.6872288327760483,0.6255423344479034,0.3406309950332682,0.058666279133149715,1.1972546216226605,0.1747574337983781,247,14089200
pickles_1,0.6786177965323918,0.6427644069352164,0.3454715875758621,0.08348250581805729,1.3546338502300452,0.4729638775251091,247,924078300
pickles_2,0.6647223361581921,0.6705553276836158,0.36018498301989704,0.09333679031976667,1.4001923403954804,0.4794900220800376,247,1060904300
pickles_3,0.7356038660309918,0.5287922679380161,0.281443928483569,0.0609614306475461,1.1155758092777877,0.44303218839414304,247,686826200
pickles_4,0.7287738674084033,0.5424522651831933,0.29364534002342424,0.0613142181118003,1.1691188193316924,0.4493708883952478,247,797313500
pickles_5,0.7173971209910884,0.5652057580178231,0.3054936212320312,0.06653514446251435,1.2060868080850586,0.4546734929850742,247,466721400
