strawberry_cropped_query (10632100),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.8055765162072761,0.3888469675854478,0.21283930367833512,0.028207388583206833,0.7695024368343202,0.14002286785349546,247,9772600
airplane_cropped_2,0.7720540423906483,0.4558919152187034,0.24948506853754643,0.041680047491436785,0.774699249804439,0.13044839719501838,247,101731600
airplane_cropped_3,0.813277713963505,0.37344457207298987,0.20982405217163574,0.028676434190101352,0.7794959088504584,0.1427633586889526,247,9590400
airplane_cropped_4,0.7916241695249142,0.4167516609501716,0.23158188366590263,0.03549242902794565,0.808879626254946,0.13633561874544647,247,9306300
airplane_cropped_5,0.804831448645243,0.3903371027095137,0.21429162010620742,0.028496393792003725,0.8229571686289414,0.14035686969666022,247,10264200
ball_cropped_1,0.7420838370613523,0.5158323258772953,0.2451947927709462,0.047665276631780794,0.9099231880501308,0.1463271293072787,247,9546200
ball_cropped_2,0.8088507409582051,0.3822985180835898,0.15022833312327252,0.030251499878437015,0.31768326913154954,0.20079042032499375,247,11164900
ball_cropped_3,0.8777831652335577,0.24443366953288465,0.12749788929551498,0.010154445932692832,0.2985981860926742,0.1647434623248187,247,12521600
ball_cropped_4,0.8531975087271264,0.293604982545747,0.16346228052770448,0.014778234536160664,0.7975078258124654,0.16023826587167173,247,10547500
ball_cropped_5,0.9154823903459426,0.16903521930811477,0.07192135772815476,0.007415175575702039,0.14319118062642577,0.20446572768525823,247,11745100
car_cropped_1,0.8227727032074859,0.3544545935850284,0.1972004621336588,0.023510726099474265,0.7660852844276758,0.14601585941599526,247,8245800
car_cropped_2,0.7991584717128196,0.40168305657436093,0.21894612071987687,0.029856170302425798,0.7093673465956074,0.13846220091588177,247,8473100
car_cropped_3,0.7972954043043998,0.4054091913912004,0.22219633810422812,0.03128373520679624,0.7569371538636906,0.1385912994753461,247,124771900
car_cropped_4,0.7957820960492809,0.4084358079014383,0.21973418234026498,0.029334168466559094,0.8061830881602561,0.13820797841474305,247,9555100
car_cropped_5,0.7897776122196847,0.42044477556063087,0.22594556685117617,0.03138344513725804,0.7523199514868353,0.13701672519363228,247,8510200
cat_cropped_1,0.754571859981471,0.4908562800370581,0.25131964033702964,0.041903726002765256,0.7795582468259814,0.12933586873747055,247,11687200
cat_cropped_2,0.7852831994909638,0.4294336010180726,0.23220459795932138,0.03392754764797086,0.7616860311400331,0.13440804170394413,247,12961100
cat_cropped_3,0.7347731437505401,0.5304537124989197,0.2578202172946492,0.04540430937513275,0.7766577802916409,0.1280424488066801,247,11555800
cat_cropped_4,0.8310796136883093,0.33784077262338136,0.182139528606821,0.01872861998174985,0.7349771262814739,0.14919510745683628,247,10595300
cat_cropped_5,0.7061923583662714,0.5876152832674573,0.2718347708758366,0.0526905946563204,0.7291154791154791,0.12564402456902793,247,12049700
dolphin_cropped_1,0.7746898975694414,0.4506202048611172,0.24059041270201467,0.03886637942416761,0.7112395603664314,0.1332928410052106,247,10051600
dolphin_cropped_2,0.7828854816303319,0.43422903673933605,0.20779082334678095,0.03182609481206094,0.6215325328479204,0.14550120287919796,247,9840200
dolphin_cropped_3,0.9029105486214769,0.19417890275704613,0.08667843145321161,0.0064894694865636395,0.25054247175281247,0.1769072797711601,247,9625400
dolphin_cropped_4,0.8078004989411638,0.3843990021176722,0.21863477175515547,0.030547156567642418,0.7645519492987524,0.1410369074026363,247,9544700
dolphin_cropped_5,0.8847662936917868,0.23046741261642623,0.11191687604993146,0.008293986057338502,0.3320012260349361,0.16774517286871243,247,11395300
face_cropped_1,0.801146291424824,0.39770741715035196,0.21364626762809402,0.027220178115567175,0.7070725783837196,0.14003100347444777,247,12579900
face_cropped_2,0.7999829669346035,0.40003406613079306,0.2168800174335398,0.028375981976273137,0.6868658706225876,0.13959533016384507,247,19194800
face_cropped_3,0.8040325643230628,0.39193487135387445,0.21448523921061272,0.027469165416331518,0.7181153748976941,0.14124988597643048,247,10506900
face_cropped_4,0.8142540791688047,0.37149184166239074,0.19975112109852325,0.023366156297268015,0.6623531542828045,0.14379292977028088,247,12549900
face_cropped_5,0.7778226265546913,0.44435474689061755,0.23515556482442665,0.03432930844298307,0.7517757484942886,0.1356219940851422,247,13526200
lotus_cropped_1,0.8583152134747629,0.2833695730504743,0.16207528448564343,0.014066996092578245,0.7032453266188654,0.15871164086532935,247,10059500
lotus_cropped_2,0.8231959326726315,0.35360813465473706,0.1924050200316521,0.0217873666099593,0.6954765331490141,0.14648001842683625,247,9522400
lotus_cropped_3,0.9374154390546934,0.1251691218906133,0.057092001183705506,0.0039221650326047176,0.28711615749198655,0.19537605921368606,247,11583000
lotus_cropped_4,0.8300811744849149,0.33983765103017005,0.18577600280342338,0.01923014754395778,0.7460662813501915,0.15030584444074888,247,9586000
lotus_cropped_5,0.8018310306353784,0.39633793872924317,0.1855256274801774,0.02242529388244588,0.5049439459222067,0.15001198372060526,247,14091000
pickles_cropped_1,0.7913462469702756,0.417307506059449,0.2271382161043614,0.02582104867678463,0.9252193756247397,0.25190647768586355,247,308355900
pickles_cropped_2,0.8541264683067751,0.29174706338644996,0.1629682360484166,0.014361839287871415,0.6996805807130979,0.23459337171177191,247,174202200
pickles_cropped_3,0.8470734780897751,0.3058530438204498,0.16975847031134647,0.016080263037052404,0.6885747387127334,0.23611494346028977,247,369927000
pickles_cropped_4,0.8673188556408694,0.2653622887182613,0.14774099667900784,0.012364120871045797,0.6321286542173967,0.23015143913584024,247,267971400
pickles_cropped_5,0.8328324338080318,0.3343351323839364,0.18098551109620395,0.017902532246708444,0.7136222299193153,0.24004781324126248,247,275159500
