ball_cropped_query (10632100),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.9201087205299965,0.15978255894000717,0.07900540506338723,0.005259952766715417,0.21868093318015286,0.13411002324271204,247,9772600
airplane_cropped_2,0.8539172592271541,0.2921654815456918,0.1276471845907046,0.014382981862084313,0.2963051755467798,0.12798069284833605,247,101731600
airplane_cropped_3,0.9218891763302746,0.1562216473394511,0.07892859698734962,0.005451956070100656,0.2752515733458547,0.13621936122131176,247,9590400
airplane_cropped_4,0.8911318937947104,0.2177362124105795,0.10075745628516375,0.008674267788801891,0.3192788358578941,0.1326324684767342,247,9306300
airplane_cropped_5,0.928454886871388,0.1430902262572239,0.0789839968349433,0.005057884919032656,0.24530167970531427,0.13475588085121287,247,10264200
ball_cropped_1,0.831196358524412,0.337607282951176,0.15759916102866894,0.02601402770615529,0.3991939223682854,0.1385264225384944,247,9546200
ball_cropped_2,0.7507524662448626,0.4984950675102747,0.22283359652423498,0.04215199003002975,0.808932220043846,0.16180508830022172,247,11164900
ball_cropped_3,0.9241693319456157,0.1516613361087687,0.07158678619544684,0.005155984694484382,0.3172516774586332,0.14486678204202036,247,12521600
ball_cropped_4,0.915282620361553,0.16943475927689422,0.08019138405847986,0.005566542242943633,0.21457139231712846,0.14494069321941563,247,10547500
ball_cropped_5,0.8349837602116943,0.33003247957661136,0.18090000407360235,0.020197294462112398,0.673659931230496,0.1652474606057664,247,11745100
car_cropped_1,0.9440967518596102,0.11180649628077954,0.055223752870180755,0.0021674147787451624,0.1977724582698431,0.13849283691701844,247,8245800
car_cropped_2,0.9000466534125969,0.19990669317480636,0.09065282000103264,0.007018384744028928,0.19366054155138526,0.13287973372664566,247,8473100
car_cropped_3,0.9093759498641327,0.18124810027173457,0.08575964798872496,0.0059164240831412526,0.2192358167755301,0.13415734500592758,247,124771900
car_cropped_4,0.9080148361712823,0.1839703276574352,0.08629371405912084,0.006012557491127963,0.2277539641940865,0.13318402912474905,247,9555100
car_cropped_5,0.8847703877620797,0.2304592244758406,0.09758243928781134,0.007769025699228059,0.1982721457081671,0.13233905636349447,247,8510200
cat_cropped_1,0.8624224287094249,0.2751551425811505,0.12345487941126816,0.01314337511684425,0.28196345614563767,0.1278538937305044,247,11687200
cat_cropped_2,0.8929683093538373,0.21406338129232577,0.10202156358489885,0.008754650058460508,0.21903639428636001,0.13072112745120765,247,12961100
cat_cropped_3,0.8473365008313103,0.30532699833737953,0.1332102384785531,0.015815061939820716,0.30135366696357613,0.12696339502054593,247,11555800
cat_cropped_4,0.9259354805654689,0.14812903886906215,0.05965663885950302,0.003167789387511241,0.14859412907860603,0.13856085192607942,247,10595300
cat_cropped_5,0.8119429865045822,0.37611402699083585,0.15627841707558648,0.022926220016894996,0.3400812545902922,0.12493742188445399,247,12049700
dolphin_cropped_1,0.8658162048497158,0.26836759030056834,0.1191693046083515,0.012824492429332675,0.2986573694208618,0.12969185057554666,247,10051600
dolphin_cropped_2,0.8807610384747367,0.23847792305052656,0.11319229213814883,0.013346013281829877,0.3011854242745034,0.13524126632171274,247,9840200
dolphin_cropped_3,0.9004331986258121,0.199133602748376,0.09513745712513581,0.0063491437011582285,0.4887470640792736,0.15069608494532838,247,9625400
dolphin_cropped_4,0.8755968832063369,0.24880623358732618,0.1108278355093968,0.011454474323931447,0.21394910857709143,0.1333538823596941,247,9544700
dolphin_cropped_5,0.9408609467881421,0.11827810642371585,0.056717440513099536,0.002557797877118635,0.3125025773414876,0.14695723022061405,247,11395300
face_cropped_1,0.9004969901129336,0.1990060197741329,0.08921867842845578,0.006865201704053384,0.1532431734936215,0.13343117882858752,247,12579900
face_cropped_2,0.8879267295191355,0.22414654096172892,0.09534663695028371,0.007977839143765384,0.16557248841247296,0.133126108364659,247,19194800
