dolphin_cropped_query (10632100),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.9071271107721066,0.18574577845578666,0.07387677199203362,0.005510353511392574,0.18963707522279843,0.12627564277449996,247,9772600
airplane_cropped_2,0.9184958702302619,0.16300825953947629,0.07030694505291372,0.005074213675511829,0.11317180297372231,0.12542964269112045,247,101731600
airplane_cropped_3,0.8783866053336095,0.24322678933278113,0.09148010170634134,0.008909998710393004,0.2275284848664201,0.1269234996655606,247,9590400
airplane_cropped_4,0.8980133696233157,0.20397326075336877,0.07859090396013733,0.006684808738600151,0.17164229752159102,0.12639381711978123,247,9306300
airplane_cropped_5,0.8975163162993289,0.20496736740134208,0.0824771884295834,0.007185288019893102,0.23644022956213523,0.12624745466075393,247,10264200
ball_cropped_1,0.7463702755667551,0.5072594488664898,0.19703794138942846,0.04499106327581279,0.43730672372845647,0.12330677638062706,247,9546200
ball_cropped_2,0.6789556170458855,0.6420887659082293,0.31068419350631155,0.0799830150020286,0.8836830308994946,0.13014374136000528,247,11164900
ball_cropped_3,0.8323253644977289,0.33534927100454237,0.14516704071996223,0.017957455862537424,0.43167204457710573,0.1286659624023755,247,12521600
ball_cropped_4,0.8050715749029712,0.38985685019405764,0.16946065717944078,0.026064159127530316,0.4691135964199814,0.12557114632933336,247,10547500
ball_cropped_5,0.7251076803321225,0.549784639335755,0.28776810159966615,0.06026007940383995,0.7925114981124781,0.1319782074306976,247,11745100
car_cropped_1,0.9105225955297691,0.1789548089404617,0.08102914307992286,0.006955606995048005,0.24299650911021065,0.12850838858057295,247,8245800
car_cropped_2,0.9478919092889682,0.10421618142206378,0.04665731135649196,0.0022115814524744175,0.12801716954336695,0.12767382949936157,247,8473100
car_cropped_3,0.9430455547409983,0.11390889051800344,0.05097213437244325,0.0028362189800301835,0.13239219484210324,0.12830920561341577,247,124771900
car_cropped_4,0.9308679923802197,0.1382640152395609,0.062057433695649776,0.003926384242793037,0.20809655106081132,0.12675535036651714,247,9555100
car_cropped_5,0.93618279143928,0.12763441712144022,0.05378532343662786,0.003164075402949712,0.17639831130025027,0.12742737332073723,247,8510200
cat_cropped_1,0.9459228942753823,0.10815421144923522,0.04255596830645628,0.0019704730707224465,0.08723526894712005,0.12634252337363414,247,11687200
cat_cropped_2,0.9206649898742997,0.15867002025140076,0.06221722671371564,0.004068548374701615,0.15932054186611166,0.12576341675654287,247,12961100
cat_cropped_3,0.9650564928007914,0.06988701439841714,0.03291816842242915,0.0011803782938297478,0.057563055395659285,0.12706765716931312,247,11555800
cat_cropped_4,0.8764238745057159,0.24715225098856813,0.10832656037404195,0.010864666201622162,0.2952576886860463,0.12624656860200495,247,10595300
cat_cropped_5,0.9288947816145121,0.14221043677097575,0.05588396504982411,0.0034580189574235937,0.11846858086331613,0.12736096616858888,247,12049700
dolphin_cropped_1,0.936223923977646,0.12755215204470796,0.05330786322471662,0.0029606116322921814,0.06610427130396303,0.12714522925232757,247,10051600
dolphin_cropped_2,0.8832018987607688,0.23359620247846236,0.09666127569333928,0.009368268822967152,0.24729951541752693,0.1287493939492793,247,9840200
dolphin_cropped_3,0.8370863942386684,0.3258272115226631,0.17711960908540794,0.02131721122634359,0.5675008736294558,0.13130955609531747,247,9625400
dolphin_cropped_4,0.8603318986131038,0.27933620277379245,0.11438603084104458,0.0140441504612697,0.24908624262713217,0.12472678613291323,247,9544700
dolphin_cropped_5,0.8627440914644094,0.27451181707118105,0.1432343658258206,0.015054734375911327,0.410477271996046,0.13008120371018445,247,11395300
face_cropped_1,0.913266080822573,0.17346783835485416,0.07065234925644592,0.005102928831924093,0.20611218216962265,0.12668886912827462,247,12579900
face_cropped_2,0.9186067929196586,0.16278641416068268,0.06386800387262728,0.004271209253903429,0.1942172953344427,0.12740561923134103,247,19194800
face_cropped_3,0.906531012187329,0.186937975625342,0.06875933321639643,0.004932358536691717,0.2149963537270324,0.12821930098971232,247,10506900
face_cropped_4,0.902961842280162,0.19407631543967604,0.07704855546383803,0.005879656161799507,0.22999095166065295,0.1271063240566539,247,12549900
face_cropped_5,0.9257577231351033,0.14848455372979366,0.057485154263455934,0.0034567732874652415,0.1679402664143632,0.12795017148458976,247,13526200
lotus_cropped_1,0.8174143212143946,0.36517135757121083,0.15396257856477336,0.020873055285487368,0.40552359250054937,0.12632498103257012,247,10059500
lotus_cropped_2,0.8943319909728555,0.21133601805428887,0.08890298935662332,0.007397204337804137,0.2232526959805614,0.1273693725811012,247,9522400
lotus_cropped_3,0.7720327428025557,0.45593451439488836,0.24699248106471725,0.037463006498053036,0.9482499655505029,0.13283454370786046,247,11583000
lotus_cropped_4,0.8641782373098403,0.27164352538031944,0.12009874012323452,0.013706303478714661,0.33626423357087254,0.1266817314058102,247,9586000
lotus_cropped_5,0.9216819015115285,0.15663619697694306,0.07757292377702805,0.005192886578067556,0.24814953697666017,0.1305444627407504,247,14091000
pickles_cropped_1,0.5725499022959444,0.8549001954081112,0.4593670031281905,0.11996570691914987,1.5863531836832563,0.13852471955775852,247,308355900
pickles_cropped_2,0.635330123632444,0.7293397527351122,0.39338866659437793,0.09024736326657512,1.3608143887716144,0.1368267522355335,247,174202200
pickles_cropped_3,0.6299615668137396,0.740076866372521,0.39838851944365,0.09240669084280483,1.3497085467712497,0.13749858541510884,247,369927000
pickles_cropped_4,0.6509062868528444,0.6981874262943113,0.37585063001299124,0.08231605017215887,1.2932624622759132,0.136764671190959,247,267971400
pickles_cropped_5,0.6177059837762884,0.7645880324474235,0.41252306134123645,0.10033673938540062,1.3747560379778316,0.13766943183131344,247,275159500
