cat_query (5477900),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.8319838730478466,0.3360322539043068,0.1810946092824012,0.020603588707619924,0.6616670692604625,0.13328723293189954,247,5523100
airplane_2,0.8877952143819736,0.2244095712360527,0.11282178203913047,0.009371289377913896,0.4034294241847171,0.1305633982793093,247,6591000
airplane_3,0.79455996381953,0.41088007236094015,0.20961539751112185,0.02853266399400211,0.7569727386364868,0.1344085656029025,247,5584800
airplane_4,0.8250091533821868,0.34998169323562645,0.17331971501142338,0.020272680743726467,0.6179757186612586,0.13283976050501556,247,5971600
airplane_5,0.7267303508002443,0.5465392983995114,0.2932365613356162,0.04976536431745505,1.0817876708205405,0.13761998095066091,247,4963400
ball_1,0.8932748607014094,0.21345027859718124,0.08099026332729878,0.006591575487943255,0.12948548017043593,0.12838169277832406,247,5996100
ball_2,0.5321109144542773,0.9357781710914453,0.5098690574872605,0.16537391150040745,1.8663427728613569,0.14325182213481918,247,4998500
ball_3,0.8756455327918535,0.24870893441629285,0.1155509007516993,0.011018132245421891,0.41620943952803746,0.13066857177974434,247,6999800
ball_4,0.9366610291707637,0.12667794165847263,0.06514800049621308,0.003257902485048327,0.2092573582432128,0.12931203037255545,247,6000200
ball_5,0.6612664700098329,0.6774670599803343,0.36668676619167523,0.08061057184453224,1.2710198970443636,0.13985137409142614,247,7000300
car_1,0.8703627420151835,0.259274515969633,0.10912507250172275,0.011226258484095194,0.27013498944342124,0.1305041991724441,247,4999700
car_2,0.9335268706107842,0.13294625877843164,0.05833723777147856,0.0034349203533070526,0.10339689741401946,0.12791270882310368,247,6012100
car_3,0.9218855846547774,0.1562288306904452,0.07094200606240898,0.004811731406742751,0.1413215189494333,0.12842330633045335,247,5007000
car_4,0.9442695745923364,0.11146085081532724,0.042176598723452245,0.0018867846680601544,0.10872744560741848,0.12795986229030343,247,5999100
car_5,0.9695876196037914,0.06082476079241725,0.027615339814504817,0.000845510333495748,0.056818726322573954,0.12768754398574486,247,8522600
cat_1,0.9215072491056298,0.15698550178874038,0.06142032698019805,0.0038414770130400736,0.15251798154774493,0.12695325969162535,247,7513700
cat_2,0.9622066691342239,0.07558666173155218,0.02976210320230839,0.0009012533424152542,0.08312869432573994,0.12665177159392982,247,6996700
cat_3,0.9597662706954742,0.08046745860905156,0.03659100534439409,0.001474184424224635,0.10655478487337243,0.12764930749333403,247,5999700
cat_4,0.919156743733494,0.16168651253301208,0.06907146800374155,0.00420125082576951,0.18051823194180605,0.12886362234680587,247,4996100
cat_5,0.9215155686660111,0.15696886266797772,0.06844689099333538,0.0055043315660106285,0.18380904621436978,0.12675877963509233,247,5002100
dolphin_1,0.9449485835764078,0.1101028328471845,0.04589038358530359,0.002273303989308612,0.08631194278274916,0.1271448440753009,247,5000000
dolphin_2,0.8644343657817108,0.2711312684365782,0.10389456654276287,0.011691142422546028,0.26164693952802354,0.12906067631514256,247,4001400
dolphin_3,0.7237175479534481,0.5525649040931038,0.29651954286964544,0.05138027883640558,1.0713835688812576,0.13802949265472053,247,9524100
dolphin_4,0.8447936374732987,0.31041272505340245,0.15694108696751471,0.019019874662283578,0.4677840504526498,0.1323157429305259,247,9520200
dolphin_5,0.8346865939964805,0.3306268120070392,0.17933028735841813,0.02069211290396122,0.6260091534049907,0.1333783778765282,247,5520000
face_1,0.9248282271494783,0.15034354570104336,0.055471561517052737,0.00315166901203563,0.1548765153685422,0.12862683557357873,247,12060000
face_2,0.9292923014612905,0.14141539707741896,0.06394512004184537,0.004022003788771444,0.12899032090165852,0.12926091352346217,247,7184700
face_3,0.881601589211878,0.236796821576244,0.09802976253275962,0.009511242626246624,0.23863824328468614,0.1306363486943763,247,7163800
face_4,0.9491283642228858,0.10174327155422842,0.049056300841618626,0.0025097644219392984,0.14740073284458804,0.1289761805467876,247,8007700
face_5,0.915055161161356,0.16988967767728824,0.06896319616772781,0.004998662753905924,0.16787767296618222,0.12910717203150834,247,8517000
lotus_1,0.8849657997449473,0.23006840051010546,0.09321562064709868,0.008340973245415367,0.25861118625291446,0.12986364510740983,247,7523400
lotus_2,0.8715053277948348,0.2569893444103305,0.14047486704126214,0.014382582378993196,0.4523318885076154,0.1325313637549415,247,6997000
lotus_3,0.5065469800280478,0.9869060399439045,0.5280055207630306,0.14977431294100035,2.07907829198704,0.14558577723777746,247,8515300
lotus_4,0.9179054871957597,0.1641890256084805,0.07052985692102454,0.004592393610771767,0.19869953813067004,0.12874897264432927,247,10115500
lotus_5,0.8935973150322076,0.21280536993558485,0.0969864670532565,0.00897165397299747,0.3827627275098831,0.1307449207018107,247,14089200
pickles_1,0.29838520816181036,1.4032295836763793,0.7506681667697366,0.369734679884567,2.9346511993625883,0.15356377504597543,247,924078300
pickles_2,0.2844897477876106,1.431020504424779,0.7654768505033325,0.3942707278582689,2.9802096895280243,0.1540551656588004,247,1060904300
pickles_3,0.36197922636020274,1.2760415472795947,0.6839586625416342,0.3004546123457567,2.6955931584103308,0.15141374171189642,247,686826200
pickles_4,0.34854127903782195,1.302917441924356,0.6975911319541359,0.3072646902395444,2.7491361684642355,0.15184392447394923,247,797313500
pickles_5,0.33716453262050705,1.325670934758986,0.7096031718529113,0.3203477348667275,2.7861041572176015,0.15224427545043942,247,466721400
