cat_cropped_query (10632100),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.9363908469718597,0.12721830605628054,0.04609250392176586,0.002180887445768563,0.10230436849513026,0.12710025371821265,247,9772600
airplane_cropped_2,0.9427802701076982,0.11443945978460361,0.05013691989735514,0.0025543049625498027,0.09897216075884988,0.12580230226668052,247,101731600
airplane_cropped_3,0.8982432019391831,0.20351359612163394,0.08095442475771887,0.00693481313911088,0.1626614927217267,0.12698897640835557,247,9590400
airplane_cropped_4,0.9192698788318928,0.1614602423362144,0.06697420311274455,0.004910180819925,0.14670703835234777,0.12639729195374363,247,9306300
airplane_cropped_5,0.926653881901332,0.14669223619733585,0.05593862937432556,0.0034597552301969658,0.1498342535557936,0.1272421145208596,247,10264200
ball_cropped_1,0.7704744204138977,0.4590511591722045,0.17891176018236282,0.03714017239000092,0.38036927284609967,0.12587202427096356,247,9546200
ball_cropped_2,0.6700019467737751,0.65999610645245,0.30303159464426904,0.07475884620537719,0.9368262811329231,0.13164998341363487,247,11164900
ball_cropped_3,0.8653292080299344,0.2693415839401312,0.1306512050026676,0.013916018765554075,0.44514573854771,0.12982581025636677,247,12521600
ball_cropped_4,0.8411801117323999,0.31763977653520026,0.13518791977473504,0.016008797546099927,0.3732302327715843,0.1299496983512875,247,10547500
ball_cropped_5,0.7502087800554651,0.4995824398890699,0.27765508361683205,0.0542564030308583,0.8015539923195727,0.1339952565333207,247,11745100
car_cropped_1,0.9088995531443425,0.18220089371131487,0.07158499216881557,0.005407860250807067,0.15566380238253907,0.1283870257254218,247,8245800
car_cropped_2,0.9638919193796328,0.0722161612407345,0.030131046270903513,0.0009298169590853729,0.03800849974139195,0.12746632355880042,247,8473100
car_cropped_3,0.9400580345543685,0.1198839308912628,0.049573525134644005,0.002689177361816999,0.07385737945303056,0.1275374993401396,247,124771900
car_cropped_4,0.9590161962777455,0.08196760744450907,0.03271257297319429,0.0010664686489942395,0.12076384433314657,0.1273038383723191,247,9555100
car_cropped_5,0.9660967635970115,0.06780647280597718,0.03633005633556031,0.001373352427601601,0.0841439458618994,0.12737184901527632,247,8510200
cat_cropped_1,0.9591021638781174,0.0817956722437652,0.03309029147285496,0.0011240005465378297,0.08463044135770773,0.12585852658062519,247,11687200
cat_cropped_2,0.9662713644544048,0.06745727109119044,0.028658472716408853,0.0008905328715865701,0.07198783513842975,0.12644623605991748,247,12961100
cat_cropped_3,0.9437692379308589,0.11246152413828224,0.04771103699537461,0.0023493576805270174,0.10624802437224456,0.12562927023249007,247,11555800
cat_cropped_4,0.9125968770505366,0.17480624589892668,0.07377699661099843,0.004742961446246047,0.19937432503764915,0.12855034951139102,247,10595300
cat_cropped_5,0.9125447872795509,0.17491042544089827,0.07403843743671668,0.006044725388851759,0.17330676810198808,0.1253396115170188,247,12049700
dolphin_cropped_1,0.9444609512821434,0.1110780974357132,0.04859644765370731,0.0025453869081027178,0.08703031142415192,0.1265432677134606,247,10051600
dolphin_cropped_2,0.8658472755662383,0.26830544886752344,0.10282020368211847,0.010961488193804254,0.3004427656509484,0.12729307959861524,247,9840200
dolphin_cropped_3,0.8421386152961111,0.3157227694077779,0.1722013792483192,0.020061320401790417,0.6166411251683503,0.13132655823170983,247,9625400
dolphin_cropped_4,0.9021858162254524,0.19562836754909527,0.08152574760142785,0.007332868748296509,0.1532028789787419,0.1271036260803318,247,9544700
dolphin_cropped_5,0.8681849739235908,0.2636300521528183,0.13663329223467635,0.013450448536407348,0.4403966384305644,0.13016289889612395,247,11395300
face_cropped_1,0.9480652136880425,0.10386957262391477,0.03735092908357722,0.0014204641403642512,0.11022881852121873,0.12764518208691902,247,12579900
face_cropped_2,0.9478484273792619,0.10430314524147614,0.04112092080712086,0.0017625819583210669,0.10472040356679171,0.12775769680928548,247,19194800
face_cropped_3,0.9357726466469322,0.12845470670613546,0.05583714965024597,0.003154033517051508,0.11911299007864215,0.1281823119839823,247,10506900
face_cropped_4,0.9405864609802976,0.11882707803940479,0.04691583091729989,0.002146267712690191,0.14049405989300537,0.1281319980934759,247,12549900
face_cropped_5,0.9465709266791396,0.10685814664172072,0.051223940912345625,0.002503879118164718,0.08744761979142036,0.1274484785862609,247,13526200
