car_cropped_query (10632100),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.9482486899541192,0.10350262009176153,0.05148994482375646,0.0026012446888491266,0.08321675122082418,0.12936165013009246,247,9772600
airplane_cropped_2,0.9110483180303071,0.17790336393938597,0.07849458643310937,0.0059763445744882284,0.12712520782481335,0.1265032017473925,247,101731600
airplane_cropped_3,0.9208865750426956,0.158226849914609,0.06570371525077687,0.004564077217833728,0.1299162508582165,0.1306320409153721,247,9590400
airplane_cropped_4,0.928868120624247,0.1422637587515062,0.06622822650167394,0.004449993647699233,0.15104196210789034,0.12897171906422622,247,9306300
airplane_cropped_5,0.939032640481068,0.12193471903786374,0.05502379062886256,0.0030681373339032834,0.11636617875707356,0.12981761504338177,247,10264200
ball_cropped_1,0.7888702452758412,0.4222595094483176,0.17640176192901008,0.03513724889713838,0.35611912746572755,0.12884268659287718,247,9546200
ball_cropped_2,0.6986603911077403,0.6026792177845197,0.2827672167606753,0.06508154265810087,0.9315821243815314,0.14011015181463735,247,11164900
ball_cropped_3,0.8708241595283127,0.2583516809433746,0.11316806534275359,0.010555860033552146,0.4399015817963047,0.13448191759594796,247,12521600
ball_cropped_4,0.8519486571171543,0.29610268576569143,0.13151293042228424,0.015060024042424798,0.31615164394606904,0.13296450390563683,247,10547500
ball_cropped_5,0.77423460740481,0.45153078519038015,0.25193282317044663,0.042659690390406346,0.796309835568181,0.14333109972910746,247,11745100
car_cropped_1,0.9569825967186141,0.08603480656277182,0.034382193199451024,0.0012962025468122554,0.10186640143849122,0.1328829078346918,247,8245800
car_cropped_2,0.9605278110581873,0.07894437788362568,0.031242401953140576,0.0009425382892738291,0.054537966453361036,0.12995696385555686,247,8473100
car_cropped_3,0.967152739781011,0.06569452043797802,0.02582410110849272,0.0006481366420942609,0.05661367104356513,0.13095756860021393,247,124771900
car_cropped_4,0.9506279671781792,0.09874406564364167,0.037537537265658685,0.0013739871287614205,0.09715018661970626,0.12965910539756453,247,9555100
car_cropped_5,0.9602334541732507,0.07953309165349885,0.034380361256748426,0.0012012251371394738,0.062356754984040016,0.12996552505384407,247,8510200
cat_cropped_1,0.9307900893931447,0.13841982121371046,0.05742632671737064,0.0032089239407551338,0.10139316732262649,0.1272818629373469,247,11687200
cat_cropped_2,0.9290029911399741,0.14199401772005213,0.05368708115302233,0.0028922251575771115,0.07712057303822094,0.127940482909738,247,12961100
cat_cropped_3,0.9235642141995152,0.15287157160096973,0.061832063935093974,0.0038497171375484213,0.13985566058996413,0.12738058385480783,247,11555800
cat_cropped_4,0.9147210175259313,0.17055796494813724,0.07488063952604303,0.0050060497129361435,0.1522926572400527,0.1309930611999136,247,10595300
cat_cropped_5,0.8954170704411785,0.20916585911764313,0.08638875228310967,0.007926159265806245,0.22208568202446866,0.1268736925275054,247,12049700
dolphin_cropped_1,0.9188875252038222,0.16222494959235556,0.06655877854514129,0.004379005702727076,0.14255501008154253,0.1280337837369973,247,10051600
dolphin_cropped_2,0.8906513623425554,0.21869727531488928,0.0899012176504994,0.008393389717088293,0.2951986088995705,0.13106270643567772,247,9840200
dolphin_cropped_3,0.866164442645456,0.26767111470908816,0.14711346550721754,0.013518070601628745,0.6113969684169587,0.13785677403441746,247,9625400
dolphin_cropped_4,0.8910735123657014,0.2178529752685972,0.09661527160132645,0.009693490023139606,0.12657826091191565,0.12828433864998617,247,9544700
dolphin_cropped_5,0.8968338491063736,0.20633230178725276,0.11027137805544857,0.008101988967173226,0.4351524816791591,0.1359420829224109,247,11395300
face_cropped_1,0.94341883151671,0.11316233696658,0.049627087692062345,0.002526310822838486,0.10544311698227264,0.12963604828419198,247,12579900
face_cropped_2,0.9487007707593234,0.10259845848135318,0.04627842131144656,0.0023207695087652906,0.10304877917536118,0.13005705989572588,247,19194800
face_cropped_3,0.9490352663293475,0.10192946734130486,0.04293006889167,0.002005316274107408,0.10255768139722563,0.13134445437896003,247,10506900
face_cropped_4,0.9362032784415544,0.1275934431168912,0.05152860256107076,0.0027422287361486062,0.12222796060039598,0.13042969140982535,247,12549900
face_cropped_5,0.9459130804308387,0.10817383913832275,0.04769620314307789,0.0022327636598875773,0.08567590819197003,0.1301477049123913,247,13526200
lotus_cropped_1,0.8651615947034644,0.2696768105930712,0.11853766809374588,0.011857341764638474,0.2921272195032306,0.13283435529776338,247,10059500
lotus_cropped_2,0.9311184026132143,0.13776319477357135,0.060315642910920966,0.0033239587309333374,0.11548970492030446,0.13118498079408206,247,9522400
lotus_cropped_3,0.7980208363926411,0.4039583272147178,0.21977112390809103,0.028485365212371504,0.9961490590325397,0.14087023895178782,247,11583000
lotus_cropped_4,0.9024399962912258,0.1951200074175483,0.08911861193910832,0.007565157325119103,0.2285012425106258,0.13160524744301538,247,9586000
