face_query (5477900),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.8339366779213544,0.33212664415729115,0.18289498945125732,0.021393220930918853,0.680444131545509,0.13405350361172347,247,5523100
airplane_2,0.8624507656386773,0.2750984687226455,0.12399594074964858,0.012291804550098772,0.4222064864697637,0.13033420937679555,247,6591000
airplane_3,0.7944498939049013,0.4111002121901973,0.2117176547217723,0.029616888777529642,0.7757498009215335,0.13505962088677045,247,5584800
airplane_4,0.8209642652547987,0.3580714694904026,0.1776903107653594,0.022062107326433992,0.6367527809463052,0.13316662954832995,247,5971600
airplane_5,0.7294564261704107,0.5410871476591788,0.2933872949084742,0.05003160609231761,1.1005647331055872,0.13866969950321215,247,4963400
ball_1,0.8761025748612464,0.2477948502775071,0.09784345706590147,0.009855155151384382,0.12437548778950995,0.12796866361737208,247,5996100
ball_2,0.5202649890221847,0.9594700219556309,0.5108421005249911,0.167545686587235,1.8851198351464036,0.14384915469933918,247,4998500
ball_3,0.8927195722944599,0.2145608554110804,0.10321193398054351,0.007954483747652074,0.43498650181308396,0.13311215596144574,247,6999800
ball_4,0.9297833659029231,0.14043326819415383,0.07011519975946223,0.003911473819746154,0.21749020551678083,0.130070021245667,247,6000200
ball_5,0.6639925453799993,0.6720149092400015,0.3627224892749678,0.07674289537487826,1.28979695932941,0.14239109473600464,247,7000300
car_1,0.8619949982148645,0.2760100035702711,0.11245415807026986,0.011841182442208194,0.2889120517284677,0.1312293015704895,247,4999700
car_2,0.9220533826473474,0.15589323470530508,0.0698203974955153,0.004859032629199045,0.15688882299199414,0.12827081203272972,247,6012100
car_3,0.9164581775951585,0.167083644809683,0.08585791329475721,0.006902339874135521,0.1966570189071922,0.12834783031230668,247,5007000
car_4,0.9448392546882817,0.11032149062343677,0.04651139804670827,0.0023265256830876466,0.09756162325945228,0.12886157046355223,247,5999100
car_5,0.9434583520138056,0.1130832959723888,0.047187916327488685,0.00240939790491486,0.07903747260163951,0.12804942826605403,247,8522600
cat_1,0.9277223054352677,0.14455538912946464,0.07092170709290356,0.005103992901288106,0.2108952735783299,0.12741847421375568,247,7513700
cat_2,0.9588014240470291,0.08239715190594203,0.034999506442968877,0.0013349818708192447,0.10528743239138816,0.12757611076925546,247,6996700
cat_3,0.934137319856877,0.13172536028624596,0.056508568750571454,0.0035030341565939612,0.1487190768187079,0.12781607966571068,247,5999700
cat_4,0.9211881925509947,0.1576236148980107,0.06494746120804898,0.0036031501780991997,0.11707792416878413,0.13023390034165522,247,4996100
cat_5,0.9161722940173126,0.16765541196537503,0.07961862891472318,0.007431218494891731,0.23034681022136272,0.12702563555072782,247,5002100
dolphin_1,0.9124835923248589,0.17503281535028226,0.0740036588539433,0.005727904391159395,0.1396592215359867,0.12655346747365753,247,5000000
dolphin_2,0.8293407733103305,0.34131845337933897,0.12932603012343558,0.01789303630948784,0.29638255279468373,0.12718903626739186,247,4001400
dolphin_3,0.7264436233236145,0.5471127533527711,0.29694980042797936,0.051998216871071666,1.0901606311663041,0.13899575082686277,247,9524100
dolphin_4,0.8191044437705908,0.3617911124588183,0.16427975778817358,0.021634816748837694,0.4788658121578977,0.1322310064177668,247,9520200
dolphin_5,0.8374126693666468,0.32517466126670636,0.17615680620002253,0.01941643125192986,0.6447862156900372,0.1350363741806974,247,5520000
face_1,0.9617505712009795,0.07649885759804112,0.03290199193993587,0.0009908305979442428,0.09385120160451049,0.13071804261277992,247,12060000
face_2,0.938794900236587,0.12241019952682622,0.04553262575836042,0.0019422476276101561,0.08522571636100335,0.1313627232152586,247,7184700
face_3,0.9152046688121194,0.1695906623757612,0.07412072540013337,0.005113433388613376,0.19487363874403096,0.13378825540600886,247,7163800
face_4,0.9591223042706953,0.08175539145860913,0.03618066192828624,0.0011794854741877994,0.1208403712467061,0.13061885123157374,247,8007700
face_5,0.9432865904083617,0.11342681918327674,0.04301152806524847,0.0019200130267370173,0.10350055029022505,0.13165406797852766,247,8517000
lotus_1,0.9051044471086689,0.18979110578266223,0.0810399144644448,0.005986239077273023,0.19892320804340016,0.1320184177129584,247,7523400
lotus_2,0.8766308673754641,0.24673826524907178,0.13405648820228477,0.012203244411243493,0.4711089507926619,0.13450631738294588,247,6997000
lotus_3,0.5092730553982142,0.9814538892035716,0.5260523214142949,0.1471712941261943,2.0978553542720864,0.1477091002906516,247,8515300
lotus_4,0.9230340725562789,0.15393185488744215,0.06202622225424642,0.003381399590839547,0.13432241545471285,0.1304065073868517,247,10115500
lotus_5,0.8975415499980604,0.20491690000387947,0.09428262650397495,0.00845191547378877,0.40153978979492966,0.1320974317747418,247,14089200
pickles_1,0.30111128353197675,1.3977774329360466,0.7488102174783255,0.3650584752193443,2.953428261647635,0.15605068295416435,247,924078300
pickles_2,0.287215823157777,1.425568353684446,0.763448140312658,0.38832173367066075,2.99898675181307,0.15669996902106192,247,1060904300
pickles_3,0.3647053017303691,1.270589396539262,0.6827653413537186,0.2983741216754767,2.7143702206953777,0.15332314257527588,247,686826200
pickles_4,0.3512673544079883,1.2974652911840234,0.6959503149987105,0.3035444614389183,2.7679132307492824,0.1540811281985123,247,797313500
pickles_5,0.3398906079906734,1.3202187840186532,0.7080763601167102,0.31742374828209635,2.804881219502649,0.1544204708316701,247,466721400
