face_query (19654600),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,0.9514418450762426,0.02049358160876147,0.0033707996859039437,2.4885766258105795,0
airplane_2,0.9375542979835176,0.01858113743886083,0.0036524881484139076,2.4550360176994395,6686600
airplane_3,0.9261989579292615,0.03201346411244682,0.011328044465620236,2.5496470736589454,3126800
airplane_4,0.8934636727765688,0.03596277676777521,0.012526609795740197,2.5541143437979725,1999200
airplane_5,0.9467742166874891,0.034355906161765024,0.01421187881069267,2.5930902442505785,2732900
ball_1,0.8737305831187235,0.021144202524276325,0.00423632296297445,2.3954197523620255,3454500
ball_2,0.9524793511916037,0.06796636120473759,0.03542508513223482,3.0674965133387704,2172000
ball_3,0.9503574000460614,0.019075504395855203,0.0037622127794977598,2.4722430250720557,379400
ball_4,0.8486207335235753,0.021323679245450464,0.008427710536810374,2.357043258157989,0
ball_5,0.9174027014856774,0.046798356600831106,0.02080319725260553,2.7028133602817084,7098800
car_1,0.85112826627394,0.0319063195905873,0.010746265120316036,2.4576714308091865,0
car_2,0.8551151652217737,0.024871121972476234,0.005401192936389038,2.402323776008258,6708300
car_3,0.9034990166357173,0.020119473124324494,0.0039519347473106715,2.4278114425427755,3134400
car_4,0.8043752382798243,0.02611604540463626,0.008041521801306633,2.326655374607121,1989200
car_5,0.835755760290123,0.0260896044783508,0.006151325008538995,2.387659837972789,2074900
cat_1,0.9523716807820737,0.026102262658437583,0.010362783608007861,2.5247527853155898,0
cat_2,0.8068411700711693,0.024865354924844492,0.00924960180840789,2.3160532785088663,6701500
cat_3,0.854159077919208,0.022177371457814257,0.00619372638918353,2.375082627760833,3108300
cat_4,0.7779499212463542,0.03032144243384367,0.016313544628396064,2.3145982459302368,3000500
cat_5,0.8611711043144826,0.03590463695113141,0.014573879642923235,2.514079083236752,3036700
dolphin_1,0.7792940393855777,0.03855528215007899,0.010359277019445426,2.416981965702555,2003100
dolphin_2,0.8285205378804302,0.029114916295266854,0.005581615116825976,2.4054684300161844,2514400
dolphin_3,0.9467473639752169,0.042258884965279186,0.01890937243308122,2.6839700458818108,0
dolphin_4,0.7195606953442105,0.04686468391217723,0.018221477605881383,2.3867165269711945,0
dolphin_5,0.9116873143581983,0.024827191190366842,0.007967680298395424,2.474470596408383,8382800
face_1,0.9351537556441507,0.015301837803223924,0.0024728092019937176,2.4260230342797926,3007900
face_2,0.9664430394888638,0.01896650408026631,0.004759511591958384,2.4871010223213785,3055300
face_3,0.9694664656087,0.02531547966837386,0.010508301324780171,2.534545898923868,4108000
face_4,0.9020125881998423,0.018369260022884727,0.0063466286037813634,2.4074558379583006,2245100
face_5,0.9306405330041021,0.015015566639182878,0.0027885273393833785,2.420384056535639,0
lotus_1,0.8246867422171559,0.030478427559753392,0.010553646495895767,2.4064603189349834,8597600
lotus_2,0.9525887058943028,0.014337196804250045,0.0024118543320110902,2.4390564981606033,1982200
lotus_3,0.9913408905052492,0.064927815011597,0.030714443004937145,3.022461435364474,1997300
lotus_4,0.8089945648577609,0.02558220974665897,0.00988563890563649,2.3268770424107412,3927500
lotus_5,0.9481132817456878,0.0237892784308177,0.00985260270709953,2.503230984713673,3001900
pickles_1,0.9995905318361498,0.08444497044433416,0.04405472165076486,3.8344103007130106,149576700
pickles_2,0.9996426274033308,0.08579053196035208,0.04447729138973553,3.9616956230506646,192575600
pickles_3,0.9969849752831375,0.07958514255978674,0.04199225031342784,3.515217420413048,138285800
pickles_4,0.997050765257851,0.07925787606670831,0.04220692659647065,3.5059110210801037,162881100
pickles_5,0.9980688643516467,0.08213739649087037,0.04261711442204877,3.611989849721895,87358900
