cat_query (19654600),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,0.945937181655013,0.03562982046363794,0.013071392254718484,2.4270221529408396,0
airplane_2,0.9100177031824038,0.03744644269512646,0.014234261426793371,2.396704193459737,6686600
airplane_3,0.9122412662507595,0.048234407268101534,0.02244240772370584,2.488105460190104,3126800
airplane_4,0.8966932146562387,0.04977498378233209,0.02341041252003148,2.486392249974346,1999200
airplane_5,0.9371445212998678,0.04985908649173955,0.025410585101478967,2.52754000530227,2732900
ball_1,0.8701573563685109,0.03608698787282858,0.010027876274695046,2.3399525625944704,3454500
ball_2,0.9389059458591699,0.08294480498197311,0.04668433083976654,3.0291661993513856,2172000
ball_3,0.9082167294895356,0.04013223825110114,0.014565217761296958,2.4178628776407867,379400
ball_4,0.9041607875520994,0.024394165847263193,0.0048360861490409895,2.2934443397835023,0
ball_5,0.8676498790107974,0.06640945109607263,0.03223989778565962,2.655756015640828,7098800
car_1,0.8201514551138115,0.05144295703996525,0.02170333609913935,2.4028105619921485,0
car_2,0.8500450922718538,0.04009306260575296,0.01505683262323269,2.3396121734293382,6708300
car_3,0.9183748318313649,0.03175261668388662,0.012352413409917561,2.3555563155839945,3134400
car_4,0.8590409801730389,0.02862128086489076,0.008133619493028502,2.2611072113185484,1989200
car_5,0.868348445764811,0.03399779884102242,0.011673511339049102,2.314035323077816,2074900
cat_1,0.9331117332478135,0.04316054729178435,0.021520211756700915,2.463002520951717,0
cat_2,0.8757262061157021,0.024149029240553177,0.004388411892803721,2.2517126231398565,6701500
cat_3,0.914254578280429,0.02466369023891148,0.006611332165152559,2.3028719155687596,3108300
cat_4,0.8756761829524858,0.02303950640164327,0.005863590259965944,2.245312110521964,3000500
cat_5,0.8612033766348564,0.05016866601114389,0.02564600411606889,2.4469905212630816,3036700
dolphin_1,0.8799454557756331,0.03370239448921409,0.008419588811904936,2.3388495635160047,2003100
dolphin_2,0.9186871799642606,0.026229719764011797,0.008726646349644053,2.3193597144876326,2514400
dolphin_3,0.9098731944219361,0.06060178458738756,0.03021441415153991,2.6223596359230403,0
dolphin_4,0.8459418422001501,0.03537445326009561,0.008338917529406359,2.306089970085548,0
dolphin_5,0.8732523294470198,0.04533157355007785,0.019223057347663504,2.4155832936056463,8382800
face_1,0.9101914382292108,0.03394855518120525,0.010915817446529183,2.3693193400515082,3007900
face_2,0.9339948028640236,0.03828938953088093,0.015959083492127237,2.4236870780221267,3055300
face_3,0.9326555530095354,0.0447831132065444,0.021924692547736248,2.47443059768184,4108000
face_4,0.9452705564721765,0.024756665863204894,0.0063117282426756365,2.341500529651879,2245100
face_5,0.9060032171373309,0.0336669476050007,0.010722840268624445,2.361135021659268,0
lotus_1,0.9119265163829008,0.02832045188133606,0.005328922086259032,2.3429125270326137,8597600
lotus_2,0.9069139371716676,0.03640509301065559,0.013534075768311338,2.383617114533506,1982200
lotus_3,0.9844242445825394,0.07957251317761983,0.041903288751798454,2.9641728458748338,1997300
lotus_4,0.8795168929100151,0.024780230112000368,0.0047000019219112414,2.265708777286169,3927500
lotus_5,0.9123051937290777,0.04347821724560029,0.02111041569410589,2.442602421972283,3001900
pickles_1,0.9592401090372745,0.09929315588279441,0.05525879222599442,3.79908948026037,149576700
pickles_2,0.9750073213943479,0.10034676622418878,0.05567485278831687,3.9367869704390013,192575600
pickles_3,0.9624058106439727,0.09469122775460141,0.053206637489465046,3.470434892046931,138285800
pickles_4,0.9531496377952805,0.09461838803724798,0.05343960925746034,3.4658399075756967,162881100
pickles_5,0.9962310759715521,0.09644137784196471,0.053822413807812865,3.5688452423816854,87358900
