ball_cropped_query (9849500),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,0.7778867053156735,0.03153863777906775,0.010807415941988804,2.5161504145177793,0
airplane_cropped_2,0.850453149503912,0.02717419065639936,0.007075098859274336,2.601135196024127,7736300
airplane_cropped_3,0.779522518479726,0.027575345369774927,0.008362349976720813,2.472908931696609,1000900
airplane_cropped_4,0.8093318824327221,0.028874415434848744,0.007432629711751434,2.547542711517037,999700
airplane_cropped_5,0.7097400305696024,0.03736555507786449,0.010566283025981062,2.4355680657686456,2000300
ball_cropped_1,0.8871353975850637,0.02831330125900152,0.010801781728452652,2.6552214919259223,999300
ball_cropped_2,0.9484170148520514,0.049452466701666344,0.027996698160623026,2.9910517127697505,1225900
ball_cropped_3,0.9478979287342045,0.019555508285366757,0.0052981528280267,2.628709832177444,0
ball_cropped_4,0.7460546452489457,0.03336424104348716,0.017432109898190908,2.467758027044696,0
ball_cropped_5,0.8986728844985833,0.032466701411692216,0.012937715333585542,2.7041005184636044,6822700
car_cropped_1,0.7676233752242705,0.034493443416220446,0.006878135545109539,2.5565809254032965,0
car_cropped_2,0.789185187169743,0.034911705848358315,0.007478849540905508,2.633960289797558,0
car_cropped_3,0.7454483687104445,0.04250271017028088,0.01650409616811329,2.6683780128476244,0
car_cropped_4,0.7565111648003562,0.03629906446005615,0.01318027126733197,2.578949200013569,0
car_cropped_5,0.6397805521697849,0.05178269746614653,0.01856559178586671,2.5001686447370424,0
cat_cropped_1,0.8510548036618554,0.019316386881794004,0.004806951548642293,2.5021507903524087,6473000
cat_cropped_2,0.7786771180672922,0.026741503750520316,0.012073788681553056,2.446693336155814,362000
cat_cropped_3,0.8217823916240011,0.02523550111936753,0.006982964266648445,2.522469406931715,0
cat_cropped_4,0.7209435495101676,0.03622336033096944,0.02024763157110431,2.4366156507287537,6878000
cat_cropped_5,0.8412480834379262,0.02519167431655009,0.004019142676332887,2.560363862455374,3056400
dolphin_cropped_1,0.7823800916196028,0.034067573963947835,0.009922226200606205,2.566649725448966,1002600
dolphin_cropped_2,0.8176826944293996,0.026992460890083426,0.004999349243781789,2.5506733972133375,1000000
dolphin_cropped_3,0.8993905709960703,0.03931292361295398,0.01901016227414221,2.7987208060047117,1640300
dolphin_cropped_4,0.7120341086606191,0.03776929277888778,0.019117867891601293,2.4453157617473225,220000
dolphin_cropped_5,0.9005069254662319,0.022066727975698284,0.006454997375616107,2.595899168622426,3028400
face_cropped_1,0.970116267305357,0.017976525840544152,0.0053642961245861445,2.633636189242651,3001300
face_cropped_2,0.9358000269747785,0.025034798455953054,0.008655742659076796,2.6646786650653405,691400
face_cropped_3,0.941649679724667,0.026808997425226928,0.011756178621188652,2.685803342929258,0
face_cropped_4,0.9605104772264871,0.017249261710309945,0.004914985367394473,2.6176876053322307,7353600
face_cropped_5,0.9101868457205449,0.022037594832808573,0.007363990147279378,2.606268644052343,2008400
lotus_cropped_1,0.8046637812085048,0.025523679131197585,0.01322886245785874,2.4927270480632946,1002100
lotus_cropped_2,0.8737262940320966,0.020612143353874145,0.00571032875646813,2.552849621535441,2000800
lotus_cropped_3,0.9775423563368563,0.037231809343609173,0.015202385501980678,2.847322900226672,1972100
lotus_cropped_4,0.8826111894248111,0.020261372179834834,0.004665535246018901,2.571365069715384,0
lotus_cropped_5,0.9406122444965849,0.025876652029790344,0.010920011378822139,2.674613909186764,4118400
pickles_cropped_1,0.9022374433457526,0.04933143771473207,0.026710782897622864,2.9428849368647962,113738200
pickles_cropped_2,0.9616753273688606,0.03515149876701547,0.018669372089451446,2.789333264396947,68754600
pickles_cropped_3,0.9444210293382742,0.039392062852763865,0.01991578533441314,2.823956505623196,129468300
pickles_cropped_4,0.956921970669184,0.036019200530168535,0.018578211493051153,2.792297813758261,104226300
pickles_cropped_5,0.9254568525582866,0.0428871370678857,0.02083690758910097,2.8562193320475973,106882600
