car_query (13864800),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,0.9364076960643967,0.10384913575637023,0.020767590717303403,1.2767585958757146,0
airplane_2,0.8875078123809088,0.10337382369606234,0.021142392721772565,1.223387047474159,8911400
airplane_3,0.8627427118690443,0.12317300921692889,0.025196334749592247,1.236681732433195,2004500
airplane_4,0.8759041786068813,0.10454614922766224,0.02089902463406137,1.201972493501577,1995700
airplane_5,0.9292574334410605,0.11366468850049084,0.021380748591344152,1.2881736520370504,1924400
ball_1,0.7388413191358832,0.15300966347057715,0.03434614166593825,1.1260379306079207,2994500
ball_2,0.565723133089375,0.2913196465501034,0.07291736232779715,1.5082214728011116,996300
ball_3,0.8389582784245134,0.16296548686924878,0.029494254592038256,1.3447120015825675,2440500
ball_4,0.8394173596048964,0.14523008084226358,0.03138818396597957,1.2741794669184427,0
ball_5,0.7570135429050424,0.21039739889187486,0.04126011231191501,1.4233658686137827,6336600
car_1,0.852747029552148,0.08854483925549916,0.02109813460902456,1.130823810288558,2127700
car_2,0.9091292430950875,0.06096446700507614,0.010633585551566549,1.1419543164071817,3010900
car_3,0.9480434498102341,0.0919289340101523,0.017708963324314753,1.258545078182352,1732900
car_4,0.857856279240919,0.09326565143824027,0.02003571297331249,1.1484024588755861,2115000
car_5,0.8513470681458003,0.09856175972927242,0.021706699360410215,1.1568633026122175,2000000
cat_1,0.8715761543035923,0.13899881196673505,0.02875490567756742,1.3023217671328657,2583700
cat_2,0.8028386629987485,0.15430925221799746,0.03465869055065624,1.2508703085048285,0
cat_3,0.8266259832580939,0.15559717077483576,0.03300075805186144,1.298660790854689,0
cat_4,0.7949315208873533,0.15179525340845668,0.03868183652794644,1.2261719676887735,9093300
cat_5,0.7979702411785559,0.1695497649934198,0.03167800488397784,1.3166376427354063,2003900
dolphin_1,0.799101720059743,0.14357532446662696,0.03317527406327495,1.206497503540619,1994300
dolphin_2,0.6719178591975089,0.20980678934010152,0.03773725357683524,1.197147453490532,1351500
dolphin_3,0.8081011172690226,0.20341204299989057,0.04069453353257419,1.4644135237717602,0
dolphin_4,0.7058482804572306,0.22431610654063827,0.04394334239957426,1.4121790079294947,0
dolphin_5,0.9554455022032059,0.10713513866800287,0.02406062245809816,1.3014520958331486,6683900
face_1,0.8892810986245027,0.1420645574421245,0.02814095425344649,1.3326202395422155,0
face_2,0.9459330250126364,0.13772568857622697,0.02764735294950902,1.3824825114929007,6931200
face_3,0.9178094137842976,0.16565877052084485,0.03263011219588898,1.4511598237467553,0
face_4,0.9136033674013602,0.15460999985264734,0.03094288605224797,1.4118752436852788,6775200
face_5,0.8857756740971188,0.16463614783411737,0.0327414010661196,1.4171594080337588,3125100
lotus_1,0.7960977991938454,0.1860106103931609,0.04012132467298398,1.3666627677945578,3004700
lotus_2,0.9263162933255283,0.13602973168963017,0.028306358850042283,1.3615454053131038,1279700
lotus_3,0.9851628065953125,0.2283551080413858,0.04697506646442774,1.7771375879831188,0
lotus_4,0.7860294007761167,0.16880976938270606,0.036537633515148375,1.2812515012934182,6546500
lotus_5,0.8683800114936235,0.15400767752109307,0.02964853058105103,1.352267763918805,3135300
pickles_1,0.8236350148409162,0.2781783482823348,0.06094800165791313,2.1565480726095982,149438000
pickles_2,0.767046944553638,0.2878776455160745,0.0626731148364796,2.2608675950952777,218726200
pickles_3,0.7637205829578826,0.26827645868313765,0.060205554944954005,1.871024524962631,139923200
pickles_4,0.8658993278272524,0.2594784689549121,0.05673626592308889,1.9355590531970612,162640200
pickles_5,0.6887543234220512,0.2849460505927825,0.060748678055410205,1.9623358860595694,90318600
