dolphin_query (13864800),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,0.9175502888521443,0.06758990413036214,0.011532866742676808,1.3480603424021806,0
airplane_2,0.8412004513877173,0.08393906150108682,0.011790011588138577,1.293101141845948,8911400
airplane_3,0.8322018022610029,0.09429461275193306,0.020423559848080208,1.3064460726718568,2004500
airplane_4,0.8192026204999177,0.0918376289503848,0.01891251080060792,1.277585998104542,1995700
airplane_5,0.9144538482934002,0.07514950869236584,0.015363594643135874,1.3610234751726704,1924400
ball_1,0.69424743892829,0.13911111111111107,0.03210813690356981,1.195932830831026,2994500
ball_2,0.5137985056640153,0.2710962962962963,0.0714603691715899,1.5747197129018815,996300
ball_3,0.8129972492480921,0.1295150684931507,0.022722825995828498,1.4138389883218128,2440500
ball_4,0.7957158962795942,0.12244444444444444,0.024940198434302542,1.3493528400554002,0
ball_5,0.7437132854684626,0.17050108932461874,0.03691829149890839,1.489574803349509,6336600
car_1,0.7640969048666826,0.10187050197405527,0.024862360037779557,1.208919394340351,2127700
car_2,0.8056021739639704,0.08167557811618724,0.013998783908956938,1.2236555832492146,3010900
car_3,0.933610783928805,0.05363647302124459,0.008579033767284984,1.329234910030895,1732900
car_4,0.8052028246508613,0.0814052265463433,0.014154881727866152,1.221075394536364,2115000
car_5,0.7915576686036273,0.09110697499529986,0.015401541660607733,1.2275525104575187,2000000
cat_1,0.8460391768795513,0.10593191489361703,0.0231092153501973,1.3683938559512376,2583700
cat_2,0.7590719416487844,0.13302447542599632,0.029167490053268262,1.3276226829000795,0
cat_3,0.7955039302669469,0.12585225225225224,0.024570726829975742,1.3655025311950533,0
cat_4,0.7606011834634611,0.12604149699437658,0.032181682268645075,1.292497322637659,9093300
cat_5,0.7547699535896405,0.14613333333333334,0.025053187865463792,1.3880180140235623,2003900
dolphin_1,0.7459756935851962,0.1298013656114215,0.029049265278051205,1.2782649345550552,1994300
dolphin_2,0.6479306945231054,0.17993287037037037,0.03152197239135518,1.2665655227105033,1351500
dolphin_3,0.7659929168437457,0.17408689883913764,0.03559103567084879,1.5399877663678556,0
dolphin_4,0.677375313494663,0.1922978927203065,0.03671147031825174,1.474650673982599,0
dolphin_5,0.9125966052726616,0.08174757590208234,0.01642484898024862,1.3766658331238288,6683900
face_1,0.8617177400156645,0.10916458250425823,0.021074318372806912,1.4061174813265886,0
face_2,0.9438195985313195,0.09285036865934695,0.01885841205485553,1.4481233089301908,6931200
face_3,0.9036357161905657,0.12526160811819426,0.025520525571390743,1.5173731368698207,0
face_4,0.9025167049530489,0.11338438226998537,0.0238310075664951,1.4837015915509697,6775200
face_5,0.8728814630485443,0.1241942205942206,0.024744174304149113,1.4827880331677903,3125100
lotus_1,0.7999952677216863,0.13844263302603915,0.03231878611112029,1.424441164070449,3004700
lotus_2,0.9079507394239192,0.09835540438397583,0.021164704040381524,1.4350972774230115,1279700
lotus_3,0.9853787176157794,0.18255628415300545,0.041854781558075975,1.84598773838719,0
lotus_4,0.7391078399302148,0.1484520584329349,0.029965592757640158,1.3561532426382945,6546500
lotus_5,0.8391543146041595,0.12170899470899471,0.02310790987421419,1.4226990992220874,3135300
pickles_1,0.860232184388991,0.2272812882510567,0.05640685098180314,2.203241707408643,149438000
pickles_2,0.8120976775446196,0.23608848148148148,0.05806383500639355,2.3019098955893718,218726200
pickles_3,0.78391652127021,0.21828041362649764,0.05559960037036809,1.920639437008091,139923200
pickles_4,0.8924631639737409,0.2090641535385584,0.05212796510229318,1.9883875675934821,162640200
pickles_5,0.6937301984422034,0.23816964925194148,0.05589023083923499,2.0040777817076725,90318600
