lotus_query (13864800),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,0.4835045479032314,0.13845452585108425,0.0362360726538323,1.7596477868508111,0
airplane_2,0.4201841033568325,0.17551520352635996,0.038978153303319975,1.7195483123084312,8911400
airplane_3,0.4286218816646759,0.16959305204343028,0.039535039142163574,1.7301535001467152,2004500
airplane_4,0.427540228483884,0.17237929984948272,0.03719159965136142,1.6896116470860516,1995700
airplane_5,0.4879879018327068,0.13602266475597502,0.030287490153140376,1.7757827086449054,1924400
ball_1,0.35346761341788585,0.23482962962962964,0.05812248733103399,1.5728106390827181,2994500
ball_2,0.39808346712093173,0.18026264908976775,0.060032992301238645,1.8594327485085331,996300
ball_3,0.5281882317597828,0.11678515594768206,0.032480633865805526,1.7739694287619932,2440500
ball_4,0.4635717424951752,0.1492946641556811,0.048156187826857474,1.7373007825665905,0
ball_5,0.5283945824663315,0.11763620250360031,0.028510504911815733,1.8344170425586688,6336600
car_1,0.3746989963389004,0.21365545326794577,0.047600483527233436,1.625927551005471,2127700
car_2,0.39016909843944875,0.20066167656084202,0.040363516927601234,1.6304240248661739,3010900
car_3,0.46756680619051105,0.1469199575554217,0.03713479496214392,1.7494348474636767,1732900
car_4,0.3758852129937267,0.21004657432103013,0.0499919466071742,1.6500085298976013,2115000
car_5,0.3821733952922006,0.20562769221944993,0.04839661629820226,1.6578074404912369,2000000
cat_1,0.5041018187729571,0.12810866690708017,0.03337656194250625,1.759848558462083,2583700
cat_2,0.4185595448670762,0.1756833580374213,0.05320671405176851,1.7222505273793167,0
cat_3,0.47607688259061254,0.14245472591235303,0.04561016450238401,1.7478960506903711,0
cat_4,0.3951375132375593,0.19124530422693525,0.06210414742467156,1.7192839937057511,9093300
cat_5,0.46285860232857834,0.1493536723163842,0.03513908164665002,1.7410632471091683,2003900
dolphin_1,0.3745437653878257,0.2056729476375343,0.060574256603436606,1.7267625033690681,1994300
dolphin_2,0.377925251368166,0.21097563559322036,0.051596513276713864,1.6303211593398603,1351500
dolphin_3,0.5853227398128606,0.09685262950782808,0.01580588093774593,1.8962738468029126,0
dolphin_4,0.417190807424074,0.17010232807325154,0.05374733931630665,1.8422549530389947,0
dolphin_5,0.5185022637636628,0.1213515676147523,0.027120852016956676,1.7797368592907148,6683900
face_1,0.5280328122154316,0.11707147880811267,0.03860472499119397,1.78719157791829,0
face_2,0.5908436618337938,0.09227361284174862,0.02679919707088292,1.838748438963898,6931200
face_3,0.6129780224951761,0.08742844432581517,0.02394565710095989,1.8985650418348787,0
face_4,0.5433317656750462,0.11243843566576533,0.035286878401894685,1.87182097315208,6775200
face_5,0.5442228475138633,0.1119199519877486,0.03860477139869583,1.870628715672383,3125100
lotus_1,0.4439660974486038,0.15619164631288085,0.0570838794552062,1.8555163940737605,3004700
lotus_2,0.5172811138388822,0.12254202698028364,0.035151202894685145,1.8364798938915694,1279700
lotus_3,0.9187398017411318,0.04790914142817449,0.00873907684724701,2.2144026803037464,0
lotus_4,0.42988872440578174,0.16809822855470774,0.051132400111291346,1.7400249885928665,6546500
lotus_5,0.5423001002409624,0.11066870363964795,0.025094665237234963,1.7825801957274852,3135300
pickles_1,0.6580364221490108,0.10794822789211597,0.026429490339607824,2.5602597697027303,149438000
pickles_2,0.585890979142328,0.11864523163841809,0.03001013338811638,2.6571231314363133,218726200
pickles_3,0.5994556171525443,0.10926871001228469,0.03829432983958929,2.3303983748099357,139923200
pickles_4,0.6851151909791249,0.0976874570338381,0.026704694346710568,2.3849819518307287,162640200
pickles_5,0.562326138839621,0.11737095380320912,0.03288431709570601,2.3619776139194664,90318600
