pickles_querry (13864800),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,0.18420501492742974,0.22172104360397873,0.055727767936008074,2.349833012363217,0
airplane_2,0.17662365050443704,0.2464876538166475,0.05606414595105453,2.2934013670532534,8911400
airplane_3,0.1984593252288931,0.2293190746820467,0.05099670175382297,2.2509492913274896,2004500
airplane_4,0.19776464872356764,0.23883132678347252,0.05208571187801117,2.2366971368177397,1995700
airplane_5,0.22125275360591254,0.19902714188532555,0.0448264165101843,2.3167750545254298,1924400
ball_1,0.16415606465928417,0.3026035740740741,0.0749508232351192,2.1021037038866788,2994500
ball_2,0.2093116187635575,0.20561783333333333,0.06779006591644102,2.302950950992706,996300
ball_3,0.19327359117618725,0.20807058675799087,0.05301764832391754,2.340025220986231,2440500
ball_4,0.1677469348928974,0.23731872222222225,0.06800114013347121,2.3483465656772835,0
ball_5,0.23226972200795107,0.18063897712418298,0.04269932826014172,2.3042063340330277,6336600
car_1,0.1838991444094648,0.27334638747884943,0.05858566804516073,2.1473968550750278,2127700
car_2,0.176527403542062,0.2703559255499154,0.05756691611850576,2.19425797328058,3010900
car_3,0.18742881003795314,0.2243251582064298,0.05535332810085969,2.33193628392806,1732900
car_4,0.15660582715659993,0.2837388443316413,0.068084048461408,2.247324120027348,2115000
car_5,0.14717263866877972,0.2887010981387479,0.06701123672027678,2.2635643155621255,2000000
cat_1,0.19782760047956152,0.21282848936170212,0.05110834149484632,2.325863994240943,2583700
cat_2,0.1503233566053133,0.25819421799746517,0.07305092858965381,2.3633612731539144,0
cat_3,0.162421862596311,0.2363520015015015,0.06615651247728538,2.369557852775571,0
cat_4,0.13863478703648238,0.2732270855148342,0.0809854480648077,2.35861298876879,9093300
cat_5,0.18372754684008477,0.22622935185185186,0.054984805891543594,2.3029713298083956,2003900
dolphin_1,0.11526696516951253,0.29429025232774675,0.08001052896013054,2.3898116075925193,1994300
dolphin_2,0.14460033981498963,0.29799566666666666,0.07104013819997976,2.2076327322864207,1351500
dolphin_3,0.2244457989800255,0.17020221144278608,0.034072982554053305,2.4382157525753434,0
dolphin_4,0.14883730569948186,0.23211266666666666,0.07339735421223835,2.478057847053995,0
dolphin_5,0.2034969694233779,0.20362377253218886,0.04652319132917374,2.355613770157496,6683900
face_1,0.18699216076656364,0.2086736863006488,0.058948545698429305,2.3954261345817347,0
face_2,0.21487246134819601,0.18154808637765646,0.047724824062856046,2.420302571082443,6931200
face_3,0.22761737293519693,0.1656680531607278,0.04470776957118325,2.4824231170521105,0
face_4,0.2027991903941483,0.1841341626212093,0.0555405641255827,2.4890721920106578,6775200
face_5,0.20071261109136157,0.1860313076923077,0.05871027331232053,2.4804997152148855,3125100
lotus_1,0.13733608918952775,0.2312441193595342,0.07692533889874045,2.5267583632199715,3004700
lotus_2,0.19978662080692536,0.19479097619047617,0.05477130579353535,2.4248459768596384,1279700
lotus_3,0.42472103505843073,0.07746096174863387,0.021425022537830123,2.7082527840343795,0
lotus_4,0.15956886040235527,0.24695253984063747,0.07086877620909404,2.374770841330349,6546500
lotus_5,0.22683163687398436,0.18846419387755098,0.0438932888271974,2.310168242923468,3135300
pickles_1,0.8706145619811966,0.010618107595755082,0.00285896910393736,2.716903478066416,149438000
pickles_2,0.8836756030169517,0.011298666666666663,0.003727543702702295,2.741332621040018,218726200
pickles_3,0.565156670613064,0.048998677344170974,0.01906801919255727,2.5417577833483063,139923200
pickles_4,0.6948990588633832,0.028501656931317537,0.006893926602473547,2.6233444087813194,162640200
pickles_5,0.5950330877869635,0.043196285864925306,0.013640257756512602,2.541989041457944,90318600
