pickles_querry (6412800),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,0.4925577683900069,1.0148844632199863,0.4505395662690254,0.2204751622317841,1370600
airplane_2,0.4545716623513617,1.0908566752972766,0.49653373565089176,0.26227469108757,3005200
airplane_3,0.5044987899818312,0.9910024200363374,0.46438212480652136,0.20924411948160215,1016000
airplane_4,0.4955945616505649,1.0088108766988702,0.46306917454709645,0.2175825790349972,1843100
airplane_5,0.5761513923712341,0.8476972152575317,0.3995019283278443,0.159247528727112,2114400
ball_1,0.3615313518518519,1.2769372962962964,0.5782697518888809,0.36764430927529473,2992200
ball_2,0.7233431944444445,0.5533136111111112,0.16434943580771366,0.09801298775924783,1453100
ball_3,0.39214307648401825,1.2157138470319635,0.5699556080553712,0.32383301234813755,0
ball_4,0.39041069444444454,1.2191786111111111,0.5764216701799624,0.346627693283405,0
ball_5,0.5645105081699346,0.8709789836601307,0.37540880502904717,0.1517487233030498,7263500
car_1,0.39553605837563455,1.2089278832487311,0.5601946306731588,0.3233581565688006,1125800
car_2,0.3656217055837564,1.2687565888324874,0.5862179837015344,0.3734135768950379,2002900
car_3,0.3556108324873096,1.2887783350253808,0.5904896322498309,0.38190585150916956,1990500
car_4,0.3579072102368867,1.2841855795262267,0.5754363450748448,0.37492418595554344,1623100
car_5,0.3459782225042301,1.3080435549915397,0.5790982316434966,0.38698760653207187,2116200
cat_1,0.41223226241134764,1.175535475177305,0.5675488610036238,0.3226290150252777,1998400
cat_2,0.3709314676806083,1.2581370646387833,0.5623906496484774,0.3568021512068045,2827000
cat_3,0.37977467342342347,1.2404506531531534,0.5531073692234831,0.34188558648106404,2454900
cat_4,0.3761442849040139,1.247711430191972,0.5460720002048334,0.34612559547172156,1292400
cat_5,0.3809904444444444,1.2380191111111112,0.5857295368873551,0.35187416581513903,3132500
dolphin_1,0.34215920810055866,1.3156815837988827,0.5460955444047175,0.3703189901488505,2127200
dolphin_2,0.37186375,1.2562725000000001,0.5613919814105678,0.34293313913452933,1987600
dolphin_3,0.5382103030679934,0.9235793938640133,0.3992015859091762,0.17215368816974905,1010800
dolphin_4,0.4427468735632184,1.1145062528735632,0.447493877192053,0.26634308291910386,3227700
dolphin_5,0.4870519506437768,1.0258960987124464,0.46630712487221637,0.2196816244500188,2013800
face_1,0.3700087633366136,1.2599824733267728,0.5872067330513602,0.3679521132750522,2987200
face_2,0.355295711990073,1.289408576019854,0.5990953755395706,0.38128305900153153,400700
face_3,0.3667775478557765,1.2664449042884471,0.5840675136509257,0.3583822980957965,0
face_4,0.373907141606448,1.252185716787104,0.5869122530217233,0.36407578916340627,7256600
face_5,0.34793863461538455,1.304122730769231,0.5949730537411066,0.3896705458994072,0
lotus_1,0.36805541411935955,1.263889171761281,0.5603018956420498,0.35664538449696237,0
lotus_2,0.4093936207482994,1.1812127585034013,0.5494313596631929,0.2993293262911423,6773700
lotus_3,0.794209793715847,0.411580412568306,0.1366002816422897,0.04602415415808746,1122900
lotus_4,0.3740667267596282,1.2518665464807437,0.5655294047541051,0.35443740383571504,3005800
lotus_5,0.3880947097505668,1.2238105804988662,0.5912340795059535,0.34449063789619455,3141400
pickles_1,0.9722497114564302,0.055500577087139555,0.025659759874099155,0.0008988600591317269,138385100
pickles_2,0.9616059166666667,0.07678816666666667,0.029816388757788154,0.0014632764700219095,190678500
pickles_3,0.9020565799650029,0.19588684006999404,0.0632822836175938,0.011623399883972398,126227500
pickles_4,0.9279598037119412,0.1440803925761175,0.0574187332250607,0.006518304416980089,148901100
pickles_5,0.8902218147811315,0.21955637043773701,0.08759832548288851,0.010267508986002025,103615100
