face_cropped_query (3854900),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,0.6420120876694272,0.06812247691049525,0.02063336166537944,2.0515621572009244,1227200
airplane_cropped_2,0.6766868587049412,0.06401860050647686,0.01619073189548433,2.13484727136986,2342800
airplane_cropped_3,0.5689596679607302,0.08684164957878451,0.021593836466084156,1.974982861511756,1239100
airplane_cropped_4,0.5650026853993618,0.08975819364782406,0.02180965933236353,2.0157693886063517,749300
airplane_cropped_5,0.550463736664664,0.09304729010791911,0.023470525184755883,1.9447582348960852,2131300
ball_cropped_1,0.6149863273409043,0.0758388588097006,0.029599704572920677,2.085340287449184,1007000
ball_cropped_2,0.6324766243709647,0.0857982108997676,0.03406949418658581,2.360620875262028,1000900
ball_cropped_3,0.8982560151166528,0.02621501499334767,0.0038219142817046406,2.220273572297771,3143900
ball_cropped_4,0.6498531089214786,0.06728032568171925,0.0297497995814309,2.071155976635821,0
ball_cropped_5,0.8407968813401417,0.043104295724743294,0.009025216613028991,2.2677881430447457,0
car_cropped_1,0.562921051103074,0.08965773096010972,0.021766668055577906,2.010620892930684,0
car_cropped_2,0.5986173583226263,0.0822324934398736,0.018557645938662482,2.1123097989071984,0
car_cropped_3,0.48293140875575585,0.11929268352361894,0.03245931085160446,2.1077290230535084,0
car_cropped_4,0.6184898893388752,0.07507234688525052,0.019575679231327518,2.078425179021972,6392800
car_cropped_5,0.5747661872073853,0.08766000450082263,0.027885322068679275,2.0631568778720104,0
cat_cropped_1,0.7191406144540746,0.046811747522101606,0.013570903893789902,2.0565488380375045,2114500
cat_cropped_2,0.694784730171889,0.05193284384776295,0.020420001395974604,2.03501720175697,2837500
cat_cropped_3,0.7430048966563815,0.04590955487143264,0.015093023645388214,2.103996632504967,3168700
cat_cropped_4,0.6389049529435119,0.06888849596084771,0.0309409351623481,2.044872023993132,2003700
cat_cropped_5,0.7847211923799036,0.03799608216948572,0.007452811396982911,2.1280744819513773,3002700
dolphin_cropped_1,0.6159810739638947,0.0797529933757572,0.02115321452293169,2.1351533041871282,1315600
dolphin_cropped_2,0.7401094332508209,0.048703952858180855,0.011683526571355183,2.137263339495208,0
dolphin_cropped_3,0.8523488747072541,0.04793914453680184,0.013145309753477517,2.3327721982342737,0
dolphin_cropped_4,0.6236265290929792,0.07746945117675984,0.02767376755906451,2.1311020873652318,0
dolphin_cropped_5,0.8022688428798557,0.03266985237051062,0.005164018573029027,2.1257352137190626,0
face_cropped_1,0.8922110855170882,0.023435245858352903,0.004101878387142371,2.1943795339369756,8679500
face_cropped_2,0.9452055900202474,0.01925451908545098,0.0028825559481475654,2.232491568639896,2003800
face_cropped_3,0.9312082655505294,0.02198942023264047,0.004731011033934884,2.232980336904791,1999600
face_cropped_4,0.9160926495985813,0.024984448532600692,0.004168932932024665,2.232392408899701,1302900
face_cropped_5,0.9248922818953403,0.020008390958769894,0.0025975338114543594,2.212927305836441,0
lotus_cropped_1,0.7215803850539084,0.04883034260613553,0.02172532196695434,2.083409746658742,0
lotus_cropped_2,0.7970693927835717,0.03772887666435733,0.013678003070100166,2.1509730304577483,6516200
lotus_cropped_3,0.9577350475382391,0.04043850267563994,0.01045126946259831,2.3926126022822403,0
lotus_cropped_4,0.7829703121041469,0.04523630638245283,0.015031507638319317,2.1941042410116527,0
lotus_cropped_5,0.9128756817088639,0.025939606279084558,0.005457147194704502,2.2325858676612627,0
pickles_cropped_1,0.9370319813643513,0.06175030052045953,0.021884861162460564,2.5472980245122137,116095000
pickles_cropped_2,0.9566278396609688,0.04193418370446607,0.013485516646885578,2.388351526322944,72966900
pickles_cropped_3,0.9252765868451748,0.04840574295495715,0.015134501208460065,2.4043115892336364,123410100
pickles_cropped_4,0.9253537976807052,0.044418223394335696,0.012838673337263466,2.3740805893067227,90344700
pickles_cropped_5,0.9384435759121095,0.05189738564274038,0.016566426762346407,2.452020214657168,104032400
