,airplane_1,airplane_2,airplane_3,airplane_4,airplane_5,ball_1,ball_2,ball_3,ball_4,ball_5,car_1,car_2,car_3,car_4,car_5,cat_1,cat_2,cat_3,cat_4,cat_5,dolphin_1,dolphin_2,dolphin_3,dolphin_4,dolphin_5,face_1,face_2,face_3,face_4,face_5,lotus_1,lotus_2,lotus_3,lotus_4,lotus_5,pickles_1,pickles_2,pickles_3,pickles_4,pickles_5
intersection,0.9074429863434066,0.8918691641125471,0.9098495553384187,0.9285349455986982,0.8255147139173755,0.8036919486773848,0.602482671469823,0.7663792919104179,0.7828313729974937,0.7110181581509867,0.8934813900185894,0.8467874450926346,0.7983064171684104,0.7892840937242444,0.7870506535912143,0.7689333902704453,0.7124237535345064,0.7664041904499921,0.7705472945796693,0.7387878256505067,0.7758260823593094,0.805719431697973,0.7757049373027933,0.7668324541841782,0.8671059436851267,0.735223077315527,0.7628109220579791,0.7210657541362493,0.761686670521181,0.7100173038881332,0.7164441661163987,0.8136582130064479,0.6059618217498431,0.7081718880261325,0.7728919256755509,0.38895623369667126,0.37157783008119627,0.45735666305999645,0.44029410729233937,0.4330441424755314
norms1,0.18511402731318677,0.21626167177490596,0.18030088932316252,0.1429301088026037,0.34897057216524874,0.3926161026452304,0.7950346570603539,0.46724141617916426,0.4343372540050128,0.5779636836980268,0.21303721996282113,0.30642510981473103,0.4033871656631791,0.4214318125515114,0.42589869281757164,0.4621332194591097,0.5751524929309875,0.46719161910001605,0.45890541084066166,0.5224243486989864,0.4483478352813812,0.38856113660405406,0.4485901253944134,0.46633509163164366,0.2657881126297465,0.529553845368946,0.4743781558840419,0.5578684917275012,0.47662665895763817,0.5799653922237334,0.5671116677672028,0.3726835739871041,0.7880763565003138,0.5836562239477349,0.45421614864889837,1.2220875326066576,1.2568443398376077,1.0852866738800069,1.1194117854153212,1.1339117150489373
norms2,0.05051391567552091,0.04935046210400424,0.06908883008803492,0.03653916855762365,0.15658447982035215,0.1282897924842818,0.3634596364156999,0.09895300643216189,0.11252500025653589,0.2140637310230339,0.07278613320458188,0.12664660922790705,0.14610696304289514,0.14038645450601764,0.14669413858959288,0.1619653111105276,0.17095810790004237,0.14564158806960156,0.12464629374951107,0.16455065921335463,0.13653589120911408,0.10893422784213616,0.15355329185567143,0.08641537007959729,0.061447513670622,0.15004413291494564,0.143847453764564,0.1305352825568847,0.1375595198383981,0.1617452148078116,0.15074485405494042,0.06692310061857111,0.39011619599787284,0.14987845634492578,0.10186203996791118,0.6163564690068062,0.6311159511083386,0.549460856157082,0.5628709485512559,0.5740782061719842
bhattacharyya,0.007321407318206338,0.00935329266747547,0.005771644918079988,0.005366378752001843,0.019129371667134073,0.036341415508794946,0.11582633777959195,0.03933157189356865,0.034389616204521425,0.05617500542992856,0.008357121013146545,0.018690320888186583,0.02892924499263299,0.031567197305521905,0.032738750537475145,0.04293823264956965,0.0619378402437129,0.04073211070674064,0.04050359282603866,0.05501754495845536,0.036354377700807405,0.02590339254891862,0.03523676321037019,0.05531153510074329,0.016569400972245678,0.051485517473756987,0.04113546119234579,0.054760794498114725,0.040059603197256474,0.06049700397032289,0.06413328918681402,0.027879533784809934,0.10138172437789161,0.06175675969661538,0.035073858849180524,0.30826113764388147,0.3375305124227505,0.24213369567709006,0.2556984234445927,0.26014169625870925
MDPA,3.7716454362650453,7.296117527569408,6.393497007502383,1.2678982739219813,19.332744528245176,23.9876387823109,33.86615381028167,13.260223728234722,13.65104065719377,22.48641343134732,10.318667935375661,15.0561156388629,9.069710185184782,22.995032728541403,20.2702273139898,12.875518282835099,23.126631024559213,14.742338310091545,19.381719682058847,15.541470247432445,16.76254645870239,10.207889162878464,20.88072553719381,6.007753985870518,3.9732868785263076,17.759408169231,12.333144987209423,14.434204319224307,12.516021188629477,15.331551994240906,15.026014515090576,7.562995461157271,56.80911944476865,20.43796441531811,11.26030119793008,86.48986307417498,88.13990837509644,77.24780396304898,79.36099020868093,80.70328625355268
cosineSimilarity,0.08302909443285879,0.06816409981466369,0.09203955503555597,0.08204966819548717,0.11106017148628532,0.048451229644030626,0.1576600038755627,0.05847191004708509,0.05120132319757217,0.12030038077309815,0.06237391508957276,0.04785995457396781,0.04336088564266574,0.04358730685337481,0.04320673817703846,0.04132655015241019,0.03656128870925972,0.04267734970582556,0.04872824430474656,0.04042558337277724,0.04798143888010684,0.0550069381903346,0.1059240099547056,0.06974106732371585,0.08039788685170303,0.041533403030831265,0.04334930311806395,0.049925150904965826,0.04421239116084167,0.039217413515380745,0.043303281561736615,0.06760988562163009,0.16178331787430653,0.042201660806811356,0.056334194054440824,0.21620540735731875,0.21944728832399388,0.20258315080200212,0.2049007463734951,0.20738382485332488
hammingDistance,10,15,13,9,10,1,9,2,1,1,15,13,14,10,11,16,6,14,0,15,5,14,6,3,9,7,5,7,3,5,0,4,17,1,15,23,22,20,21,21
