strawberry_cropped_query (1154789300),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,8.465739145874977,55.06852185726166,5.4395937994122505,36.900212317705154,0
airplane_cropped_2,7.166796334087849,57.66640746593475,5.794431135058403,44.70321726799011,0
airplane_cropped_3,5.885509520769119,60.22898054122925,5.958197548985481,42.92680299282074,0
airplane_cropped_4,11.668476313352585,48.66304665803909,5.487889111042023,24.94658499956131,0
airplane_cropped_5,5.201450198888779,61.59709882736206,5.956545323133469,45.327270209789276,0
ball_cropped_1,4.296853054314852,63.406293749809265,6.066612616181374,55.24135661125183,0
ball_cropped_2,11.17358449101448,49.65283131599426,3.2566286623477936,27.610735952854156,0
ball_cropped_3,3.2245967015624046,65.55080723762512,6.135069191455841,65.14545381069183,0
ball_cropped_4,5.134039431810379,61.73192071914673,6.0451735854148865,49.142019391059875,0
ball_cropped_5,9.49197369813919,53.01605272293091,4.508438900113106,33.46497023105621,0
car_cropped_1,2.814405929297209,66.37118852138519,6.087650761008263,81.50797235965729,0
car_cropped_2,2.7262289616046473,66.54754114151001,6.093260630965233,93.74188739061356,0
car_cropped_3,1.5465799067169428,68.90683948993683,6.088537305593491,103.1377683877945,0
car_cropped_4,4.3664608262479305,63.26707887649536,6.0680785328149796,60.03332841396332,0
car_cropped_5,3.7429275158792734,64.5141453742981,6.075191766023636,68.52360910177231,0
cat_cropped_1,5.378133982419968,61.24373114109039,6.070753738284111,48.52611684799194,0
cat_cropped_2,7.987130634486675,56.02574038505554,5.949589386582375,38.06381297111511,0
cat_cropped_3,5.26023655384779,61.47952711582184,6.094557285308838,72.99884277582169,0
cat_cropped_4,8.229666255414486,55.54066622257233,5.6475584879517555,34.82850468158722,0
cat_cropped_5,8.213820740580559,55.57235860824585,6.002831548452377,35.17024564743042,0
dolphin_cropped_1,8.102230425924063,55.795539021492004,5.9293452352285385,36.035380363464355,0
dolphin_cropped_2,2.740729633718729,66.51854026317596,6.22584442794323,69.89448130130768,0
dolphin_cropped_3,2.7033941466361284,66.5932115316391,9.36119131743908,68.25268894433975,0
dolphin_cropped_4,4.133192567154765,63.7336163520813,5.918768554925919,52.91313052177429,0
dolphin_cropped_5,2.1344095810782164,67.7311806678772,9.062423184514046,111.31038796901703,0
face_cropped_1,6.360138941556215,59.27972185611725,6.058221399784088,54.88412433862686,0
face_cropped_2,5.8404798824340105,60.319040298461914,6.062514096498489,60.557426035404205,0
face_cropped_3,7.396592058241367,57.20681667327881,6.0477752685546875,39.7967204451561,0
face_cropped_4,5.176672115921974,61.64665603637695,6.067441940307617,60.0860755443573,0
face_cropped_5,5.341051880270243,61.31789577007294,6.063920632004738,64.25391739606857,0
lotus_cropped_1,7.482327200472355,57.03534543514252,6.003158628940582,37.07343417406082,0
lotus_cropped_2,5.076073338277638,61.84785342216492,6.0675666481256485,69.91493648290634,0
lotus_cropped_3,5.655071269720793,60.689857006073,10.823965847492218,54.67883890867233,0
lotus_cropped_4,5.016322262585163,61.967355370521545,6.053370386362076,49.12785762548447,0
lotus_cropped_5,2.9363355673849583,66.12732887268066,6.109033316373825,68.33685660362244,0
pickles_cropped_1,4.157540909945965,63.684919118881226,6.987428903579712,46.31782120466232,0
pickles_cropped_2,4.672403797507286,62.655192732810974,7.096436396241188,62.21176379919052,0
pickles_cropped_3,5.4988372176885605,61.00232541561127,6.027616210281849,37.41514694690704,0
pickles_cropped_4,4.5626849085092545,62.87463128566742,6.369696170091629,47.0578693151474,0
pickles_cropped_5,3.782296661287546,64.43540751934052,6.4944177120924,51.3062938451767,0
