ball_query (1233253700),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,8.342199116945267,55.31560146808624,5.849849805235863,34.233496963977814,0
airplane_2,10.36283341050148,51.27433466911316,4.651578471064568,28.286475747823715,0
airplane_3,11.769704222679138,48.46059203147888,5.84581746160984,25.72357177734375,0
airplane_4,11.654754400253296,48.69049072265625,6.563337057828903,24.623608499765396,0
airplane_5,6.274634949862957,59.45073080062866,8.386655688285828,41.673871636390686,0
ball_1,13.446787387132645,45.106425166130066,1.4968801438808441,19.567898273468018,0
ball_2,7.438747137784958,57.12250602245331,15.317301869392395,35.053196370601654,0
ball_3,8.349660575389862,55.3006786108017,1.7234677709639072,34.16447997093201,0
ball_4,10.108183711767197,51.78363239765167,1.677157461643219,28.922067284584045,0
ball_5,9.029413729906082,53.94117200374603,8.788117527961731,31.51431953907013,0
car_1,7.476505413651466,57.04698967933655,2.4023514203727245,37.096838533878326,0
car_2,9.03996729850769,53.9200656414032,1.5967035815119743,30.713598549365997,0
car_3,7.7617180198431015,56.47656428813934,1.579227950423956,34.93074458837509,0
car_4,10.544742301106453,50.91051626205444,1.537156529724598,26.735413551330566,0
car_5,10.096688836812973,51.806623101234436,1.5235888548195362,28.98564922809601,0
cat_1,10.564610347151756,50.87078011035919,1.9807886965572834,28.29399961233139,0
cat_2,16.13019335269928,39.739613473415375,1.42567565664649,16.32241404056549,0
cat_3,7.004189923405647,57.99161982536316,1.971643716096878,37.77109581232071,0
cat_4,13.342613235116005,45.31477379798889,1.7087609078735113,22.848265200853348,0
cat_5,15.152738004922867,41.69452345371246,1.524672769010067,17.96015629172325,0
dolphin_1,12.025976806879044,47.94804799556732,1.5760443806648254,21.10280790925026,0
dolphin_2,7.995385944843292,56.009228229522705,1.9050611443817616,31.54595273733139,0
dolphin_3,5.128822684288025,61.74235558509827,10.468523919582367,48.522670567035675,0
dolphin_4,7.744323745369911,56.51135277748108,4.673157140612602,34.758473336696625,0
dolphin_5,5.7988907769322395,60.40221905708313,10.095503568649292,50.330929696559906,0
face_1,11.823618590831757,48.3527626991272,1.5044241435825825,23.41099363565445,0
face_2,9.800786957144737,52.39842653274536,1.5515267252922058,30.010590255260468,0
face_3,12.655717819929123,46.68856489658356,1.4775146692991257,20.332511365413666,0
face_4,11.518993988633156,48.96201205253601,1.556071512401104,23.18504524230957,0
face_5,9.671188116073608,52.65762400627136,1.5361236743628979,28.159955382347107,0
lotus_1,13.376406729221344,45.24718761444092,1.4947950579226017,18.139004290103912,0
lotus_2,9.014265477657318,53.97147011756897,2.2527947425842285,32.432748913764954,0
lotus_3,5.365624308586121,61.26875150203705,21.16223782300949,51.40717309713364,0
lotus_4,10.59150618314743,50.8169881105423,1.5475567169487476,24.462207943201065,0
lotus_5,7.700647547841072,56.59870529174805,1.686738733202219,33.77297854423523,0
pickles_1,3.7610595375299454,64.4778813123703,5.5215780809521675,48.343321442604065,0
pickles_2,2.3311375230550766,67.33772504329681,8.282025009393692,61.932809591293335,0
pickles_3,6.017003610730171,59.96599268913269,4.989801645278931,34.78296250104904,0
pickles_4,4.497711181640625,63.00457751750946,4.913257718086243,42.24506765604019,0
pickles_5,4.748626075685024,62.50274848937988,5.793180830776691,40.99978822469711,0
