face_cropped_query (1154789300),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,12.899513125419617,46.20097374916077,0.9731780448928475,23.8354454934597,0
airplane_cropped_2,13.99193561077118,44.01612997055054,0.6295964429154992,22.07943883538246,0
airplane_cropped_3,10.840414866805077,50.31917107105255,0.8005995117127895,30.35901215672493,0
airplane_cropped_4,11.465687975287437,49.06862449645996,0.9776139557361603,30.098299384117126,0
airplane_cropped_5,11.639424994587898,48.72115087509155,0.5969168813899159,28.563906610012054,0
ball_cropped_1,10.92444896697998,50.151103019714355,0.7072060508653522,29.984609723091125,0
ball_cropped_2,7.930528998374939,56.13894164562225,5.916523486375809,38.57856911420822,0
ball_cropped_3,13.4953932762146,45.00921428203583,0.9469803087413311,20.382049024105072,0
ball_cropped_4,15.186808973550797,41.62638223171234,0.435885357670486,19.50957700610161,0
ball_cropped_5,8.17341485619545,55.6531708240509,4.943433448672295,37.46427720785141,0
car_cropped_1,9.653440549969673,52.69312024116516,0.6778341298922896,32.71745401620865,0
car_cropped_2,7.583224356174469,56.83355164527893,0.7850264348089695,36.44122838973999,0
car_cropped_3,11.311776414513588,49.376447677612305,0.6116596218198538,27.288499355316162,0
car_cropped_4,8.646191462874413,54.707616686820984,0.5845605814829469,36.88899123668671,0
car_cropped_5,7.425394505262375,57.14921188354492,0.6833906592801213,40.517461240291595,0
cat_cropped_1,14.454984098672867,43.090031921863556,0.6350502884015441,20.326617270708084,0
cat_cropped_2,13.495069742202759,45.00986075401306,0.48959387466311455,20.974820017814636,0
cat_cropped_3,11.575288265943527,48.84942436218262,0.8672083523124456,26.37320324778557,0
cat_cropped_4,12.136180996894836,47.72763907909393,0.8368364395573735,24.78871101140976,0
cat_cropped_5,12.258253872394562,47.48349320888519,0.8824768923223019,25.005230128765106,0
dolphin_cropped_1,6.304922513663769,59.390156388282776,0.8523962190374732,45.60052341222763,0
dolphin_cropped_2,7.0619030222296715,57.87619483470917,1.44993082806468,39.13259208202362,0
dolphin_cropped_3,7.366857394576073,57.26628589630127,7.379010729491711,44.39922893047333,0
dolphin_cropped_4,9.5418191999197,52.916361570358276,0.6389104872941971,35.358931720256805,0
dolphin_cropped_5,7.741716556251049,56.51656687259674,6.795357443392277,42.13057565689087,0
face_cropped_1,19.89348456263542,32.21303170919418,0.3560500368475914,11.545543387532234,0
face_cropped_2,19.35830733180046,33.28338581323624,0.3843105239793658,12.586059868335724,0
face_cropped_3,18.884617626667023,34.2307648062706,0.4243425838649273,12.998737528920174,0
face_cropped_4,15.237861603498459,41.52427691221237,0.5599530655890703,18.37104442715645,0
face_cropped_5,18.630119770765305,34.73976022005081,0.4806240601465106,13.797382846474648,0
lotus_cropped_1,11.99544894695282,48.00910246372223,0.4897342724725604,28.67093735933304,0
lotus_cropped_2,12.284016519784927,47.431967318058014,0.5896319989115,27.70963481068611,0
lotus_cropped_3,10.794185787439346,50.41162884235382,9.18461063504219,29.58774435520172,0
lotus_cropped_4,14.479129910469055,43.04174065589905,0.4803527006879449,21.242645263671875,0
lotus_cropped_5,15.817578613758087,40.36484467983246,0.7149710208177567,16.46881230175495,0
pickles_cropped_1,11.002181887626648,49.995636224746704,3.653205245733261,19.872278332710266,0
pickles_cropped_2,10.327348798513412,51.34530293941498,3.737801529467106,22.765661746263504,0
pickles_cropped_3,12.742056399583817,46.5158873796463,1.7672777324914932,16.873382925987244,0
pickles_cropped_4,13.442852228879929,45.11429560184479,2.126469250768423,16.323468059301376,0
pickles_cropped_5,10.432118594646454,51.1357626914978,2.767044924199581,21.21517589688301,0
