dolphin_cropped_query (1154789300),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,11.07584273815155,49.84831511974335,1.154962556436658,27.573965579271317,0
airplane_cropped_2,15.12358683347702,41.75282669067383,0.7769368747249246,18.090880811214447,0
airplane_cropped_3,10.182272627949715,51.63545489311218,0.9604265615344048,32.620489716529846,0
airplane_cropped_4,12.274490505456924,47.451019287109375,1.0917597021907568,25.269970297813416,0
airplane_cropped_5,9.629979908466339,52.740039467811584,0.8134625284001231,33.57160750031471,0
ball_cropped_1,12.044299900531769,47.91139996051788,0.8316437862813473,26.345044523477554,0
ball_cropped_2,10.011684268712997,51.97663104534149,5.9015002101659775,29.954542577266693,0
ball_cropped_3,9.275358512997627,53.44928312301636,1.1314511373639107,30.13474404811859,0
ball_cropped_4,11.005390107631683,49.98922038078308,0.7377103921025991,29.77069190144539,0
ball_cropped_5,6.80364977568388,58.392701387405396,4.95876382291317,42.94864511489868,0
car_cropped_1,10.626437857747078,50.74712586402893,0.830882053822279,28.663962930440903,0
car_cropped_2,8.688853524625301,54.62229239940643,0.9086124263703823,34.40373969078064,0
car_cropped_3,8.62843032181263,54.743139028549194,0.849101897329092,36.82612323760986,0
car_cropped_4,10.899989977478981,50.20001971721649,0.7327279653400183,30.090076357126236,0
car_cropped_5,11.31678681075573,49.366427183151245,0.7542390208691359,27.75738087296486,0
cat_cropped_1,12.676425606012344,46.64714872837067,0.8499424811452627,25.242037177085876,0
cat_cropped_2,16.53509721159935,38.929805874824524,0.6311489967629313,15.390658050775528,0
cat_cropped_3,12.651068523526192,46.69786286354065,0.9511035159230232,23.864197999238968,0
cat_cropped_4,12.707949489355087,46.58410048484802,0.856065864674747,23.622632414102554,0
cat_cropped_5,17.198333114385605,37.60333466529846,0.6520631713792682,14.712723508477211,0
dolphin_cropped_1,18.102123975753784,35.795753955841064,0.6369369719177485,13.27250450849533,0
dolphin_cropped_2,11.202100560069084,49.595799922943115,1.4107341431081295,25.768930166959763,0
dolphin_cropped_3,4.418736390769482,63.162527561187744,7.4052387326955795,64.00244855880737,0
dolphin_cropped_4,6.888834483921528,58.222331166267395,0.876652006059885,45.611821949481964,0
dolphin_cropped_5,4.917541980743408,62.16491675376892,6.825616456568241,64.3248256444931,0
face_cropped_1,10.06075544655323,51.87848925590515,0.8041338035836816,33.24994257092476,0
face_cropped_2,9.780787229537964,52.4384263753891,0.8113519344478846,34.17361032962799,0
face_cropped_3,12.75062309205532,46.49875372648239,0.7156335823237896,23.946800157427788,0
face_cropped_4,8.867935471236706,54.26412892341614,0.851095606572926,37.16255450248718,0
face_cropped_5,8.609086722135544,54.78182566165924,0.8781065559014678,38.8435255587101,0
lotus_cropped_1,10.375864401459694,51.248271226882935,0.7508746534585953,29.993254780769348,0
lotus_cropped_2,6.7583120837807655,58.483376026153564,0.9034602660685778,45.72716677188873,0
lotus_cropped_3,8.308837845921516,55.38232445716858,9.205284848809242,43.37069684267044,0
lotus_cropped_4,10.287304401397705,51.42539167404175,0.7813484510406852,30.832940846681595,0
lotus_cropped_5,12.351142197847366,47.29771673679352,0.9315651766955853,20.50060537457466,0
pickles_cropped_1,9.586253851652145,52.827491879463196,3.6708159297704697,26.273006975650787,0
pickles_cropped_2,6.73152469098568,58.536951541900635,3.7982717230916023,35.95728397369385,0
pickles_cropped_3,12.34960113465786,47.300798654556274,1.8003429844975471,18.40226250886917,0
pickles_cropped_4,12.452303916215897,47.09539270401001,2.163858477026224,18.364836663007736,0
pickles_cropped_5,11.422064453363419,49.155871987342834,2.7635363899171352,20.45699653029442,0
