pickles_cropped_querry (1154789300),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,10.067937850952148,51.86412465572357,2.2195866852998734,25.22710955142975,0
airplane_cropped_2,10.581505745649338,50.83698856830597,2.0635644048452377,23.159329026937485,0
airplane_cropped_3,10.843224287033081,50.31355142593384,2.0760927870869637,22.963770925998688,0
airplane_cropped_4,7.828504428267479,56.3429913520813,2.244975682348013,31.71740072965622,0
airplane_cropped_5,10.32324467599392,51.353511452674866,2.001475542783737,23.984247654676437,0
ball_cropped_1,10.63506244122982,50.729875445365906,1.936411291360855,24.025017589330673,0
ball_cropped_2,9.682314023375511,52.63537240028381,5.8486695140600204,27.787441432476044,0
ball_cropped_3,11.730939209461212,48.538121819496155,2.107918184250593,19.78941547870636,0
ball_cropped_4,9.703339889645576,52.59332072734833,2.0202421322464943,24.845572113990784,0
ball_cropped_5,10.181154698133469,51.637691378593445,5.253004260361195,26.288301050662994,0
car_cropped_1,9.301942810416222,53.396116495132446,2.0127610750496387,27.9240083694458,0
car_cropped_2,8.017855003476143,55.96428978443146,2.052124060690403,30.67668253183365,0
car_cropped_3,8.7731644064188,54.4536714553833,2.0231021232903004,29.217567950487137,0
car_cropped_4,7.3270097225904465,57.345980167388916,2.0330720767378807,34.2589208483696,0
car_cropped_5,6.800171300768852,58.399656653404236,2.045958533883095,36.2360982298851,0
cat_cropped_1,12.032220602035522,47.93555819988251,1.9895231798291206,19.128556489944458,0
cat_cropped_2,10.530214101076126,50.9395717382431,2.0253427401185036,22.660213828086853,0
cat_cropped_3,8.82429724931717,54.35140538215637,2.119587790220976,26.541209518909454,0
cat_cropped_4,7.523700267076492,56.95259988307953,2.1508518792688847,32.09787607192993,0
cat_cropped_5,9.771417140960693,52.4571658372879,2.1463192962110043,25.12621557712555,0
dolphin_cropped_1,5.635851718485355,60.72829735279083,2.1189988031983376,40.46671289205551,0
dolphin_cropped_2,7.636056751012802,56.72788691520691,2.3286850042641163,32.790118515491486,0
dolphin_cropped_3,8.02396185696125,55.952075719833374,6.820730909705162,29.383578181266785,0
dolphin_cropped_4,7.501552790403366,56.9968945980072,2.0457829125225544,31.06765329837799,0
dolphin_cropped_5,9.205464959144592,53.589070200920105,6.24532975256443,25.25468996167183,0
face_cropped_1,12.321975439786911,47.35604977607727,2.024296138435602,17.23218733072281,0
face_cropped_2,12.57993659377098,46.84012758731842,2.0060855858027935,17.28963991999626,0
face_cropped_3,12.781066477298737,46.437867641448975,1.9925632774829865,17.178493410348892,0
face_cropped_4,12.54745328426361,46.90509355068207,2.0061871893703938,17.23727411031723,0
face_cropped_5,11.664694726467133,48.67061126232147,2.0073784328997135,18.717046827077866,0
lotus_cropped_1,7.92232021689415,56.15535891056061,2.025332346558571,30.634766221046448,0
lotus_cropped_2,10.26340563595295,51.47318923473358,2.0378014780580997,24.145962327718735,0
lotus_cropped_3,10.043679267168045,51.912641167640686,9.036259666085243,26.85432267189026,0
lotus_cropped_4,8.154249094426632,55.69150233268738,2.0309645757079124,30.322514712810516,0
lotus_cropped_5,12.731260493397713,46.5374801158905,2.0315710343420506,17.949297338724136,0
pickles_cropped_1,22.947667717933655,26.10466593503952,2.9061069563031197,4.822440594434738,0
pickles_cropped_2,18.48577693104744,35.028446435928345,3.767825722694397,9.356741532683372,0
pickles_cropped_3,23.81719160079956,24.36561769247055,1.6053614430129528,4.481597796082497,0
pickles_cropped_4,21.200912833213806,29.598175823688507,2.306347530335188,6.777296468615532,0
pickles_cropped_5,19.414185762405396,33.1716291308403,2.404055070132017,7.461261600255966,0
