car_query (1233253700),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,10.528041996061802,50.94391632080078,5.723444730043411,28.892132610082626,0
airplane_2,8.476969584822655,55.046061754226685,4.540678039193153,33.7784857749939,0
airplane_3,8.965111445635557,54.06977641582489,5.753791943192482,36.47889721393585,0
airplane_4,6.59090118855238,58.81819784641266,6.490399822592735,40.52113860845566,0
airplane_5,5.958612263202667,60.08277630805969,8.310665354132652,41.741847574710846,0
ball_1,9.161845996975899,53.676308274269104,0.9438659269362688,30.473993182182312,0
ball_2,3.4318378418684006,65.1363240480423,15.367639034986496,61.07363212108612,0
ball_3,6.174835130572319,59.65033030509949,1.2640078477561474,40.77786433696747,0
ball_4,10.562855884432793,50.87428915500641,1.2134168595075607,25.068120539188385,0
ball_5,5.837619833648205,60.3247606754303,8.74008233845234,41.53580343723297,0
car_1,13.490454733371735,45.01909053325653,1.988440414890647,17.304251074790955,0
car_2,16.33210551738739,39.335790038108826,0.821714261546731,13.860899046063423,0
car_3,18.62594300508499,34.74811524152756,0.6693388586863875,11.205021679401398,0
car_4,18.92203313112259,34.15593409538269,0.6323953550308943,12.489769667387009,0
car_5,15.201890677213669,41.596219182014465,0.8522051386535168,16.408166885375977,0
cat_1,10.457429856061935,51.08514070510864,1.5884160939604044,26.170373678207397,0
cat_2,8.869985178112984,54.26003015041351,0.9782326016575098,31.226690411567688,0
cat_3,7.798205941915512,56.40358865261078,1.588791310787201,35.3786718249321,0
cat_4,6.808354660868645,58.38328981399536,1.5575830414891243,41.807374119758606,0
cat_5,8.425672635436058,55.14865505695343,1.370175987482071,33.065984547138214,0
dolphin_1,2.1932468190789223,67.61350631713867,1.324588879942894,80.69856083393097,0
dolphin_2,8.839842170476913,54.32031524181366,1.414319522678852,29.442205876111984,0
dolphin_3,3.546735040843487,64.90653038024902,10.436434581875801,60.685752749443054,0
dolphin_4,4.371132135391235,63.25773584842682,4.6240125223994255,51.74884605407715,0
dolphin_5,5.8881813660264015,60.22363638877869,10.030427396297455,48.37405526638031,0
face_1,9.545324429869652,52.90935134887695,0.9651433397084475,27.459834933280945,0
face_2,15.39002925157547,41.219941198825836,0.773141541518271,15.710008680820465,0
face_3,10.027060404419899,51.94587981700897,1.0140162948518991,27.49003791809082,0
face_4,11.889877364039421,48.22024583816528,0.9295026324689388,23.70066711306572,0
face_5,8.250407710671425,55.499184370040894,1.0141608491539955,30.16206556558609,0
lotus_1,5.636311501264572,60.72737741470337,1.0108823981136084,45.23901343345642,0
lotus_2,14.790903121232986,42.41819357872009,1.4665841907262802,17.11739158630371,0
lotus_3,5.3561030477285385,61.2877938747406,21.131822526454926,47.80795758962631,0
lotus_4,4.818374566733837,62.363251090049744,1.0946697164326906,51.39396679401398,0
lotus_5,7.5254580825567245,56.94908368587494,1.2103286664932966,34.61171358823776,0
pickles_1,4.3119268119335175,63.376147508621216,5.388925261795521,39.2246333360672,0
pickles_2,3.420202948153019,65.15959453582764,8.142993822693825,44.745288610458374,0
pickles_3,6.069507874548435,59.860984683036804,4.869650907814503,33.44375425577164,0
pickles_4,5.309130400419235,61.381739139556885,4.768147565424442,36.209463357925415,0
pickles_5,5.121333286166191,61.757333159446716,5.659628286957741,37.558787405490875,0
