airplane_cropped_query (1154789300),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,11.335406601428986,49.32918733358383,0.8270894531160593,30.78450107574463,0
airplane_cropped_2,13.908233731985092,44.183533012866974,0.6487002316862345,23.971219331026077,0
airplane_cropped_3,12.747445851564407,46.505108296871185,0.7940578190609813,26.194086998701096,0
airplane_cropped_4,13.929922565817833,44.140155136585236,0.7486121878027916,22.58568772673607,0
airplane_cropped_5,11.19676949083805,49.60646176338196,0.7741653257980943,28.64583656191826,0
ball_cropped_1,10.434566229581833,51.130868315696716,0.9771931786090136,31.018052577972412,0
ball_cropped_2,9.854640781879425,52.29071915149689,5.682147338986397,29.63113409280777,0
ball_cropped_3,8.965926982462406,54.068146109580994,1.2099524773657322,34.13075768947601,0
ball_cropped_4,9.352381765842438,53.295236349105835,0.8504877956584096,35.28683561086655,0
ball_cropped_5,8.401141837239265,55.19771683216095,4.770966649055481,35.22068852186203,0
car_cropped_1,7.725847437977791,56.54830598831177,0.9765018187463284,42.26456838846207,0
car_cropped_2,4.996478643268347,62.00704300403595,1.083804178982973,55.6770755648613,0
car_cropped_3,5.059449065476656,61.88110280036926,1.012702602893114,55.39720183610916,0
car_cropped_4,8.117562428116798,55.76487576961517,0.891829639673233,40.422839283943176,0
car_cropped_5,7.422588288784027,57.154823660850525,0.9379293899983168,42.47459787130356,0
cat_cropped_1,10.079788476228714,51.84042298793793,0.957475476898253,32.30463492870331,0
cat_cropped_2,13.166528582572937,45.66694104671478,0.7079766280949116,23.050593078136444,0
cat_cropped_3,7.495682142674923,57.00863540172577,1.1065586991608143,40.99200004339218,0
cat_cropped_4,10.473212584853172,51.05357587337494,0.9027047259733081,30.328396260738373,0
cat_cropped_5,11.424942925572395,49.15011477470398,0.9918673913925886,27.174360364675522,0
dolphin_cropped_1,10.86696244776249,50.266074895858765,0.9259581752121449,28.210070878267288,0
dolphin_cropped_2,6.505617156624794,58.98876619338989,1.622266098856926,46.360732674598694,0
dolphin_cropped_3,4.887140069156885,62.22572040557861,7.400032117962837,57.61418640613556,0
dolphin_cropped_4,6.7664055079221725,58.46718943119049,0.9349584635347128,44.37749481201172,0
dolphin_cropped_5,6.198360126465559,59.60328030586243,6.82545629888773,49.14221376180649,0
face_cropped_1,10.645226582884789,50.70954716205597,0.8621329823508859,30.353859424591064,0
face_cropped_2,10.08710902929306,51.82578253746033,0.8717594929039478,34.500323712825775,0
face_cropped_3,10.606340274214745,50.78731918334961,0.8737916490063071,30.62735676765442,0
face_cropped_4,9.308066576719284,53.383867502212524,0.9347661416977644,33.26592928171158,0
face_cropped_5,9.189777985215187,53.62044382095337,0.9548775646835566,34.39657247066498,0
lotus_cropped_1,10.454711511731148,51.090577483177185,0.837349571287632,30.998579531908035,0
lotus_cropped_2,10.686326891183853,50.62734651565552,0.8715059421956539,32.25489139556885,0
lotus_cropped_3,8.63293019682169,54.73413836956024,9.197076871991158,41.334434390068054,0
lotus_cropped_4,8.285459846258163,55.42908000946045,0.899415073916316,38.829624354839325,0
lotus_cropped_5,9.473841667175293,53.05231845378876,1.0684951059520245,32.82840716838837,0
pickles_cropped_1,7.887504413723946,56.22499144077301,3.7068260610103607,30.99915850162506,0
pickles_cropped_2,6.586201332509518,58.82759702205658,3.813855454325676,38.20116591453552,0
pickles_cropped_3,9.92509450018406,52.149810910224915,1.8538039587438107,24.423231691122055,0
pickles_cropped_4,9.017213270068169,53.9655739068985,2.2457235231995583,28.107763707637787,0
pickles_cropped_5,7.598613545298576,56.80277335643768,2.8590297624468803,30.936147332191467,0
