lotus_cropped_query (1154789300),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,10.274324625730515,51.45135164260864,8.660713598132133,28.484068781137466,0
airplane_cropped_2,9.618221074342728,52.76355814933777,9.002996876835823,30.98638939857483,0
airplane_cropped_3,8.803743615746498,54.39251363277435,9.152105823159218,34.1646534204483,0
airplane_cropped_4,11.435047522187233,49.12990415096283,8.72579076886177,25.40869328379631,0
airplane_cropped_5,10.030392438173294,51.939215898513794,9.151576831936836,30.927653968334198,0
ball_cropped_1,8.503072500228882,54.993856549263,9.251221761107445,36.61767375469208,0
ball_cropped_2,14.37504369020462,43.24991178512573,5.1179995238780975,19.72732377052307,0
ball_cropped_3,10.213167235255241,51.57366597652435,9.297717690467834,29.770718097686768,0
ball_cropped_4,9.865032359957695,52.26993548870087,9.240170985460281,32.14665222167969,0
ball_cropped_5,15.847218424081802,40.30556309223175,6.845153421163559,16.215699017047882,0
car_cropped_1,4.555237844586372,62.88952457904816,9.272278815507889,53.892056584358215,0
car_cropped_2,2.9655367508530617,66.06892561912537,9.281194150447845,64.86043632030487,0
car_cropped_3,5.847333334386349,60.305333375930786,9.26922756433487,46.31607240438461,0
car_cropped_4,4.706647258251905,62.586705923080444,9.264357224106789,56.6601676940918,0
car_cropped_5,3.6073896437883377,64.78522169589996,9.268037587404251,62.82507336139679,0
cat_cropped_1,9.761581361293793,52.47683775424957,9.25965441763401,34.08378624916077,0
cat_cropped_2,10.715945705771446,50.568108320236206,9.1538295596838,28.408557057380676,0
cat_cropped_3,4.753009155392647,62.49398159980774,9.289166390895844,56.26570677757263,0
cat_cropped_4,11.866181075572968,48.26763880252838,8.847123071551323,24.630465537309647,0
cat_cropped_5,9.29926210641861,53.40147638320923,9.21142703294754,31.39485502243042,0
dolphin_cropped_1,4.652790904045105,62.69441783428192,9.137112706899643,48.12750643491745,0
dolphin_cropped_2,3.0007217936217785,65.99855601787567,9.362433105707169,61.96784245967865,0
dolphin_cropped_3,7.5767170041799545,56.846566796302795,11.673897415399551,36.25297540426254,0
dolphin_cropped_4,8.875542134046555,54.24891662597656,9.109862670302391,30.344020187854767,0
dolphin_cropped_5,8.096513248980045,55.806973338127136,11.520448952913284,41.55149018764496,0
face_cropped_1,12.338589578866959,47.322821378707886,9.257638722658157,25.046647906303406,0
face_cropped_2,11.663406491279602,48.67318832874298,9.258365988731384,26.426663517951965,0
face_cropped_3,12.72936761379242,46.54126453399658,9.247949838638306,23.870314449071884,0
face_cropped_4,11.640616476535797,48.71876764297485,9.258663430809975,25.97595751285553,0
face_cropped_5,12.402703911066055,47.19459247589111,9.254869058728218,23.643685460090637,0
lotus_cropped_1,9.86905686557293,52.26188778877258,9.20123527944088,30.09547472000122,0
lotus_cropped_2,8.807278484106064,54.38544273376465,9.266252249479294,34.4618479013443,0
lotus_cropped_3,9.037301942706108,53.92539620399475,12.878564566373825,33.886761367321014,0
lotus_cropped_4,7.6322750598192215,56.735450744628906,9.244584783911705,38.912011444568634,0
lotus_cropped_5,9.467805355787277,53.06438970565796,9.27843926846981,30.737604677677155,0
pickles_cropped_1,8.739041030406952,54.521918535232544,9.877620100975037,30.04924440383911,0
pickles_cropped_2,7.90184311568737,56.196314096450806,9.97793734073639,34.424430429935455,0
pickles_cropped_3,10.417969286441803,51.164061069488525,9.15485405921936,22.86065962910652,0
pickles_cropped_4,8.772945836186409,54.454107999801636,9.454023599624634,28.796780467033386,0
pickles_cropped_5,7.759698465466499,56.480602741241455,9.511096864938736,31.45318168401718,0
