airplane_query (1233253700),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,15.025504142045975,41.94899183511734,1.5249594189226627,19.654671162366867,0
airplane_2,16.54797986149788,38.90404170751572,0.9895089101046324,17.64596465229988,0
airplane_3,17.881630957126617,36.23673814535141,1.3850670345127583,14.836356103420258,0
airplane_4,16.425272226333618,39.14945524930954,2.0929353162646294,15.109464392066002,0
airplane_5,13.982874095439911,44.034252285957336,4.106839135289192,19.26388841867447,0
ball_1,11.409791082143784,49.18041753768921,4.457826495170593,25.40087181329727,0
ball_2,8.915993049740791,54.16801393032074,15.223007947206497,30.764442682266235,0
ball_3,9.164202734827995,53.671595096588135,4.5758678913116455,30.003842383623123,0
ball_4,8.343360468745232,55.313278675079346,4.6613475009799,36.302162766456604,0
ball_5,7.694803088903427,56.61039423942566,9.530873417854309,32.737187683582306,0
car_1,6.4735477194190025,59.052905321121216,4.8856955245137215,41.614086508750916,0
car_2,6.201159879565239,59.59767925739288,4.637078732252121,45.35943007469177,0
car_3,6.251343280076981,59.49731385707855,4.623016245663166,45.933299005031586,0
car_4,8.0306246727705,55.938750982284546,4.583161748945713,35.78913253545761,0
car_5,9.227972775697708,53.54405474662781,4.585866913199425,33.543105483055115,0
cat_1,10.298508107662201,51.402984380722046,4.3987540900707245,26.971908658742905,0
cat_2,10.826037406921387,50.34792649745941,4.5774852856993675,26.313779652118683,0
cat_3,6.022110298275948,59.95577931404114,4.7649930119514465,45.1740580201149,0
cat_4,7.933782055974007,56.13243520259857,4.760815836489201,37.12703728675842,0
cat_5,8.257465556263924,55.485069274902344,4.680841855704784,34.31529200077057,0
dolphin_1,7.578274078667164,56.84345245361328,4.65887388586998,37.04991936683655,0
dolphin_2,3.884931266307831,64.23013699054718,4.781378194689751,62.15548002719879,0
dolphin_3,10.75613620877266,50.487728118896484,6.570558123290539,24.48046836256981,0
dolphin_4,7.15125634521246,57.6974880695343,6.0636046230793,35.107858777046204,0
dolphin_5,11.159493535757065,49.681013345718384,5.594312757253647,24.337382912635803,0
face_1,11.690485149621964,48.619030237197876,4.572953522205353,25.24985808134079,0
face_2,10.040782511234283,51.91843521595001,4.597152397036552,32.92390576004982,0
face_3,10.838257655501366,50.32348597049713,4.581004410982132,29.139997273683548,0
face_4,8.70996966958046,54.58006143569946,4.589155927300453,31.985233962535858,0
face_5,9.902645736932755,52.19470822811127,4.532277852296829,28.64687928557396,0
lotus_1,10.178512126207352,51.64297544956207,4.572971396148205,30.90957820415497,0
lotus_2,8.499211221933365,55.001577496528625,4.705819770693779,34.542797207832336,0
lotus_3,7.2482181414961815,57.50356435775757,20.055828750133514,43.265721529722214,0
lotus_4,8.394834995269775,55.21033072471619,4.607908055186272,35.93390607833862,0
lotus_5,8.30249871313572,55.39500331878662,4.652377851307392,36.55270725488663,0
pickles_1,3.037929892539978,65.92413985729218,7.025134280323982,49.97471022605896,0
pickles_2,1.901874901726842,68.196249127388,9.294126272201538,63.048184275627136,0
pickles_3,5.0941342785954475,61.81173133850098,6.468007996678352,38.34394931793213,0
pickles_4,3.8025103956460953,64.39497995376587,6.569259211421013,46.317280411720276,0
pickles_5,5.429944887757301,61.14010989665985,6.256629779934883,38.269440829753876,0
