cat_query (1233253700),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,10.059859961271286,51.88028013706207,5.729788966476917,30.429626643657684,0
airplane_2,11.146819189190865,49.70636236667633,4.50475599616766,27.169194757938385,0
airplane_3,8.405657857656479,55.1886842250824,5.759419083595276,36.22029256820679,0
airplane_4,12.55903872847557,46.88192284107208,6.457400366663933,23.822137147188187,0
airplane_5,7.51970848441124,56.960583567619324,8.316601350903511,38.26046007871628,0
ball_1,12.900854021310806,46.19829201698303,0.9334903983399272,22.325536757707596,0
ball_2,8.776146084070206,54.44770884513855,14.765725910663605,30.02986830472946,0
ball_3,10.932221189141273,50.135558009147644,1.2810743637382984,26.82920253276825,0
ball_4,12.28236037492752,47.43527913093567,1.2493072021752596,25.52464348077774,0
ball_5,9.384797155857086,53.23040556907654,8.523239061236382,31.21779078245163,0
car_1,5.841260880231857,60.31747841835022,2.13797165825963,46.89992934465408,0
car_2,7.80000513792038,56.39999032020569,1.1566554084420204,38.849729120731354,0
car_3,6.44965323805809,59.100693702697754,1.1170128658413887,44.12833350896835,0
car_4,8.896569699048996,54.20686089992523,1.0623435154557228,34.73793804645538,0
car_5,10.171522587537766,51.65695548057556,0.9872039398178458,30.218326210975647,0
cat_1,12.18255239725113,47.63489639759064,1.6335594728589058,26.39194405078888,0
cat_2,17.097405821084976,37.80518925189972,0.7648360542953014,15.290119767189026,0
cat_3,6.342544861137867,59.31491017341614,1.6080466117709875,43.79245579242706,0
cat_4,18.403364568948746,35.193272173404694,0.6894876696169376,13.49315693974495,0
cat_5,14.468508422374725,43.06298339366913,1.081092232838273,18.712869554758072,0
dolphin_1,11.501899033784866,48.99620199203491,0.8396009849384427,25.06422084569931,0
dolphin_2,5.693270407617092,60.61345899105072,1.5816034190356731,45.38504958152771,0
dolphin_3,7.784447148442268,56.43110740184784,10.196026235818863,38.11209160089493,0
dolphin_4,12.029802590608597,47.940396547317505,3.9753111749887466,22.423815488815308,0
dolphin_5,7.2767239809036255,57.44655179977417,10.045219287276268,44.17912155389786,0
face_1,13.418675035238266,45.16265034675598,0.9771240279078484,22.072831630706787,0
face_2,10.8273304104805,50.34533941745758,1.0576697904616594,29.118399918079376,0
face_3,13.711909174919128,44.57618272304535,1.0127883991226554,20.184855461120605,0
face_4,10.445076629519463,51.1098473072052,1.1315332055091858,28.00423961877823,0
face_5,13.408495396375656,45.1830096244812,0.9927383763715625,20.306536704301834,0
lotus_1,12.474761486053467,47.050477266311646,0.9390402436256409,22.65061941742897,0
lotus_2,7.143631875514984,57.712735295295715,2.004243329167366,40.28981000185013,0
lotus_3,6.25992476940155,59.48015069961548,21.143264651298523,48.64269012212753,0
lotus_4,10.465096712112427,51.069807171821594,1.0211890498176217,28.21049615740776,0
lotus_5,10.334176987409592,51.33164691925049,1.1986135840415955,27.017714589834213,0
pickles_1,3.171927697956562,65.65614426136017,5.49034608155489,52.354575395584106,0
pickles_2,1.7738726325333118,68.45225524902344,8.21880330145359,67.12963819503784,0
pickles_3,5.184212237596512,61.63157498836517,4.909193322062492,38.12735712528229,0
pickles_4,4.508749395608902,62.98250114917755,4.82464699447155,41.7651281952858,0
pickles_5,4.006145350635052,63.987709283828735,5.679068550467491,44.80696904659271,0
