lotus_query (1233253700),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,8.358625262975693,55.282750606536865,15.613457471132278,31.70220184326172,0
airplane_2,8.431303426623344,55.137394070625305,15.226502925157547,32.55791938304901,0
airplane_3,6.854668214917183,58.29066359996796,15.866923660039902,38.78955155611038,0
airplane_4,9.657757699489594,52.68448495864868,15.891708880662918,28.423088312149048,0
airplane_5,6.730727821588516,58.53854441642761,17.03360179066658,39.9021201133728,0
ball_1,9.317662924528122,53.3646742105484,14.858281940221786,30.769098222255707,0
ball_2,21.304398149251938,29.391205489635468,2.533435970544815,12.974549248814583,0
ball_3,9.418957993388176,53.16208469867706,14.96474403142929,32.42852807044983,0
ball_4,8.994540706276894,54.01091980934143,14.948740363121033,33.84107404947281,0
ball_5,12.307669162750244,47.38466167449951,14.511062920093536,20.118254899978638,0
car_1,5.493296183645725,61.013407707214355,15.061845481395721,47.712446093559265,0
car_2,7.060844346880913,57.87831211090088,14.955094426870346,41.155136823654175,0
car_3,6.282881282269955,59.43423914909363,14.951728790998459,43.02173924446106,0
car_4,7.022996589541435,57.95400857925415,14.948198050260544,41.71047157049179,0
car_5,7.907279655337334,56.185442328453064,14.94347608089447,37.80572283267975,0
cat_1,9.667354598641396,52.6652911901474,14.993626654148102,34.35421943664551,0
cat_2,10.022307559847832,51.95538628101349,14.810247898101807,29.36203932762146,0
cat_3,3.6900436840951443,64.61991310119629,15.00075501203537,63.276960253715515,0
cat_4,10.59759247303009,50.80481564998627,14.192636251449585,26.38502886891365,0
cat_5,7.597923845052719,56.804152965545654,14.894351571798325,35.59945696592331,0
dolphin_1,4.699876964092255,62.60024654865265,14.641674280166626,44.62706571817398,0
dolphin_2,2.939167480915785,66.12166595458984,14.945497542619705,57.554203748703,0
dolphin_3,10.518486425280571,50.963027596473694,15.08693078160286,23.936060398817062,0
dolphin_4,14.32487341761589,43.35025334358215,10.465055495500565,14.070809572935104,0
dolphin_5,6.682262077927589,58.63547706604004,18.066369861364365,47.88288027048111,0
face_1,10.109986498951912,51.780028104782104,14.939245164394379,30.87940013408661,0
face_2,9.234361693263054,53.531277537345886,14.947777539491653,32.523854076862335,0
face_3,9.788531854748726,52.42293655872345,14.938653767108917,30.713708698749542,0
face_4,9.093102768063545,53.81379508972168,14.946981757879257,32.04916155338287,0
face_5,10.704561084508896,50.59087800979614,14.917274832725525,26.41310966014862,0
lotus_1,7.529048785567284,56.94190311431885,14.892073601484299,37.342432498931885,0
lotus_2,6.604188598692417,58.79162299633026,15.04269927740097,41.694674134254456,0
lotus_3,5.989426627755165,60.021149039268494,25.76290363073349,47.39591163396835,0
lotus_4,5.243054881691933,61.513890862464905,14.899304866790771,47.79238098859787,0
lotus_5,7.5154128074646,56.96917450428009,14.960494458675385,36.955603897571564,0
pickles_1,3.2000761553645134,65.59984755516052,15.84526327252388,53.47505009174347,0
pickles_2,2.0487429909408092,67.90251290798187,17.027785509824753,67.38344311714172,0
pickles_3,4.610269948840141,62.779459834098816,15.497079521417618,41.10396760702133,0
pickles_4,4.089111186563969,63.82177758216858,15.648641467094421,47.10017371177673,0
pickles_5,3.710734359920025,64.57853138446808,15.87459310889244,50.089579701423645,0
