face_query (1233253700),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,13.627240002155304,44.745518922805786,5.686423271894455,20.920578002929688,0
airplane_2,14.320720791816711,43.35855948925018,4.460426636040211,20.647708356380463,0
airplane_3,10.997709482908249,50.00458085536957,5.700834468007088,29.560667037963867,0
airplane_4,13.101467818021774,45.79706424474716,6.432227298617363,24.32951021194458,0
airplane_5,10.379532724618912,51.24093496799469,8.268816068768501,30.59808522462845,0
ball_1,16.045867085456848,39.90826612710953,0.4849861413240433,15.80189061164856,0
ball_2,7.1337990909814835,57.732402086257935,15.324898064136505,40.36688208580017,0
ball_3,14.762253880500793,42.475492000579834,0.8524798806756735,18.413426786661148,0
ball_4,18.021453857421875,35.957092463970184,0.8085237210616469,12.353077858686447,0
ball_5,8.41884033381939,55.16231954097748,8.6992516964674,35.31800103187561,0
car_1,13.523428946733475,44.953142285346985,1.8773889765143394,19.577512443065643,0
car_2,16.54874774813652,38.902503967285156,0.6252251705154777,13.798842653632164,0
car_3,15.93506783246994,40.12986475229263,0.5664692651480436,14.37750093638897,0
car_4,15.372727364301682,41.25454539060593,0.5550818471238017,16.348035752773285,0
car_5,18.935242503881454,34.1295160651207,0.38157022930681705,11.81826201081276,0
cat_1,16.089164197444916,39.82167226076126,1.361967595294118,16.55893087387085,0
cat_2,15.574469774961472,40.85106098651886,0.5005416525527835,15.759635627269745,0
cat_3,11.9625763297081,48.074846625328064,1.3336921501904726,22.95090624690056,0
cat_4,12.777063757181168,46.44587242603302,1.2433002386242151,20.74469417333603,0
cat_5,12.847259402275085,46.30548095703125,1.0767237208783627,21.127639025449753,0
dolphin_1,7.183838613331318,57.632322907447815,0.9605923537164927,35.67070692777634,0
dolphin_2,9.31836123764515,53.36327826976776,1.2995939366519451,27.735350251197815,0
dolphin_3,5.836392179131508,60.327216148376465,10.3983084410429,48.775248527526855,0
dolphin_4,11.445146903395653,49.10970628261566,4.515370860695839,26.23992145061493,0
dolphin_5,8.197691567242146,55.60461676120758,9.998075112700462,39.556577414274216,0
face_1,20.033032476902008,31.93393576145172,0.3685441194102168,10.298236653208733,0
face_2,18.743454694747925,34.51308977603912,0.49467233289033175,11.401927292346954,0
face_3,18.408358454704285,35.18328368663788,0.5445401649922132,11.623356088995934,0
face_4,14.971394032239914,42.05721241235733,0.6858566636219621,16.429738491773605,0
face_5,19.068854451179504,33.86229199171066,0.4305652705952525,12.12785691022873,0
lotus_1,14.103293627500534,43.793412566185,0.514618550427258,19.0814146399498,0
lotus_2,11.739860579371452,48.52027869224548,1.7555908188223839,24.720920085906982,0
lotus_3,8.295386478304863,55.40922725200653,21.125752866268158,38.33784806728363,0
lotus_4,12.267802894115448,47.464394092559814,0.6297155432403088,19.4696763753891,0
lotus_5,17.46894446015358,37.06211143732071,0.7311247540637851,12.988281220197678,0
pickles_1,5.017848573625088,61.96430277824402,5.389834210276604,35.44188046455383,0
pickles_2,3.21714748442173,65.56570327281952,8.13971059024334,46.75998091697693,0
pickles_3,7.4893932938575745,57.02121293544769,4.829010926187038,27.098414659500122,0
pickles_4,6.7006906270980835,58.59861874580383,4.701848544180393,29.0251561999321,0
pickles_5,6.41980105638504,59.16039729118347,5.608237184584141,31.208981454372406,0
