strawberry_query (1233253700),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,5.455042563378811,61.08991479873657,9.745761454105377,44.63749670982361,0
airplane_2,7.034155827015638,57.93168830871582,9.096572861075401,44.22408628463745,0
airplane_3,5.794200196862221,60.411598801612854,9.978359162807465,43.52712041139603,0
airplane_4,8.074826315045357,55.85034799575806,10.17971520125866,32.65088790655136,0
airplane_5,3.1283000968396664,65.74339950084686,11.719567686319351,57.32865083217621,0
ball_1,5.817049287259579,60.365901589393616,8.300124287605286,43.34872096776962,0
ball_2,12.770150929689407,46.45969831943512,7.342063307762146,21.267477482557297,0
ball_3,3.608304228633642,64.78339171409607,8.42585201561451,64.93422400951385,0
ball_4,3.8889935463666916,64.2220128774643,8.409124284982681,55.717565417289734,0
ball_5,8.154389694333076,55.6912202835083,9.839948073029518,35.031805753707886,0
car_1,2.177914295345545,67.6441719532013,8.599839702248573,81.13916349411011,0
car_2,2.392938731238246,67.21412265300751,8.40941895544529,81.23027789592743,0
car_3,2.0019933613948524,67.99601376056671,8.403481394052505,94.87852323055267,0
car_4,3.4571060054004192,65.08578908443451,8.394657000899315,65.80514580011368,0
car_5,3.5354716703295708,64.92905616760254,8.387791931629181,64.79215431213379,0
cat_1,4.841486021876335,62.317028164863586,8.476538807153702,52.859186232089996,0
cat_2,8.077550627291203,55.84489905834198,8.242404282093048,36.139661729335785,0
cat_3,4.9774658009409904,62.04506754875183,8.469234645366669,76.89417141675949,0
cat_4,8.407990582287312,55.18401849269867,7.648899480700493,33.00763154029846,0
cat_5,8.184588000178337,55.63082540035248,8.33259092271328,34.7335579097271,0
dolphin_1,8.264058195054531,55.471885442733765,8.08298847079277,32.70757678151131,0
dolphin_2,2.429964831098914,67.1400717496872,8.43306976556778,68.81234097480774,0
dolphin_3,7.744497567415237,56.511005878448486,10.835444614291191,37.78922200202942,0
dolphin_4,8.30749762058258,55.385005712509155,3.997677154839039,34.095452070236206,0
dolphin_5,1.9962158272974193,68.00756859779358,13.024311989545822,111.16690039634705,0
face_1,6.311053991317749,59.37789213657379,8.376482263207436,45.53176790475845,0
face_2,4.559105610474944,62.88179039955139,8.392773136496544,63.27305257320404,0
face_3,7.338933281600475,57.32213342189789,8.373888805508614,36.91953510046005,0
face_4,4.814213577657938,62.371572732925415,8.395731806755066,56.21301484107971,0
face_5,5.341904107481241,61.31619119644165,8.358431875705719,52.871695041656494,0
lotus_1,7.4597518146038055,57.080495834350586,8.331398651003838,34.609651267528534,0
lotus_2,2.9987715277820826,66.0024573802948,8.557350680232048,77.15287971496582,0
lotus_3,3.664785426110029,64.67042899131775,22.592358648777008,65.45177632570267,0
lotus_4,7.371286526322365,57.257426261901855,8.336409881711006,38.07013654708862,0
lotus_5,2.9934978056699038,66.01300537586212,8.421425431966782,68.10050439834595,0
pickles_1,1.4925577659159899,69.01488363742828,9.93315839767456,73.077183842659,0
pickles_2,0.9965039757080376,70.00699138641357,11.700861304998398,99.4541597366333,0
pickles_3,3.1336302310228348,65.73273956775665,9.485527977347374,52.009172320365906,0
pickles_4,1.9279677346348763,68.14406418800354,9.60532595217228,66.15279984474182,0
pickles_5,2.305548271164298,67.38890266418457,9.984803095459938,64.36075806617737,0
