car_cropped_query (1154789300),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,7.834715351462364,56.33056890964508,1.1588574294000864,41.278296798467636,0
airplane_cropped_2,8.225023828446865,55.549951910972595,0.8786199949681759,35.54495948553085,0
airplane_cropped_3,8.497978806495667,55.00404250621796,0.9521906469017267,36.84521597623825,0
airplane_cropped_4,4.450611535459757,63.098777413368225,1.2197621539235115,56.094717621803284,0
airplane_cropped_5,6.294095553457737,59.41180956363678,0.8375292159616947,44.12684220075607,0
ball_cropped_1,5.13588423281908,61.72823178768158,0.966649366542697,55.31785029172897,0
ball_cropped_2,3.0634267665445805,65.87314653396606,5.959139496088028,64.28742492198944,0
ball_cropped_3,3.6787621676921844,64.64247560501099,1.224252501502633,60.09143340587616,0
ball_cropped_4,5.577971518039703,60.844056844711304,0.8016995657235384,50.56205207109451,0
ball_cropped_5,5.12873649597168,61.74252724647522,4.980938412249088,48.259686291217804,0
car_cropped_1,10.086749106645584,51.826501965522766,0.8357574138790369,34.885322749614716,0
car_cropped_2,12.659602135419846,46.68079447746277,0.7964556757360697,26.682605981826782,0
car_cropped_3,10.90916521847248,50.1816680431366,0.7693378888070583,33.06024920940399,0
car_cropped_4,7.4298006892204285,57.14040184020996,0.7910474818199873,46.35648089647293,0
car_cropped_5,7.703640103340149,56.592719078063965,0.8475938513875008,44.863072872161865,0
cat_cropped_1,8.356548145413399,55.28690564632416,0.8516687285155058,32.781097531318665,0
cat_cropped_2,6.1956749483942986,59.60864877700806,0.7819702923297882,38.88753294944763,0
cat_cropped_3,8.179329931735992,55.641340017318726,1.041294937953353,33.896306693553925,0
cat_cropped_4,3.883661650121212,64.23267662525177,1.0662920847535133,57.17094433307648,0
cat_cropped_5,7.116786636412144,57.76642715930939,1.0587137527763844,36.15815854072571,0
dolphin_cropped_1,4.4813053496181965,63.03738880157471,1.0301727950572968,58.306717336177826,0
dolphin_cropped_2,8.188532322645187,55.62293541431427,1.484880905598402,37.86382830142975,0
dolphin_cropped_3,3.306219747290015,65.38756096363068,7.406285606324673,70.1948105096817,0
dolphin_cropped_4,3.2409702129662037,65.5180596113205,0.928087193518877,68.8130692243576,0
dolphin_cropped_5,3.218674998730421,65.56264960765839,6.824795678257942,71.7658976316452,0
face_cropped_1,6.521908946335316,58.95618271827698,0.8268849495798349,39.63089329004288,0
face_cropped_2,7.88814377784729,56.22371232509613,0.801823265850544,35.56100922822952,0
face_cropped_3,6.7445153668522835,58.510969161987305,0.8229629434645176,39.72280561923981,0
face_cropped_4,7.49177622795105,57.01644814014435,0.8177167773246765,36.16957247257233,0
face_cropped_5,4.990817107260227,62.01836609840393,0.9172181822359562,50.09065401554108,0
lotus_cropped_1,3.6515435539186,64.69691264629364,0.8504715878516436,64.37595057487488,0
lotus_cropped_2,6.050861053168774,59.898277759552,0.8796368725597858,49.19918096065521,0
lotus_cropped_3,6.067946672439575,59.86410677433014,9.195927888154984,48.074223816394806,0
lotus_cropped_4,5.833368346095085,60.3332644701004,0.8364799506962299,55.90778607130051,0
lotus_cropped_5,5.960095997899771,60.079808592796326,1.033389799296856,46.103875398635864,0
pickles_cropped_1,7.746374011039734,56.507251262664795,3.660542204976082,29.911198407411575,0
pickles_cropped_2,8.491297513246536,55.01740539073944,3.7468024864792824,29.536930322647095,0
pickles_cropped_3,8.555501937866211,54.888996839523315,1.8221070505678654,28.49671134352684,0
pickles_cropped_4,8.70678260922432,54.58643591403961,2.1916920132935047,27.867559134960175,0
pickles_cropped_5,9.759433209896088,52.48113286495209,2.7513598911464214,25.019546419382095,0
