dolphin_cropped_query (12302900),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,0.6580560856621793,0.044775414788615096,0.031746255849689084,2.305742798179147,0
airplane_cropped_2,0.7215008139133164,0.03619792989904527,0.021019328738477203,2.3750501686817143,0
airplane_cropped_3,0.6775032623349957,0.04163972252214941,0.02212038810542885,2.3214129024288246,4662600
airplane_cropped_4,0.6988646857515346,0.038658853067769436,0.022221464225165313,2.34622067297896,1049500
airplane_cropped_5,0.6112150991445303,0.055673517416958605,0.034083334938112934,2.304455680926146,1982800
ball_cropped_1,0.6086350654753198,0.056793677687784046,0.03997210726409665,2.3239193257867643,998400
ball_cropped_2,0.9717802732657674,0.02171601084524872,0.006899687548761159,2.6230240539622374,2510500
ball_cropped_3,0.8000902966600382,0.029518864830298065,0.010097664122894373,2.463368094508064,2674100
ball_cropped_4,0.4401153044189706,0.10371228805217232,0.07313604295376376,2.200307642765806,1002800
ball_cropped_5,0.7033967467252976,0.042062868219420624,0.024372636866703077,2.4111486098769443,1997100
car_cropped_1,0.6474437148217637,0.046854996689107156,0.023156429940838545,2.293787366427272,1002400
car_cropped_2,0.6590203863734946,0.04918119502050636,0.022899890720187138,2.3876966396301995,531100
car_cropped_3,0.6315346154558683,0.05178293097701399,0.027249528150068383,2.3217000384851953,0
car_cropped_4,0.5912145501577583,0.05974875029723021,0.031188696180559004,2.2849322688909917,1718000
car_cropped_5,0.6180512203077886,0.0553878215194034,0.025425232323115526,2.341458112171543,522100
cat_cropped_1,0.7991794593601093,0.02515373320915872,0.012555788017474924,2.416651904267013,2068800
cat_cropped_2,0.6732018622513964,0.044698458779073774,0.027396965660854207,2.359862338548967,2915600
cat_cropped_3,0.9069776229991058,0.0165665679564928,0.005937254588459442,2.499293766338573,2166900
cat_cropped_4,0.5633929428322286,0.06583770023667722,0.05035434073108085,2.257814168752081,2872000
cat_cropped_5,0.9670398983761391,0.019138924169801848,0.007781475010710496,2.58541275588812,2694100
dolphin_cropped_1,0.7137306777701096,0.03878788947878958,0.019875210022311244,2.3922300137649133,1587600
dolphin_cropped_2,0.9319425269724395,0.02295430300348562,0.007426917921845138,2.5870386016628664,1075300
dolphin_cropped_3,0.8719472779731029,0.02053228341762213,0.0066354774382148575,2.4892629558229737,1255500
dolphin_cropped_4,0.6140018258966085,0.05568786864339231,0.03662426530136481,2.3234644179525548,1120900
dolphin_cropped_5,0.8287186932665993,0.019403600785981467,0.00885508086262758,2.413190836982176,2706700
face_cropped_1,0.6884819081357795,0.04136639666029013,0.026091947372285023,2.3554981532231296,2441100
face_cropped_2,0.7299286493004322,0.035261548363445736,0.02086138784339439,2.3843272370724526,2445500
face_cropped_3,0.7413594920975737,0.03414359342866964,0.017073249479548372,2.3974173315023988,2612400
face_cropped_4,0.6766603449882896,0.04319181781362032,0.027527913627397402,2.3453929850950708,2251200
face_cropped_5,0.7887682159840465,0.02822887582632737,0.015063926205386009,2.4250595285305034,2466700
lotus_cropped_1,0.48567093604150346,0.08811977335624416,0.0628241939041566,2.232692528276499,1040400
lotus_cropped_2,0.5991563010984301,0.058670457942358895,0.03838203439172201,2.308245237446676,1005400
lotus_cropped_3,0.9750367873515324,0.023118613369371217,0.006729409321109499,2.6353669767631405,1998500
lotus_cropped_4,0.5573573840412298,0.06840829054863226,0.041821932754782215,2.2888137844626066,1000000
lotus_cropped_5,0.8829650978885889,0.024762510325638015,0.008470336087975299,2.5404967561249077,2239600
pickles_cropped_1,0.976355703347553,0.04196065720394469,0.015076999979465546,2.83078639659144,88202200
pickles_cropped_2,0.9676567352845759,0.0348361707776675,0.011570150926053124,2.738249045757061,51389800
pickles_cropped_3,0.9802204317171526,0.035825730759410326,0.012746824889072531,2.755779346109423,96648600
pickles_cropped_4,0.9857430282810156,0.03139683426814907,0.010205543911016388,2.7178035507923353,79950800
pickles_cropped_5,0.9650680413971217,0.037495659283755256,0.012864148197273797,2.7655423283357123,79073400
