airplane_query (9072600),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.9321205883346718,0.13575882333065623,0.046497763667765986,0.0032262287571391823,0.23876339516618075,0.11422662087849483,239,8515800
airplane_2,0.9121980952105532,0.17560380957889374,0.06071016079795715,0.0049776289946621265,0.6595851369598029,0.0994396239442306,239,9080700
airplane_3,0.9276846566571774,0.14463068668564566,0.06688411605671393,0.0032537119351374807,0.3563194564634915,0.12138526448974477,239,7524300
airplane_4,0.9502624469042767,0.09947510619144662,0.034511546016670426,0.002014502163967103,0.17725679696348312,0.113229071176245,239,8508100
airplane_5,0.8485757708668362,0.30284845826632756,0.15062832999296422,0.01388943684098803,0.9222676142614666,0.1362656845052113,239,8530700
ball_1,0.859827358295769,0.2803452834084621,0.13315377102155426,0.019725811971149643,1.509463946148739,0.08596833580585761,239,8567600
ball_2,0.5994796974519764,0.8010406050960472,0.38477509343878014,0.10352708112530282,2.291039757554965,0.18461901503527717,239,7519600
ball_3,0.8977747931027865,0.20445041379442697,0.07188363803966741,0.007427342004984217,0.17367462610459752,0.09968102114200812,239,14157100
ball_4,0.8801996384925967,0.23960072301480656,0.10174605106072662,0.012116580719317939,0.9561454276302208,0.09091897405596695,239,7471800
ball_5,0.7619584141287244,0.4760831717425512,0.23642819126710973,0.0364734674547125,1.4650589603139765,0.15349953947327855,239,8516000
car_1,0.9104583461590205,0.17908330768195893,0.07424292196122367,0.005303550764603507,0.4474250315907379,0.09780009072435175,239,6004800
car_2,0.864148653741857,0.2717026925162859,0.13514530950493742,0.01559030104119962,0.9621934065736311,0.08416764712726134,239,7037100
car_3,0.822552850901731,0.35489429819653784,0.16029538531297888,0.02410982725744165,0.9662543202792145,0.07967324043302906,239,5970300
car_4,0.8277728772889044,0.34445424542219116,0.15784567627492524,0.02604268469558851,1.62990914261424,0.07700984649956338,239,12568400
car_5,0.8035475437158197,0.3929049125683607,0.17447127138862883,0.03134483962303003,1.5815165876227002,0.07472752967420165,239,6003100
cat_1,0.8242212396109541,0.3515575207780919,0.17125670019398384,0.026452307859165216,0.8111219445726947,0.07891173652716466,239,7043600
cat_2,0.7815324616904689,0.4369350766190623,0.18397943366745675,0.0354915855274623,1.7526271625971264,0.07537368862311945,239,8511600
cat_3,0.831836743682528,0.3363265126349439,0.1441148322467269,0.019793357413964967,0.9886160983008911,0.08576883384800014,239,5998300
cat_4,0.8438001980957719,0.3123996038084563,0.13139753053954326,0.021855289203436327,1.4537811848534121,0.08367895162819786,239,6497200
cat_5,0.7987215802130289,0.4025568395739423,0.16799346853250596,0.02843692132649228,0.8815015683322055,0.08526141580869545,239,6501800
dolphin_1,0.8218635901677128,0.35627281966457447,0.15857075276308827,0.025858136437945434,1.3726764435623535,0.07800531703488682,239,6001100
dolphin_2,0.8576286899248077,0.28474262015038454,0.12691192111429483,0.01724180510714536,0.679288523529748,0.09829593286302427,239,4999300
dolphin_3,0.8279384405701146,0.344123118859771,0.1753494110526677,0.019381455693366263,1.2207627940862915,0.14235177098847854,239,6003400
dolphin_4,0.8358892826616111,0.3282214346767777,0.10729640392695418,0.021971181208859585,0.5174154148588284,0.10757029824853703,239,6559500
dolphin_5,0.9142047434972902,0.17159051300541953,0.057364175323751335,0.005469290472004182,0.2980925945081639,0.11334471358922436,239,8010800
face_1,0.8255784366087173,0.34884312678256535,0.14893278552588135,0.02298422185648032,1.2675521737270514,0.07986328394119657,239,9610700
face_2,0.8319251958912055,0.336149608217589,0.14525293517978452,0.02033241986975929,0.8741520606976833,0.0827994690918944,239,7585800
face_3,0.8356741417548413,0.32865171649031755,0.11644100286143703,0.016132855202655384,0.5471835441261792,0.0901503144460213,239,7560500
face_4,0.8480788314853813,0.30384233702923724,0.13019335056746303,0.016392829090703803,0.8424097390789675,0.08486441023199753,239,8113500
face_5,0.8021607961945898,0.3956784076108204,0.16499258193876037,0.028975739611593155,1.276575871260664,0.07723830954253803,239,8603200
lotus_1,0.8110776876083136,0.3778446247833729,0.15206924141435632,0.02877815051692131,1.3443977970301881,0.07947146136664814,239,6998800
lotus_2,0.9284867796505342,0.14302644069893156,0.045318990561040155,0.004611452469332828,0.23656483881828544,0.1069939908519087,239,6034000
lotus_3,0.6208213887158635,0.7583572225682733,0.3956977518208585,0.08495022322311223,2.9599173531833807,0.18474219885479778,239,7583700
lotus_4,0.839120209558313,0.32175958088337386,0.14219407058282418,0.02250492715462739,1.4348253154862038,0.08135879977436129,239,8545500
lotus_5,0.8868977485496301,0.22620450290074007,0.07202503306707522,0.00830409150037372,0.40948271740866066,0.10296625877957896,239,9575800
pickles_1,0.3973149566968986,1.205370086606203,0.6259098983233617,0.2657379880690254,4.719269696516032,0.2299184984411812,239,962178800
pickles_2,0.38267784226777596,1.2346443154644482,0.6412515653615862,0.2911829296711706,4.819206507554965,0.23270019818023274,239,1341578400
pickles_3,0.46314972681929356,1.073700546361413,0.5577002540614701,0.20513804402781738,4.256565091428651,0.21793814613576348,239,826395300
pickles_4,0.4496635449418963,1.1006729101162074,0.5717128994531806,0.21422762752144606,4.394677189546657,0.22011296674423322,239,994063000
pickles_5,0.43805703712334515,1.1238859257533098,0.5833015168384841,0.2221533233174097,4.435113114352631,0.22251594516111597,239,565003300
